DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,131,51,3,2484309195,215,43,2,-2,709401014,AQI
2025-03-19 09:52:35-07:00,22.78,337.612,12.078,10.6785,16.38,439.04,21.6,25.6,0.0,0.15,0.21,29.0,2.0,3.0,,,,,,,3.396
2025-03-19 09:53:35-07:00,22.77,339.933,9.629999999999999,9.8595,19.464,439.01,21.6,25.6,0.01,0.11,0.14,30.0,2.0,4.0,,,,,,,3.9808
2025-03-19 09:54:35-07:00,22.77,335.797,9.513,10.941,17.747999999999998,439.01,21.6,25.6,0.0,0.3,0.31,31.0,2.0,4.0,,,,,,,3.7896
2025-03-19 09:55:35-07:00,22.77,331.1,9.765,9.4815,18.492,439.0,21.6,25.6,0.0,0.12,0.12,31.0,2.0,3.0,,,,,,,3.7944000000000004
2025-03-19 09:56:36-07:00,22.76,321.233,10.476,9.544500000000001,18.432,439.0,21.6,25.6,0.0,0.49,0.49,30.0,2.0,3.0,,,,,,,4.0784
2025-03-19 09:57:35-07:00,22.76,349.73400000000004,10.575000000000001,10.100999999999999,17.364,438.84,21.6,25.6,0.0,0.31,0.31,29.0,2.0,3.0,,,,,,,3.7208000000000006
2025-03-19 09:58:36-07:00,22.76,336.677,10.44,10.5945,16.811999999999998,438.36,21.6,25.6,0.0,0.34,0.34,29.0,2.0,4.0,,,,,,,3.6343999999999994
2025-03-19 09:59:36-07:00,22.75,338.81100000000004,11.520000000000001,10.111500000000001,18.72,438.13,21.6,25.6,0.0,0.22,0.22,28.0,2.0,4.0,,,,,,,3.92
2025-03-19 10:00:36-07:00,22.73,334.85100000000006,11.304,9.8175,18.227999999999998,438.37,21.6,25.6,0.0,0.61,0.61,29.0,2.0,4.0,,,,,,,4.1335999999999995
2025-03-19 10:01:36-07:00,22.72,333.78400000000005,9.045000000000002,9.911999999999999,17.616,438.13,21.6,25.7,0.0,0.78,0.78,31.0,2.0,3.0,,,,,,,4.1472
2025-03-19 10:02:36-07:00,22.71,335.13700000000006,9.018,9.891,17.256,438.05,21.6,25.6,0.09,0.69,0.69,31.0,2.0,3.0,,,,,,,4.0032
2025-03-19 10:03:36-07:00,22.7,328.8670000000001,10.520999999999999,10.563,16.272,438.02,21.6,25.6,0.08,0.57,0.78,30.0,2.0,3.0,,,,,,,3.7104
2025-03-19 10:04:36-07:00,22.69,327.58000000000004,9.594000000000001,9.964500000000001,18.276,438.01,21.6,25.6,0.03,0.63,0.69,31.0,2.0,4.0,,,,,,,4.1592
2025-03-19 10:05:36-07:00,22.69,328.87800000000004,9.189000000000002,10.0485,17.543999999999997,438.0,21.6,25.6,0.01,0.45,0.48,31.0,2.0,3.0,,,,,,,3.8687999999999994
2025-03-19 10:06:36-07:00,22.69,336.79800000000006,9.792000000000002,10.2375,18.18,438.0,21.6,25.6,0.0,0.68,0.69,31.0,2.0,4.0,,,,,,,4.18
2025-03-19 10:07:39-07:00,22.69,337.535,9.72,10.479000000000001,16.523999999999997,437.52,21.6,25.7,0.41,0.88,0.88,30.0,2.0,3.0,,,,,,,4.0088
2025-03-19 10:08:39-07:00,22.69,331.6170000000001,10.610999999999999,9.975,17.424,437.18,21.6,25.6,0.13,0.96,0.96,30.0,2.0,4.0,,,,,,,4.2528
2025-03-19 10:09:39-07:00,22.69,329.42800000000005,9.414000000000001,8.841000000000001,18.576,436.71,21.6,25.7,0.04,0.46,0.46,29.0,2.0,4.0,,,,,,,4.083200000000001
2025-03-19 10:10:39-07:00,22.69,326.557,9.378,9.2085,17.628,436.25,21.6,25.7,0.14,0.39,0.39,30.0,2.0,3.0,,,,,,,3.8376
2025-03-19 10:11:39-07:00,22.69,330.946,9.395999999999999,10.290000000000001,18.323999999999998,436.09,21.6,25.6,0.09,0.66,0.88,30.0,2.0,4.0,,,,,,,4.1928
2025-03-19 10:12:34-07:00,22.69,328.196,9.765,8.904000000000002,19.404,436.03,21.6,25.6,0.03,0.68,0.75,30.0,2.0,3.0,,,,,,,4.4248
2025-03-19 10:13:35-07:00,22.69,330.737,9.639000000000001,9.3345,17.688,435.66,21.6,25.7,0.08,0.48,0.5,30.0,2.0,3.0,,,,,,,3.9215999999999998
2025-03-19 10:14:35-07:00,22.69,316.987,9.648000000000001,9.9015,16.86,435.26,21.6,25.7,0.03,0.19,0.19,30.0,2.0,3.0,,,,,,,3.524
2025-03-19 10:15:35-07:00,22.69,339.07500000000005,9.9,10.4055,16.932,435.09,21.6,25.7,0.01,0.07,0.24,31.0,2.0,3.0,,,,,,,3.4424
2025-03-19 10:16:35-07:00,22.69,333.047,10.278,10.5315,17.352,435.03,21.6,25.7,0.0,0.1,0.16,29.0,2.0,4.0,,,,,,,3.5504000000000002
2025-03-19 10:17:36-07:00,22.69,325.677,11.457,10.416,18.384,435.01,21.6,25.6,0.04,0.25,0.27,29.0,2.0,4.0,,,,,,,3.8768000000000002
2025-03-19 10:18:36-07:00,22.69,326.634,11.421,10.248,16.907999999999998,435.0,21.6,25.7,0.07,0.22,0.37,29.0,2.0,4.0,,,,,,,3.5576
2025-03-19 10:19:36-07:00,22.69,321.849,11.016,10.542,15.839999999999998,435.0,21.6,25.7,0.02,0.23,0.28,28.0,2.0,3.0,,,,,,,3.352
2025-03-19 10:20:36-07:00,22.69,330.297,10.44,9.9855,17.112,435.0,21.5,25.7,0.01,0.31,0.33,30.0,1.0,4.0,,,,,,,3.6704
2025-03-19 10:21:37-07:00,22.69,332.71700000000004,10.476,9.849000000000002,18.384,434.38,21.5,25.6,0.04,0.27,0.28,29.0,2.0,3.0,,,,,,,3.8928000000000003
2025-03-19 10:22:38-07:00,22.69,302.69800000000004,11.735999999999999,8.6835,18.852,434.14,21.6,25.6,0.01,0.19,0.41,30.0,3.0,3.0,,,,,,,3.9224000000000006
2025-03-19 10:23:38-07:00,22.69,333.718,10.548,9.911999999999999,16.619999999999997,434.05,21.6,25.6,0.0,0.21,0.28,30.0,2.0,3.0,,,,,,,3.492
