DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,153,77,3,-4,6,0,0.00000,0.00000.1,0.1,2848035556,155,73,4,-3,91712127,AQI
2025-03-01 05:18:41-08:00,23.47,177.001,10.062,9.093,-0.108,426.02,22.4,32.5,0.0,0.15,0.15,0.0,0.0,1,13.91,0.09,26.61,1,-8,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.09839999999999999
2025-03-01 05:19:41-08:00,23.47,175.27400000000003,9.846,8.2215,1.08,426.01,22.4,32.5,0.0,0.05,0.05,0.0,0.0,1,13.87,0.02,29.43,1,-8,52.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.256
2025-03-01 05:20:41-08:00,23.47,173.591,9.225,8.7255,1.56,426.0,22.4,32.5,0.0,0.27,0.27,0.0,0.0,1,13.87,0.01,32.69,1,-6,53.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.528
2025-03-01 05:21:42-08:00,23.46,172.744,9.882000000000001,8.61,0.732,425.78,22.4,32.5,0.02,0.31,0.31,0.0,0.0,1,13.84,0.0,29.87,1,-6,53.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.3944
2025-03-01 05:22:38-08:00,23.45,173.657,10.368,8.043000000000001,0.708,425.61,22.4,32.5,0.01,0.12,0.33,0.0,0.0,1,14.16,249.24,35.11,1,-6,53.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.2376
2025-03-01 05:23:38-08:00,23.44,174.41600000000003,9.395999999999999,7.4655000000000005,2.088,425.51,22.4,32.4,0.01,0.23,0.39,0.0,0.0,1,14.05,70.39,30.77,1,-7,53.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6016
2025-03-01 05:24:38-08:00,23.42,173.93200000000002,10.170000000000002,7.591500000000001,1.62,425.27,22.4,32.5,0.0,0.08,0.13,0.0,0.0,1,13.98,19.88,28.8,1,-7,52.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.38800000000000007
2025-03-01 05:25:38-08:00,23.41,177.94700000000003,10.035,8.6415,-1.092,424.69,22.3,32.4,0.02,0.16,0.18,0.0,0.0,1,13.98,5.62,27.37,1,-9,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.09040000000000004
2025-03-01 05:26:39-08:00,23.4,175.07600000000002,10.332,9.397499999999999,-2.076,424.53,22.4,32.5,0.01,0.23,0.24,0.0,0.0,1,13.95,1.59,28.91,1,-7,53.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2312
2025-03-01 05:27:40-08:00,23.39,174.41600000000003,10.656,9.397499999999999,-1.536,424.83,22.4,32.5,0.0,0.39,0.39,0.0,0.0,1,13.91,0.45,37.14,1,-7,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.0048000000000000265
