DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,123,42,3,-34,6,0,0.00000,0.00000.1,0.1,1299991271,134,21,-2,-32,3946283300,AQI
2025-03-09 19:14:55-07:00,9.75,193.21500000000003,4.518,10.5105,18.048,408.99,10.4,72.0,0.87,2.22,2.29,0.0,0.0,1,13.77,5.94,33.88,1.0,-6.0,26.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.3856
2025-03-09 19:15:55-07:00,9.75,188.903,4.959,10.899000000000001,17.28,409.54,10.4,72.4,0.96,2.17,2.25,0.0,0.0,1,13.73,1.68,30.88,1.0,-5.0,26.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.192
2025-03-09 19:16:56-07:00,9.75,192.61,5.031,11.655,15.78,409.84,10.4,72.2,0.59,2.01,2.04,0.0,0.0,1,13.73,0.47,29.39,1.0,-5.0,26.0,0.0,-4.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,4.764
2025-03-09 19:17:55-07:00,9.75,187.29700000000003,4.6530000000000005,10.122000000000002,17.412,409.94,10.5,72.3,0.81,2.24,2.3,0.0,0.0,1,13.91,91.73,36.55,1.0,-5.0,27.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.2744
2025-03-09 19:18:55-07:00,9.75,189.02400000000003,4.788,9.597000000000001,17.676,409.77,10.5,72.3,0.88,2.16,2.3,0.0,0.0,1,13.84,25.91,34.08,1.0,-6.0,26.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.263199999999999
2025-03-09 19:19:55-07:00,9.75,186.29600000000002,4.680000000000001,10.0695,18.503999999999998,409.92,10.5,72.2,0.71,2.01,2.36,0.0,0.0,1,13.77,7.32,31.64,1.0,-4.0,26.0,-1.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.3088
2025-03-09 19:20:55-07:00,9.75,184.085,5.193,9.702,18.936,409.97,10.5,72.0,0.65,1.91,3.05,0.0,0.0,1,13.77,2.07,30.84,1.0,-3.0,26.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.315200000000001
2025-03-09 19:21:55-07:00,9.76,174.20700000000002,5.301,10.185,15.828,409.99,10.5,72.7,0.77,2.2,2.71,0.0,0.0,1,13.73,0.58,30.63,1.0,-3.0,26.0,0.0,-6.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,4.9256
2025-03-09 19:22:57-07:00,9.76,178.22200000000004,3.9330000000000003,9.975,17.148,409.45,10.5,72.2,0.9,1.96,2.15,0.0,0.0,1,13.91,100.89,32.71,1.0,-6.0,27.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,4.9976
2025-03-09 19:23:57-07:00,9.76,177.91400000000002,4.6259999999999994,10.4265,16.128,409.16,10.5,72.8,1.02,2.39,2.45,0.0,0.0,1,13.84,28.49,29.28,1.0,-6.0,26.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.1376
2025-03-09 19:24:57-07:00,9.76,180.88400000000001,4.752000000000001,9.1245,18.456,409.06,10.5,72.1,1.0,3.28,3.46,0.0,0.0,1,13.8,8.05,29.56,1.0,-6.0,27.0,-1.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.315200000000001
2025-03-09 19:25:57-07:00,9.76,179.20100000000002,5.454,10.164,19.368,409.02,10.5,72.2,0.52,2.55,2.6,0.0,0.0,1,13.77,2.27,33.76,1.0,-5.0,26.0,0.0,-4.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,5.9136
2025-03-09 19:26:58-07:00,9.76,183.07300000000004,4.239,10.416,16.224,409.65,10.5,72.9,0.54,1.95,2.4,0.0,0.0,1,13.73,0.64,30.56,1.0,-3.0,27.0,0.0,-5.0,STAT,0.0,LAT,LON,W,CRC,,,,,,,4.8048
