DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,120,31,-34,2048760499,137,27,-8,-35,1278956134,AQI
2025-03-20 03:57:21-07:00,9.43,179.33300000000003,5.67,14.049000000000001,28.295999999999996,411.0,10.0,60.5,0.92,1.89,2.33,24.0,0.0,STAT,,,,,,,7.171199999999999
2025-03-20 03:58:22-07:00,9.43,179.90500000000003,4.275,13.0515,29.736,411.0,10.0,60.3,0.96,2.19,2.44,25.0,0.0,STAT,,,,,,,7.6992
2025-03-20 03:59:22-07:00,9.44,178.34300000000002,5.058,13.4085,28.428,410.71,10.0,60.3,0.89,1.93,2.03,26.0,0.0,STAT,,,,,,,7.229600000000001
2025-03-20 04:00:22-07:00,9.45,177.848,5.085000000000001,15.267,26.76,410.25,10.0,60.4,0.81,1.9,1.98,25.0,0.0,STAT,,,,,,,6.872
2025-03-20 04:01:22-07:00,9.45,175.747,6.363,14.700000000000001,27.407999999999998,410.09,10.0,60.5,0.86,1.5,1.57,24.0,0.0,STAT,,,,,,,6.6816
2025-03-20 04:02:22-07:00,9.45,178.101,6.354,14.668500000000002,27.887999999999998,410.03,10.0,60.7,0.79,1.46,1.76,24.0,-1.0,STAT,,,,,,,6.7456000000000005
2025-03-20 04:03:22-07:00,9.45,178.20000000000002,5.634,14.9625,26.592,410.01,10.0,60.8,0.56,1.24,1.5,24.0,-1.0,STAT,,,,,,,6.3104000000000005
2025-03-20 04:04:22-07:00,9.45,176.561,4.6530000000000005,14.322000000000001,27.0,410.0,10.0,61.0,0.39,1.24,1.32,25.0,0.0,STAT,,,,,,,6.392
2025-03-20 04:05:22-07:00,9.45,178.629,3.6630000000000003,13.902000000000001,27.072,410.0,10.0,60.9,0.53,1.75,1.91,25.0,-1.0,STAT,,,,,,,6.814400000000001
2025-03-20 04:06:22-07:00,9.45,176.08800000000002,3.654,14.658000000000001,26.412000000000003,410.0,10.0,60.9,0.78,1.66,1.83,25.0,0.0,STAT,,,,,,,6.610400000000001
2025-03-20 04:07:23-07:00,9.45,179.19000000000003,2.331,14.248500000000002,27.144000000000002,410.0,10.0,61.0,0.8,2.24,2.38,26.0,0.0,STAT,,,,,,,7.2208000000000006
2025-03-20 04:08:23-07:00,9.46,176.66,5.5440000000000005,14.028,28.523999999999997,410.0,10.0,61.1,0.62,1.98,2.2,24.0,0.0,STAT,,,,,,,7.2888
2025-03-20 04:09:23-07:00,9.46,176.09900000000002,3.564,14.143500000000001,28.139999999999997,410.0,10.0,61.1,0.82,2.13,2.51,26.0,0.0,STAT,,,,,,,7.332
2025-03-20 04:10:24-07:00,9.45,179.223,4.059,14.28,28.092,410.0,10.0,61.2,0.83,2.2,2.61,26.0,0.0,STAT,,,,,,,7.378400000000001
2025-03-20 04:11:24-07:00,9.46,179.872,4.788,13.6395,30.528,410.0,10.0,61.2,0.94,2.32,2.64,25.0,0.0,STAT,,,,,,,7.9616
2025-03-20 04:12:24-07:00,9.45,178.67300000000003,4.788,15.057,26.639999999999997,410.0,10.0,61.3,0.94,1.99,2.27,24.0,0.0,STAT,,,,,,,6.92
2025-03-20 04:13:24-07:00,9.45,181.36800000000002,4.8149999999999995,14.9835,26.7,410.0,10.0,61.3,0.83,2.07,2.16,25.0,0.0,STAT,,,,,,,6.9959999999999996
2025-03-20 04:14:24-07:00,9.45,176.77,-0.036000000000000004,14.532,26.987999999999996,410.0,10.0,61.1,0.38,1.33,1.66,30.0,0.0,STAT,,,,,,,6.4616
2025-03-20 04:15:24-07:00,9.45,182.303,3.591,13.807500000000001,27.215999999999998,410.0,10.0,61.1,0.76,2.0,2.82,26.0,-1.0,STAT,,,,,,,7.043200000000001
2025-03-20 04:16:24-07:00,9.45,183.48000000000002,3.9869999999999997,13.9755,27.552,410.0,9.9,60.7,0.4,1.71,2.11,27.0,0.0,STAT,,,,,,,6.878400000000001
2025-03-20 04:17:26-07:00,9.45,177.22100000000003,5.085000000000001,12.831000000000001,29.759999999999998,410.0,9.9,60.5,0.64,1.67,1.84,25.0,-1.0,STAT,,,,,,,7.288
