DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,126,22,3984015235,112,20,-3,-30,2194227759,AQI
2025-03-17 03:56:03-07:00,6.94,170.15900000000002,6.408,13.807500000000001,19.871999999999996,402.05,7.9,66.8,0.0,0.07,0.17,16.0,2.0,,,,,,,4.030399999999999
2025-03-17 03:57:03-07:00,6.93,167.244,6.381,13.996500000000001,20.34,401.37,7.9,67.1,0.0,0.03,0.06,17.0,2.0,,,,,,,4.0920000000000005
2025-03-17 03:58:03-07:00,6.89,165.11,5.589,14.616,18.227999999999998,401.13,7.8,67.2,0.0,0.01,0.25,17.0,2.0,,,,,,,3.6536
2025-03-17 03:59:03-07:00,6.85,163.48200000000003,6.084,13.6395,17.639999999999997,401.05,7.8,67.3,0.0,0.0,0.59,16.0,2.0,,,,,,,3.5279999999999996
2025-03-17 04:00:03-07:00,6.83,162.85500000000002,6.5520000000000005,14.406,14.58,401.02,7.8,67.9,0.0,0.0,0.2,17.0,2.0,,,,,,,2.9160000000000004
2025-03-17 04:01:04-07:00,6.81,160.99600000000004,5.202,13.7655,14.772,401.01,7.8,67.8,0.0,0.0,0.07,18.0,2.0,,,,,,,2.9544
2025-03-17 04:02:04-07:00,6.76,159.786,6.992999999999999,13.65,14.495999999999999,401.0,7.8,68.0,0.0,0.03,0.27,16.0,2.0,,,,,,,2.9232
2025-03-17 04:03:04-07:00,6.73,157.234,5.049,13.923,15.143999999999998,401.0,7.8,67.8,0.0,0.25,0.33,17.0,2.0,,,,,,,3.2288
2025-03-17 04:04:04-07:00,6.71,158.36700000000002,5.346,14.532,15.888,401.0,7.8,67.6,0.23,0.53,0.56,16.0,2.0,,,,,,,3.6016
2025-03-17 04:05:04-07:00,6.66,158.07,5.913,14.185500000000001,15.468,401.0,7.7,68.0,0.07,0.17,0.18,16.0,2.0,,,,,,,3.2296000000000005
2025-03-17 04:06:05-07:00,6.63,151.92100000000002,4.932,14.7105,14.772,401.0,7.7,68.0,0.02,0.55,0.55,17.0,2.0,,,,,,,3.3944
2025-03-17 04:07:05-07:00,6.61,156.32100000000003,5.022,14.4375,15.876,401.0,7.7,67.8,0.01,0.45,0.6,17.0,2.0,,,,,,,3.5352
2025-03-17 04:08:05-07:00,6.56,159.10399999999998,5.265,15.225000000000001,13.584,400.5,7.7,68.4,0.0,0.23,0.28,17.0,2.0,,,,,,,2.9008000000000003
2025-03-17 04:09:05-07:00,6.53,161.12800000000001,6.201,14.9835,13.847999999999999,400.18,7.6,68.5,0.0,0.13,0.14,16.0,3.0,,,,,,,2.8736
2025-03-17 04:10:05-07:00,6.51,163.93300000000002,6.615,14.973,14.783999999999999,400.06,7.6,68.6,0.0,0.39,0.43,15.0,2.0,,,,,,,3.2687999999999997
2025-03-17 04:11:05-07:00,6.46,164.95600000000002,6.759,16.2855,14.735999999999999,400.02,7.6,68.4,0.0,0.55,1.06,16.0,2.0,,,,,,,3.3872
2025-03-17 04:12:05-07:00,6.43,166.10000000000002,7.038,17.8185,13.38,400.49,7.6,68.5,0.0,0.18,0.47,17.0,2.0,,,,,,,2.8200000000000003
2025-03-17 04:13:05-07:00,6.41,168.553,4.986,18.543,11.58,400.82,7.6,68.9,0.08,0.7,0.79,17.0,2.0,,,,,,,2.8760000000000003
2025-03-17 04:14:05-07:00,6.36,171.776,5.058,18.238500000000002,12.299999999999999,401.17,7.6,68.6,0.03,0.23,0.26,17.0,2.0,,,,,,,2.644
2025-03-17 04:15:06-07:00,6.33,180.092,5.607,19.803,13.031999999999998,402.19,7.5,69.0,0.01,0.25,0.26,17.0,2.0,,,,,,,2.8064
