DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,120,26,-9,-32,2666596339,22,-7,4020660837,AQI
2025-03-16 09:09:33-07:00,6.44,187.187,7.596,14.448,23.268,418.0,7.6,76.0,1.94,3.43,3.43,17.0,0.0,-2.0,STAT,,,,,7.397600000000001
2025-03-16 09:10:33-07:00,6.44,183.304,7.668,14.0175,24.06,418.0,7.6,75.8,1.77,3.49,3.76,17.0,-1.0,-1.0,STAT,,,,,7.604000000000001
2025-03-16 09:11:34-07:00,6.44,184.82200000000003,7.226999999999999,14.227500000000001,23.148,418.0,7.7,75.8,1.77,3.13,3.52,18.0,0.0,-1.0,STAT,,,,,7.1335999999999995
2025-03-16 09:12:30-07:00,6.44,184.42600000000002,6.705,14.343,22.523999999999997,418.0,7.7,75.8,1.76,3.17,3.5,18.0,0.0,-1.0,STAT,,,,,7.040799999999999
2025-03-16 09:13:30-07:00,6.44,187.55,7.632000000000001,15.0045,22.992,418.0,7.6,75.4,1.75,3.79,4.02,17.0,0.0,-1.0,STAT,,,,,7.630400000000001
2025-03-16 09:14:30-07:00,6.44,187.407,6.8759999999999994,15.33,23.544,418.0,7.6,75.7,1.46,3.42,3.83,18.0,0.0,-2.0,STAT,,,,,7.444800000000001
2025-03-16 09:15:30-07:00,6.44,188.529,7.263000000000001,14.973,24.779999999999998,418.0,7.6,75.8,1.83,3.77,3.9,18.0,0.0,0.0,STAT,,,,,7.9719999999999995
2025-03-16 09:16:30-07:00,6.44,183.59000000000003,5.895,15.33,23.184,418.0,7.6,75.7,1.78,4.17,4.57,18.0,-1.0,-1.0,STAT,,,,,7.9728
2025-03-16 09:17:31-07:00,6.44,186.16400000000002,7.911,15.288000000000002,24.744,418.0,7.6,75.5,1.81,3.69,4.0,17.0,-1.0,-1.0,STAT,,,,,7.9008
2025-03-16 09:18:31-07:00,6.44,183.48000000000002,5.418,15.309000000000001,24.072,418.0,7.6,75.7,1.73,3.67,3.78,20.0,-1.0,-1.0,STAT,,,,,7.7504
2025-03-16 09:19:31-07:00,6.44,184.195,8.19,15.193500000000002,22.08,418.0,7.6,75.7,1.79,3.86,4.07,17.0,-1.0,-2.0,STAT,,,,,7.504
2025-03-16 09:20:32-07:00,6.44,187.418,7.101,14.595,23.328,418.0,7.6,75.9,1.86,3.85,4.23,17.0,-1.0,-1.0,STAT,,,,,7.7456000000000005
2025-03-16 09:21:32-07:00,6.44,183.54600000000002,6.885000000000001,14.2905,22.512,418.0,7.6,75.9,1.77,3.88,4.14,17.0,-1.0,-2.0,STAT,,,,,7.606400000000001
2025-03-16 09:22:33-07:00,6.44,183.20500000000004,5.976,14.521500000000001,21.576,418.0,7.6,75.7,2.06,4.58,4.77,19.0,-1.0,-2.0,STAT,,,,,7.9792000000000005
2025-03-16 09:23:33-07:00,6.44,183.942,8.082,14.301,24.552,418.0,7.6,75.6,2.02,4.05,4.89,16.0,-1.0,-1.0,STAT,,,,,8.150400000000001
2025-03-16 09:24:33-07:00,6.44,187.17600000000002,9.243,14.332500000000001,23.808,418.27,7.6,75.4,2.09,3.83,4.15,17.0,0.0,-1.0,STAT,,,,,7.8256000000000006
2025-03-16 09:25:33-07:00,6.44,188.26500000000001,7.659,14.826,22.247999999999998,418.71,7.6,75.8,1.93,3.87,4.06,17.0,-1.0,-2.0,STAT,,,,,7.545599999999999
2025-03-16 09:26:33-07:00,6.45,188.001,8.388,13.996500000000001,21.744,418.9,7.6,75.9,2.21,4.16,4.22,17.0,-1.0,-2.0,STAT,,,,,7.6768
2025-03-16 09:27:33-07:00,6.44,192.86300000000003,7.911,14.605500000000001,22.812,418.96,7.6,75.7,2.37,4.32,4.82,17.0,-1.0,-2.0,STAT,,,,,8.0184
2025-03-16 09:28:33-07:00,6.44,196.48200000000003,8.55,14.196,23.04,419.28,7.6,75.8,2.3,4.93,5.18,17.0,-1.0,-2.0,STAT,,,,,8.552
2025-03-16 09:29:33-07:00,6.44,198.11,7.146000000000001,14.385,22.044,419.46,7.6,75.9,2.1,4.31,4.4,17.0,-1.0,-2.0,STAT,,,,,7.8568
2025-03-16 09:30:34-07:00,6.44,196.09700000000004,6.633,15.603,20.808,419.66,7.6,76.1,1.64,3.48,3.67,18.0,0.0,-2.0,STAT,,,,,6.945600000000001
2025-03-16 09:31:34-07:00,6.43,195.987,6.732,15.204,19.439999999999998,419.88,7.6,76.0,1.83,3.49,3.55,17.0,-1.0,-2.0,STAT,,,,,6.68
2025-03-16 09:32:34-07:00,6.42,194.161,6.48,14.91,22.128,419.96,7.6,75.5,2.04,4.46,4.92,18.0,-1.0,-1.0,STAT,,,,,7.993600000000001
2025-03-16 09:33:35-07:00,6.42,188.936,4.887,15.025500000000001,21.528000000000002,419.99,7.6,75.9,1.69,3.67,3.81,19.0,-1.0,-2.0,STAT,,,,,7.241600000000001
2025-03-16 09:34:35-07:00,6.42,189.629,6.12,14.679,21.863999999999997,419.99,7.6,75.9,1.94,3.52,3.57,19.0,-1.0,-2.0,STAT,,,,,7.1888000000000005
2025-03-16 09:35:35-07:00,6.42,189.244,5.9399999999999995,14.994,21.695999999999998,420.0,7.6,75.9,2.2,3.99,4.0,19.0,-1.0,-1.0,STAT,,,,,7.5312
