DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,136,26,-2,2047887869,113,23,1438089330,AQI
2025-03-16 12:22:02-07:00,6.32,183.854,9.234,15.025500000000001,35.22,414.0,7.5,74.9,0.99,1.61,1.83,16.0,0.0,-1,,,,,8.332
2025-03-16 12:23:04-07:00,6.32,186.175,8.649,13.9755,32.855999999999995,414.0,7.5,75.0,1.21,1.78,1.87,18.0,-1.0,-1,,,,,7.9952
2025-03-16 12:24:04-07:00,6.32,181.55500000000004,8.064000000000002,14.741999999999999,30.095999999999997,414.0,7.6,75.1,1.12,2.95,2.97,19.0,-1.0,-2,,,,,8.3792
2025-03-16 12:25:04-07:00,6.33,180.103,9.081,13.5555,33.192,414.35,7.6,74.8,0.91,2.81,2.82,18.0,-1.0,-2,,,,,8.886400000000002
2025-03-16 12:26:04-07:00,6.33,182.853,8.73,13.807500000000001,32.844,414.77,7.6,74.7,0.73,2.7,3.16,17.0,0.0,-2,,,,,8.7288
2025-03-16 12:27:04-07:00,6.34,190.20100000000002,10.512,14.4795,33.132,415.57,7.6,74.8,0.65,2.16,2.31,16.0,0.0,-1,,,,,8.3544
2025-03-16 12:28:05-07:00,6.34,189.717,10.278,13.524000000000001,34.224,415.85,7.6,74.8,0.88,2.0,2.14,16.0,0.0,-1,,,,,8.444799999999999
2025-03-16 12:29:05-07:00,6.33,188.144,8.055,15.057,31.212,415.95,7.6,74.8,0.89,1.79,1.84,17.0,0.0,-1,,,,,7.6744
2025-03-16 12:30:05-07:00,6.32,184.14000000000001,7.569,14.763000000000002,34.379999999999995,415.98,7.6,74.7,0.87,1.84,1.85,17.0,0.0,0,,,,,8.347999999999999
2025-03-16 12:31:05-07:00,6.32,181.81900000000002,7.236,11.0355,38.028,415.05,7.6,74.7,0.93,1.95,1.95,17.0,0.0,-1,,,,,9.1656
2025-03-16 12:32:06-07:00,6.31,183.029,8.082,12.159,35.699999999999996,414.37,7.5,74.9,0.98,1.94,2.34,18.0,0.0,-1,,,,,8.692
2025-03-16 12:33:06-07:00,6.32,178.211,8.748000000000001,12.7575,31.56,414.39,7.6,75.0,0.85,1.75,2.12,17.0,0.0,-1,,,,,7.712000000000001
2025-03-16 12:34:06-07:00,6.31,173.778,9.270000000000001,14.133000000000001,30.012,414.79,7.6,74.9,1.14,2.92,3.31,17.0,0.0,-1,,,,,8.3384
2025-03-16 12:35:06-07:00,6.31,174.966,9.693,13.839,31.595999999999997,415.08,7.7,74.7,1.17,2.68,2.82,17.0,-1.0,-1,,,,,8.4632
2025-03-16 12:36:06-07:00,6.31,179.14600000000004,9.198,12.873000000000001,34.728,415.68,7.6,74.6,1.08,2.86,2.94,17.0,-1.0,-1,,,,,9.233600000000001
2025-03-16 12:37:06-07:00,6.31,177.46300000000002,6.803999999999999,12.894,32.268,415.27,7.6,74.7,1.29,2.79,2.82,19.0,0.0,-1,,,,,8.6856
2025-03-16 12:38:06-07:00,6.31,177.32,8.802,12.6945,32.544,415.71,7.6,74.7,1.05,2.85,2.85,18.0,0.0,-1,,,,,8.7888
2025-03-16 12:39:06-07:00,6.31,174.09700000000004,9.009,12.768,29.82,415.57,7.6,74.7,0.73,2.6,2.61,17.0,0.0,-1,,,,,8.044
2025-03-16 12:40:07-07:00,6.31,172.348,10.341000000000001,13.723500000000001,31.631999999999998,415.5,7.6,74.7,0.74,2.31,2.9,17.0,0.0,0,,,,,8.1744
2025-03-16 12:41:07-07:00,6.31,174.317,9.594000000000001,14.133000000000001,28.991999999999997,415.29,7.7,74.6,0.83,2.63,3.01,17.0,0.0,-1,,,,,7.9024
2025-03-16 12:42:07-07:00,6.31,184.734,9.477,13.125,27.528000000000002,415.1,7.7,74.6,1.12,2.49,2.61,19.0,0.0,-1,,,,,7.497600000000001
2025-03-16 12:43:03-07:00,6.31,200.519,7.722,12.3585,30.192,415.04,7.6,74.5,1.06,2.65,3.67,19.0,0.0,-1,,,,,8.1584
2025-03-16 12:44:04-07:00,6.31,203.324,9.585,12.9465,31.895999999999997,415.01,7.6,74.6,0.88,2.04,2.4,17.0,0.0,-1,,,,,8.0112
2025-03-16 12:45:04-07:00,6.31,197.417,9.657,15.0675,31.62,415.04,7.6,74.6,0.89,1.95,2.06,18.0,0.0,-1,,,,,7.884
2025-03-16 12:46:04-07:00,6.31,200.893,11.052,16.5585,30.24,415.47,7.6,74.6,0.77,1.93,2.03,16.0,0.0,0,,,,,7.5920000000000005
2025-03-16 12:47:04-07:00,6.31,201.14600000000004,10.170000000000002,14.7105,31.092,415.52,7.6,74.6,0.92,2.29,2.56,16.0,0.0,0,,,,,8.0504
2025-03-16 12:48:04-07:00,6.31,194.601,10.044,13.839,32.58,415.18,7.6,74.7,0.87,2.09,2.18,16.0,0.0,0,,,,,8.188
2025-03-16 12:49:05-07:00,6.3,190.12400000000002,10.754999999999999,14.668500000000002,32.268,415.14,7.7,74.7,0.74,1.73,1.76,16.0,0.0,0,,,,,7.837600000000001
2025-03-16 12:50:05-07:00,6.3,182.853,9.288,12.9465,30.444,415.05,7.6,74.6,0.67,1.49,1.58,18.0,0.0,-1,,,,,7.2808
2025-03-16 12:51:05-07:00,6.3,181.61,9.485999999999999,13.3665,32.916,415.02,7.7,74.5,0.48,1.83,2.05,17.0,0.0,-1,,,,,8.0472
2025-03-16 12:52:05-07:00,6.29,184.64600000000004,10.251000000000001,14.920500000000002,33.3,415.01,7.6,74.5,0.77,1.69,1.85,16.0,0.0,-1,,,,,8.012
2025-03-16 12:53:05-07:00,6.29,182.05,9.342,15.435,30.479999999999997,415.0,7.6,74.6,0.83,1.9,2.12,17.0,0.0,-2,,,,,7.616
2025-03-16 12:54:06-07:00,6.29,176.89100000000002,10.197000000000001,12.2535,34.872,415.83,7.6,74.7,0.94,1.95,2.22,16.0,0.0,-1,,,,,8.5344
2025-03-16 12:55:07-07:00,6.29,179.157,10.719000000000001,13.524000000000001,37.488,416.59,7.5,74.7,0.98,2.03,2.13,15.0,0.0,0,,,,,9.1216
2025-03-16 12:56:07-07:00,6.29,180.345,9.774,12.127500000000001,39.384,416.85,7.5,74.8,0.77,1.9,1.93,16.0,-1.0,0,,,,,9.3968
2025-03-16 12:57:07-07:00,6.29,183.54600000000002,9.234,12.4845,39.804,416.23,7.5,74.9,0.92,2.2,2.21,16.0,0.0,0,,,,,9.7208
2025-03-16 12:58:07-07:00,6.28,182.358,8.316,13.534500000000001,37.344,416.08,7.5,75.0,0.98,2.08,2.23,16.0,0.0,-1,,,,,9.132800000000001
2025-03-16 12:59:07-07:00,6.27,181.89600000000004,9.288,13.251,34.224,416.48,7.5,75.1,0.97,1.86,2.23,17.0,-1.0,-1,,,,,8.332799999999999
2025-03-16 13:00:07-07:00,6.26,181.104,10.737,12.116999999999999,35.904,417.11,7.5,75.3,0.99,2.55,3.1,17.0,0.0,0,,,,,9.2208
2025-03-16 13:01:07-07:00,6.24,181.69800000000004,8.811,13.5555,34.536,417.43,7.5,75.1,0.68,2.38,2.57,18.0,-1.0,-2,,,,,8.8112
2025-03-16 13:02:07-07:00,6.24,184.591,9.135,14.143500000000001,33.047999999999995,417.52,7.5,75.1,0.73,2.38,2.89,16.0,-1.0,-1,,,,,8.5136
2025-03-16 13:03:07-07:00,6.23,178.54100000000003,7.551000000000001,13.4715,36.948,417.29,7.5,75.1,0.91,2.09,2.34,18.0,0.0,-1,,,,,9.0616
