DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,102,20,-3,-27,2802796070,92,26,-4,-25,2768190566,AQI
2025-03-18 20:32:52-07:00,12.54,174.625,8.541,5.565,18.192,421.0,11.9,41.9,0.0,0.03,0.27,32.0,-4.0,-6.0,STAT,,,,,,,3.6624000000000003
2025-03-18 20:33:53-07:00,12.6,170.5,8.154,3.8955,19.608,421.0,11.9,41.4,0.0,0.05,0.16,32.0,-3.0,-6.0,STAT,,,,,,,3.9616000000000002
2025-03-18 20:34:53-07:00,12.66,167.376,9.225,4.914,19.56,421.0,11.9,41.1,0.0,0.02,0.05,32.0,-3.0,-5.0,STAT,,,,,,,3.928
2025-03-18 20:35:53-07:00,12.71,165.209,7.929,5.7540000000000004,19.548,420.93,11.9,41.0,0.0,0.09,0.11,33.0,-2.0,-4.0,STAT,,,,,,,3.9816
2025-03-18 20:36:53-07:00,12.76,163.559,8.379000000000001,5.628000000000001,19.212,420.48,12.0,40.6,0.0,0.03,0.03,32.0,-3.0,-5.0,STAT,,,,,,,3.8664
2025-03-18 20:37:53-07:00,12.81,169.44400000000002,8.082,5.3025,21.468,420.82,12.0,40.4,0.0,0.39,0.42,33.0,-3.0,-4.0,STAT,,,,,,,4.605600000000001
2025-03-18 20:38:54-07:00,12.85,164.978,9.144,4.5465,22.284,420.94,12.0,39.9,0.0,0.13,0.21,31.0,-3.0,-3.0,STAT,,,,,,,4.5608
2025-03-18 20:39:54-07:00,12.9,172.96400000000003,8.469000000000001,3.3810000000000002,22.74,421.63,12.1,40.0,0.0,0.04,0.15,31.0,-4.0,-5.0,STAT,,,,,,,4.58
2025-03-18 20:40:54-07:00,12.92,165.44000000000003,8.658,3.4755000000000003,21.3,421.55,12.2,39.2,0.0,0.01,0.05,32.0,-4.0,-5.0,STAT,,,,,,,4.268000000000001
2025-03-18 20:41:54-07:00,12.98,164.285,8.469000000000001,4.2735,22.62,421.19,12.1,39.1,0.0,0.0,0.02,33.0,-3.0,-3.0,STAT,,,,,,,4.524
2025-03-18 20:42:54-07:00,13.01,164.98900000000003,8.208,6.016500000000001,20.688,421.07,12.1,39.4,0.0,0.0,0.01,33.0,-2.0,-3.0,STAT,,,,,,,4.1376
2025-03-18 20:43:55-07:00,13.04,157.12400000000002,8.118,5.2605,20.663999999999998,421.02,12.2,38.6,0.0,0.0,0.0,33.0,-3.0,-4.0,STAT,,,,,,,4.1328
2025-03-18 20:44:54-07:00,13.09,164.219,7.973999999999999,4.7355,22.092,421.01,12.3,38.7,0.0,0.0,0.0,34.0,-3.0,-4.0,STAT,,,,,,,4.4184
2025-03-18 20:45:54-07:00,13.12,169.87300000000002,8.739,4.4415000000000004,22.704,421.04,12.4,38.6,0.0,0.0,0.0,33.0,-4.0,-4.0,STAT,,,,,,,4.5408
2025-03-18 20:46:55-07:00,13.18,171.875,7.389000000000001,3.948,23.328,421.01,12.4,38.6,0.0,0.22,0.33,33.0,-3.0,-5.0,STAT,,,,,,,4.841600000000001
2025-03-18 20:47:55-07:00,13.21,174.636,8.514000000000001,4.2,21.863999999999997,421.0,12.3,38.7,0.0,0.15,0.2,33.0,-2.0,-4.0,STAT,,,,,,,4.4928
2025-03-18 20:48:55-07:00,13.25,165.22,8.289000000000001,4.787999999999999,20.291999999999998,421.0,12.3,38.5,0.0,0.05,0.3,34.0,-2.0,-4.0,STAT,,,,,,,4.0984
2025-03-18 20:49:56-07:00,13.29,166.23200000000003,8.046,4.41,21.744,420.97,12.3,38.1,0.0,0.02,0.13,34.0,-3.0,-4.0,STAT,,,,,,,4.3648
2025-03-18 20:50:56-07:00,13.31,179.13500000000002,9.306000000000001,5.0504999999999995,23.028000000000002,420.99,12.2,38.3,0.0,0.03,0.06,32.0,-1.0,-3.0,STAT,,,,,,,4.629600000000001
2025-03-18 20:51:56-07:00,13.32,173.83300000000003,9.243,6.1425,21.863999999999997,421.0,12.2,38.5,0.0,0.01,0.51,33.0,-1.0,-3.0,STAT,,,,,,,4.3808
2025-03-18 20:52:56-07:00,13.33,167.25500000000002,9.234,6.279000000000001,21.516,420.82,12.2,38.7,0.0,0.0,0.16,32.0,0.0,-3.0,STAT,,,,,,,4.3031999999999995
2025-03-18 20:53:56-07:00,13.33,159.52200000000002,8.622,4.7145,22.656,420.37,12.3,38.2,0.0,0.0,0.05,33.0,-3.0,-3.0,STAT,,,,,,,4.5312
2025-03-18 20:54:56-07:00,13.33,158.57600000000002,8.676,3.7065,24.636,420.78,12.4,37.6,0.0,0.2,0.34,34.0,-4.0,-3.0,STAT,,,,,,,5.0872
2025-03-18 20:55:56-07:00,13.37,166.177,9.333,4.2735,24.432,420.92,12.4,37.3,0.0,0.06,0.2,33.0,-3.0,-2.0,STAT,,,,,,,4.9344
2025-03-18 20:56:56-07:00,13.39,237.754,10.098,4.83,23.087999999999997,421.13,12.3,37.6,0.44,0.58,0.62,32.0,-2.0,-3.0,STAT,,,,,,,5.0816
2025-03-18 20:57:56-07:00,13.4,200.80500000000004,8.901000000000002,6.7095,20.88,421.08,12.3,38.0,0.14,0.18,0.2,32.0,-1.0,-4.0,STAT,,,,,,,4.32
2025-03-18 20:58:56-07:00,13.4,170.87400000000002,6.885000000000001,8.599499999999999,19.644000000000002,421.03,12.5,39.4,0.05,0.15,0.32,34.0,-2.0,-3.0,STAT,,,,,,,4.048800000000001
2025-03-18 20:59:57-07:00,13.41,167.91500000000002,8.829,4.809,23.868,421.63,12.5,37.5,0.02,0.06,0.16,34.0,-3.0,-2.0,STAT,,,,,,,4.8216
2025-03-18 21:00:57-07:00,13.42,172.469,7.848000000000001,3.8325,26.4,421.87,12.5,37.1,0.01,0.02,0.05,35.0,-3.0,-1.0,STAT,,,,,,,5.296
2025-03-18 21:01:57-07:00,13.42,177.254,7.578,4.588500000000001,25.572,422.12,12.5,37.2,0.0,0.01,0.02,35.0,-2.0,-1.0,STAT,,,,,,,5.1224
2025-03-18 21:02:57-07:00,13.42,167.376,8.685,6.016500000000001,22.428,422.69,12.4,37.2,0.0,0.1,0.21,33.0,0.0,-2.0,STAT,,,,,,,4.565600000000001
2025-03-18 21:03:57-07:00,13.42,161.678,6.5520000000000005,8.7675,19.032,422.39,12.3,38.6,0.0,0.13,0.17,34.0,0.0,-3.0,STAT,,,,,,,3.9104
2025-03-18 21:04:57-07:00,13.42,157.83900000000003,7.173,7.665,20.112000000000002,422.14,12.3,38.2,0.0,0.18,0.2,35.0,0.0,-3.0,STAT,,,,,,,4.1664
2025-03-18 21:05:57-07:00,13.42,162.10700000000003,6.957000000000001,8.274000000000001,21.599999999999998,422.05,12.3,39.1,0.0,0.06,0.07,35.0,0.0,-2.0,STAT,,,,,,,4.367999999999999
2025-03-18 21:06:57-07:00,13.42,164.626,8.523000000000001,7.591500000000001,22.392,422.02,12.3,39.1,0.0,0.23,0.24,34.0,-1.0,-2.0,STAT,,,,,,,4.6624
2025-03-18 21:07:58-07:00,13.43,164.703,7.218,7.0665000000000004,22.224,421.43,12.2,39.6,0.0,0.08,0.08,34.0,-1.0,-2.0,STAT,,,,,,,4.5088
2025-03-18 21:08:58-07:00,13.43,156.78300000000002,6.561,8.4105,21.924,421.15,12.3,39.3,0.0,0.03,0.03,34.0,-1.0,-1.0,STAT,,,,,,,4.4088
2025-03-18 21:09:59-07:00,13.43,159.852,6.803999999999999,7.1295,22.704,421.67,12.3,39.6,0.0,0.01,0.01,34.0,-1.0,-2.0,STAT,,,,,,,4.5488
2025-03-18 21:10:59-07:00,13.43,161.48000000000002,7.416,7.392,20.976,421.88,12.3,39.1,0.0,0.0,0.0,34.0,0.0,-2.0,STAT,,,,,,,4.1952
2025-03-18 21:11:59-07:00,13.43,162.61300000000003,6.723,7.287000000000001,22.295999999999996,421.96,12.3,39.0,0.0,0.29,0.3,35.0,0.0,-1.0,STAT,,,,,,,4.691199999999999
2025-03-18 21:12:59-07:00,13.43,167.13400000000001,7.713,7.728000000000001,22.464,421.48,12.2,39.3,0.0,0.26,0.5,33.0,0.0,-1.0,STAT,,,,,,,4.7008
2025-03-18 21:13:59-07:00,13.43,160.03900000000002,6.273,8.379000000000001,22.104000000000003,421.17,12.3,39.8,0.0,0.09,0.73,35.0,-1.0,-1.0,STAT,,,,,,,4.492800000000001
2025-03-18 21:14:54-07:00,13.43,164.30700000000002,7.047000000000001,6.8985,23.795999999999996,421.07,12.3,38.8,0.0,0.03,0.24,34.0,-2.0,-1.0,STAT,,,,,,,4.783199999999999
2025-03-18 21:15:54-07:00,13.42,167.904,6.5520000000000005,8.442,21.084,421.29,12.3,39.6,0.0,0.21,0.28,33.0,-1.0,-2.0,STAT,,,,,,,4.3848
2025-03-18 21:16:54-07:00,13.42,164.395,5.796,8.358,21.755999999999997,421.14,12.4,39.9,0.0,0.12,0.14,34.0,0.0,-2.0,STAT,,,,,,,4.4472
2025-03-18 21:17:55-07:00,13.41,166.562,7.731,6.867,22.308,421.55,12.4,38.7,0.0,0.28,0.56,34.0,-1.0,-2.0,STAT,,,,,,,4.6856
2025-03-18 21:18:55-07:00,13.41,169.04800000000003,5.994000000000001,7.329000000000001,22.404,421.84,12.4,39.6,0.0,0.61,0.73,36.0,0.0,-2.0,STAT,,,,,,,4.9688
2025-03-18 21:19:55-07:00,13.41,166.529,7.893,6.772500000000001,23.268,421.94,12.3,39.0,0.0,0.3,0.35,35.0,0.0,-1.0,STAT,,,,,,,4.8936
2025-03-18 21:20:56-07:00,13.36,166.39700000000002,7.011,8.6835,21.492,421.95,12.3,39.8,0.0,0.38,0.4,34.0,1.0,-1.0,STAT,,,,,,,4.6024
2025-03-18 21:21:56-07:00,13.34,166.77100000000002,5.985,7.917000000000001,23.195999999999998,421.98,12.2,39.5,0.0,0.12,0.13,36.0,0.0,-1.0,STAT,,,,,,,4.7352
2025-03-18 21:22:56-07:00,13.33,172.96400000000003,7.623000000000001,6.657,24.072,421.99,12.1,39.6,0.0,0.04,0.04,34.0,1.0,0.0,STAT,,,,,,,4.8464
2025-03-18 21:23:56-07:00,13.3,166.001,7.083,8.883000000000001,21.42,422.0,12.0,40.2,0.0,0.01,0.01,33.0,3.0,0.0,STAT,,,,,,,4.292000000000001
2025-03-18 21:24:56-07:00,13.25,165.29700000000003,7.29,9.4605,21.779999999999998,421.85,11.9,40.5,0.0,0.0,0.0,33.0,1.0,0.0,STAT,,,,,,,4.356
2025-03-18 21:25:56-07:00,13.24,164.945,8.055,9.555,22.392,421.53,11.9,41.0,0.0,0.08,0.08,33.0,2.0,0.0,STAT,,,,,,,4.5424
2025-03-18 21:26:56-07:00,13.19,159.258,7.2,11.256000000000002,21.96,421.19,11.9,41.0,0.0,0.24,0.24,33.0,1.0,0.0,STAT,,,,,,,4.5840000000000005
2025-03-18 21:27:56-07:00,13.15,161.799,7.470000000000001,9.6705,24.131999999999998,421.24,12.0,41.0,0.0,0.34,0.34,32.0,0.0,0.0,STAT,,,,,,,5.0984
2025-03-18 21:28:56-07:00,13.13,163.07500000000002,6.849,10.248,22.476,421.08,12.1,40.6,0.0,0.11,0.11,34.0,-1.0,0.0,STAT,,,,,,,4.5832
2025-03-18 21:29:56-07:00,13.11,166.55100000000002,6.992999999999999,9.009,25.188,421.03,12.2,40.5,0.0,0.03,0.27,35.0,-2.0,0.0,STAT,,,,,,,5.0616
2025-03-18 21:30:57-07:00,13.06,173.06300000000002,7.443,9.2715,24.456,421.01,12.2,40.0,0.0,0.01,0.08,35.0,-1.0,0.0,STAT,,,,,,,4.8992
2025-03-18 21:31:57-07:00,13.04,178.15600000000003,6.048,10.668000000000001,21.96,420.46,12.1,40.9,0.0,0.0,0.03,34.0,1.0,0.0,STAT,,,,,,,4.392
2025-03-18 21:32:57-07:00,13.03,171.83100000000002,7.632000000000001,9.1875,21.587999999999997,420.6,12.1,40.2,0.0,0.0,0.01,33.0,0.0,0.0,STAT,,,,,,,4.3176
