DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,152,28,-9,-24,4031584769,136,26,-2,2047887869,AQI
2025-03-15 14:07:07-07:00,5.26,212.90500000000003,10.971,19.7505,11.988,414.0,6.7,74.3,0.57,1.54,1.75,13.0,0.0,-1.0,STAT,,,,,,3.6296000000000004
2025-03-15 14:08:07-07:00,5.26,218.88900000000004,11.205,20.3805,12.684,414.0,6.7,74.3,0.59,1.38,1.45,13.0,0.0,-2.0,STAT,,,,,,3.6407999999999996
2025-03-15 14:09:07-07:00,5.26,218.834,11.412,18.3015,15.156,414.0,6.7,74.4,0.86,1.86,2.04,13.0,0.0,-1.0,STAT,,,,,,4.5192000000000005
2025-03-15 14:10:07-07:00,5.25,241.84600000000003,11.979000000000001,18.7635,14.927999999999999,414.0,6.7,74.5,0.84,1.69,1.75,14.0,0.0,-1.0,STAT,,,,,,4.3376
2025-03-15 14:11:07-07:00,5.23,257.125,10.170000000000002,19.53,14.735999999999999,414.0,6.7,74.7,0.94,1.51,1.53,14.0,0.0,-1.0,STAT,,,,,,4.155200000000001
2025-03-15 14:12:08-07:00,5.22,247.80800000000002,10.791,19.3725,14.627999999999998,414.0,6.7,74.5,0.98,1.75,1.96,14.0,0.0,-1.0,STAT,,,,,,4.3256
2025-03-15 14:13:08-07:00,5.2,234.025,8.343,20.558999999999997,14.399999999999999,414.0,6.7,74.5,0.88,1.36,1.44,15.0,0.0,-1.0,STAT,,,,,,3.968
2025-03-15 14:14:08-07:00,5.18,235.07,11.565,18.910500000000003,15.468,414.41,6.7,74.5,0.96,1.56,1.75,13.0,0.0,-1.0,STAT,,,,,,4.341600000000001
2025-03-15 14:15:08-07:00,5.18,239.82200000000003,9.576,18.931500000000003,14.952,414.79,6.7,74.4,0.87,1.47,1.54,14.0,0.0,-1.0,STAT,,,,,,4.1664
2025-03-15 14:16:08-07:00,5.18,235.98300000000003,11.295000000000002,18.5955,14.819999999999999,414.93,6.7,74.7,0.72,1.48,1.5,12.0,0.0,-1.0,STAT,,,,,,4.148
2025-03-15 14:17:04-07:00,5.18,227.33700000000002,9.819,17.4195,15.768,414.97,6.7,74.7,0.64,1.22,1.23,14.0,-1.0,-1.0,STAT,,,,,,4.1296
2025-03-15 14:18:04-07:00,5.18,222.893,9.738000000000001,17.892,15.743999999999998,414.99,6.7,74.7,0.88,1.54,1.54,13.0,0.0,0.0,STAT,,,,,,4.3808
2025-03-15 14:19:04-07:00,5.18,237.60000000000002,9.909,17.451,14.868,415.0,6.7,74.6,0.96,1.78,1.78,13.0,0.0,-1.0,STAT,,,,,,4.397600000000001
2025-03-15 14:20:04-07:00,5.18,269.555,9.117,17.976000000000003,13.547999999999998,415.0,6.7,74.7,0.99,1.62,1.62,14.0,0.0,-1.0,STAT,,,,,,4.0056
2025-03-15 14:21:04-07:00,5.18,254.32000000000002,9.027,18.291000000000004,18.0,415.0,6.6,74.5,0.96,1.65,1.65,14.0,0.0,0.0,STAT,,,,,,4.92
2025-03-15 14:22:05-07:00,5.18,229.977,10.232999999999999,18.501,17.843999999999998,415.0,6.6,74.6,0.78,1.65,1.65,13.0,0.0,-1.0,STAT,,,,,,4.8888
2025-03-15 14:23:05-07:00,5.18,214.687,9.936,17.4195,20.316,415.0,6.5,74.8,1.0,1.8,2.02,13.0,-1.0,0.0,STAT,,,,,,5.5032000000000005
2025-03-15 14:24:05-07:00,5.18,212.70700000000002,8.270999999999999,17.576999999999998,19.584,414.9,6.5,75.1,1.0,1.93,2.01,15.0,0.0,0.0,STAT,,,,,,5.460800000000001
2025-03-15 14:25:05-07:00,5.18,211.25500000000002,7.659,19.267500000000002,17.58,414.96,6.5,75.2,1.0,1.79,2.15,15.0,0.0,0.0,STAT,,,,,,4.948
2025-03-15 14:26:05-07:00,5.17,210.716,9.306000000000001,18.2805,16.284,414.99,6.5,75.3,1.0,1.78,1.94,14.0,0.0,-1.0,STAT,,,,,,4.6808000000000005
2025-03-15 14:27:06-07:00,5.17,205.337,9.981,19.1415,13.043999999999999,415.0,6.5,75.5,1.0,1.89,1.95,13.0,0.0,-2.0,STAT,,,,,,4.1208
2025-03-15 14:28:06-07:00,5.17,208.483,9.585,20.107499999999998,15.924,415.0,6.5,75.4,0.96,1.63,1.97,13.0,0.0,0.0,STAT,,,,,,4.4888
2025-03-15 14:29:06-07:00,5.17,205.77700000000002,9.207,18.165000000000003,17.76,415.0,6.5,75.6,0.99,1.9,2.02,14.0,0.0,0.0,STAT,,,,,,5.072000000000001
2025-03-15 14:30:06-07:00,5.16,211.26600000000002,9.99,19.0155,15.276,415.0,6.5,75.6,1.0,1.97,2.01,14.0,0.0,-1.0,STAT,,,,,,4.6312
2025-03-15 14:31:07-07:00,5.16,210.29800000000003,10.053,19.8135,14.652000000000001,415.0,6.5,75.7,1.0,1.97,1.99,13.0,0.0,-1.0,STAT,,,,,,4.506400000000001
2025-03-15 14:32:06-07:00,5.16,212.64100000000002,10.314000000000002,18.732,15.312,415.62,6.5,75.7,0.96,1.7,1.7,14.0,0.0,-1.0,STAT,,,,,,4.4224000000000006
2025-03-15 14:33:06-07:00,5.16,212.245,11.142000000000001,16.978500000000004,18.192,416.02,6.5,75.8,0.99,1.68,1.68,13.0,-1.0,0.0,STAT,,,,,,4.9824
2025-03-15 14:34:06-07:00,5.16,208.13100000000003,9.126000000000001,17.881500000000003,16.764,416.66,6.5,75.7,1.0,1.76,1.76,14.0,-1.0,0.0,STAT,,,,,,4.760800000000001
2025-03-15 14:35:06-07:00,5.15,210.70500000000004,7.182,16.5375,16.608,416.88,6.6,75.8,1.06,1.89,2.17,15.0,-1.0,-1.0,STAT,,,,,,4.833600000000001
2025-03-15 14:36:06-07:00,5.15,216.66700000000003,9.297,16.831500000000002,17.7,416.8,6.5,75.8,1.04,1.49,1.58,14.0,0.0,-1.0,STAT,,,,,,4.732
2025-03-15 14:37:06-07:00,5.14,215.07200000000003,11.979000000000001,17.2515,18.035999999999998,416.86,6.5,75.6,0.76,1.56,2.08,12.0,0.0,-1.0,STAT,,,,,,4.8552
2025-03-15 14:38:06-07:00,5.13,207.51500000000001,9.107999999999999,16.989,16.968,416.33,6.5,75.8,0.84,1.85,2.1,14.0,0.0,-1.0,STAT,,,,,,4.873600000000001
2025-03-15 14:39:07-07:00,5.11,213.312,9.639000000000001,19.047,13.943999999999999,416.12,6.5,76.0,0.81,1.61,1.69,14.0,0.0,-1.0,STAT,,,,,,4.0768
2025-03-15 14:40:07-07:00,5.09,219.07600000000002,10.232999999999999,18.69,14.904,415.75,6.5,75.9,0.94,1.77,1.8,13.0,0.0,-2.0,STAT,,,,,,4.396800000000001
2025-03-15 14:41:07-07:00,5.08,221.60600000000002,10.98,19.53,13.331999999999999,415.54,6.5,76.0,0.98,1.87,2.04,13.0,0.0,-1.0,STAT,,,,,,4.1624
2025-03-15 14:42:08-07:00,5.08,221.199,9.909,18.1545,16.572,415.29,6.5,75.9,0.73,1.54,1.6,13.0,0.0,-1.0,STAT,,,,,,4.5464
