DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,89,29,-4,2227873036,104,31,-32,1188523235,AQI
2025-03-19 11:41:38-07:00,6.93,175.98900000000003,9.765,15.036000000000001,21.971999999999998,421.0,8.3,58.7,0.53,1.44,1.44,16.0,0.0,0.0,,,,,,5.5464
2025-03-19 11:42:38-07:00,6.93,179.223,9.954,14.889000000000001,23.028000000000002,421.0,8.3,58.7,0.84,1.31,1.31,16.0,0.0,0.0,,,,,,5.653600000000001
2025-03-19 11:43:37-07:00,6.93,181.52200000000002,7.11,16.5165,21.444,421.0,8.3,58.6,0.88,1.23,1.53,19.0,1.0,0.0,,,,,,5.2728
2025-03-19 11:44:37-07:00,6.93,182.512,8.028,15.687,22.812,420.77,8.3,58.7,0.91,1.57,1.67,18.0,0.0,0.0,,,,,,5.8184000000000005
2025-03-19 11:45:37-07:00,6.93,185.99900000000002,9.576,16.128,20.712,420.27,8.3,58.6,0.76,1.37,1.41,17.0,1.0,0.0,,,,,,5.2384
2025-03-19 11:46:38-07:00,6.93,189.28800000000004,7.956,15.435,21.768,420.1,8.3,58.5,0.54,1.12,1.13,19.0,0.0,0.0,,,,,,5.2496
2025-03-19 11:47:38-07:00,6.93,208.43900000000002,7.362,15.309000000000001,23.868,420.03,8.3,58.6,0.66,1.47,1.48,19.0,0.0,0.0,,,,,,5.9496
2025-03-19 11:48:44-07:00,6.93,206.04100000000003,9.629999999999999,15.162,23.291999999999998,420.01,8.3,58.6,0.73,1.38,1.38,17.0,0.0,0.0,,,,,,5.7623999999999995
2025-03-19 11:49:39-07:00,6.92,200.068,9.72,15.403500000000001,23.328,420.0,8.3,58.6,0.74,1.5,1.5,17.0,0.0,0.0,,,,,,5.865600000000001
2025-03-19 11:50:39-07:00,6.92,215.16000000000003,8.919,15.6135,24.479999999999997,420.0,8.3,58.5,0.56,1.35,1.35,17.0,0.0,0.0,,,,,,5.976
2025-03-19 11:51:39-07:00,6.92,221.386,9.522,15.813,24.732,419.54,8.3,58.5,0.78,1.38,1.38,17.0,0.0,0.0,,,,,,6.050400000000001
2025-03-19 11:52:39-07:00,6.92,213.30100000000002,8.901000000000002,15.498000000000001,25.176,419.19,8.3,58.6,0.93,1.4,1.4,18.0,0.0,0.0,,,,,,6.1552
2025-03-19 11:53:39-07:00,6.92,217.437,9.107999999999999,17.052,23.268,419.07,8.2,58.6,0.98,1.57,1.57,16.0,0.0,0.0,,,,,,5.9096
2025-03-19 11:54:38-07:00,6.92,212.08000000000004,9.414000000000001,17.892,21.06,419.02,8.3,58.7,0.63,1.47,1.47,17.0,1.0,0.0,,,,,,5.388
2025-03-19 11:55:39-07:00,6.92,196.79000000000002,9.54,16.611,23.232,419.01,8.3,58.6,0.79,1.29,1.42,17.0,0.0,0.0,,,,,,5.6784
2025-03-19 11:56:39-07:00,6.91,188.386,8.559,16.632,23.928,418.92,8.2,58.6,0.79,1.5,1.54,17.0,0.0,0.0,,,,,,5.985600000000001
2025-03-19 11:57:39-07:00,6.91,187.627,8.802,16.548000000000002,23.616,418.48,8.3,58.7,0.84,1.18,1.2,19.0,0.0,0.0,,,,,,5.6672
2025-03-19 11:58:40-07:00,6.91,183.62300000000002,8.712,14.91,25.068,418.17,8.3,58.7,0.65,1.29,1.29,18.0,0.0,0.0,,,,,,6.0456
2025-03-19 11:59:41-07:00,6.9,180.30100000000002,9.216000000000001,15.834000000000001,22.272,418.06,8.3,58.7,0.63,1.1,1.1,16.0,0.0,0.0,,,,,,5.3344
2025-03-19 12:00:41-07:00,6.9,176.95700000000002,8.82,14.805,23.124,417.75,8.3,58.8,0.67,1.11,1.12,17.0,0.0,0.0,,,,,,5.5127999999999995
2025-03-19 12:01:42-07:00,6.9,179.883,9.936,14.28,24.215999999999998,417.59,8.3,58.9,0.66,0.89,0.89,16.0,0.0,0.0,,,,,,5.555199999999999
