DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,124,54,3,-2,6,0,0.00000,0.00000.1,0.1,3264182766,141,56,4,-4,2603687616,AQI
2025-03-05 09:07:09-08:00,22.17,266.31,10.278,8.0745,12.252,417.0,21.3,32.9,0.0,0.03,0.03,0.0,0.0,1,13.77,0.02,38.37,1,-31,32.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.4744
2025-03-05 09:08:09-08:00,22.16,260.22700000000003,10.854000000000001,7.854000000000001,12.047999999999998,416.35,21.3,32.9,0.0,0.01,0.01,0.0,0.0,1,13.98,134.2,32.22,1,-30,32.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.4175999999999997
2025-03-05 09:09:09-08:00,22.16,262.196,10.098,7.791,14.088,416.71,21.3,32.9,0.0,0.0,0.0,0.0,0.0,1,13.91,37.9,30.83,1,-30,32.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.8176
2025-03-05 09:10:09-08:00,22.15,257.213,10.683,7.7385,13.223999999999998,416.9,21.3,32.8,0.0,0.0,0.0,0.0,0.0,1,13.87,10.7,32.28,1,-28,32.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.6448
2025-03-05 09:11:09-08:00,22.14,261.184,9.909,8.022,12.768,416.96,21.3,32.9,0.0,0.0,0.0,0.0,0.0,1,13.84,3.02,32.74,1,-30,33.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.5536000000000003
2025-03-05 09:12:10-08:00,22.13,261.16200000000003,8.667000000000002,7.4655000000000005,13.427999999999999,416.99,21.3,32.9,0.0,0.0,0.02,0.0,0.0,1,13.8,0.85,34.48,1,-29,33.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.6856
2025-03-05 09:13:10-08:00,22.12,266.86,9.207,7.791,13.344,417.0,21.3,32.9,0.0,0.0,0.01,0.0,0.0,1,13.8,0.24,36.73,1,-31,33.0,0.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.6688
2025-03-05 09:14:10-08:00,22.11,263.824,9.828,8.988000000000001,11.616,417.0,21.3,32.9,0.0,0.03,0.03,0.0,0.0,1,13.77,0.07,36.04,1,-30,33.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.3472
2025-03-05 09:15:10-08:00,22.1,256.036,10.575000000000001,8.274000000000001,12.984,417.0,21.3,32.9,0.0,0.01,0.09,0.0,0.0,1,13.77,0.02,29.95,1,-28,32.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.6048
2025-03-05 09:16:10-08:00,22.1,258.368,9.729000000000001,7.9590000000000005,12.96,417.0,21.3,32.9,0.0,0.0,0.13,0.0,0.0,1,13.77,0.01,33.34,1,-29,33.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.5920000000000005
2025-03-05 09:17:10-08:00,22.09,261.184,9.738000000000001,7.455,14.243999999999998,416.46,21.3,32.9,0.0,0.0,0.04,0.0,0.0,1,14.02,215.57,32.66,1,-30,32.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.8487999999999998
