DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,123,23,1139840710,148,-32,3319970658,AQI
2025-03-10 05:51:27-07:00,4.35,161.942,6.318,12.8625,15.48,414.85,6.3,77.0,0.0,0.0,0.0,15.0,1.0,,,,,3.096
2025-03-10 05:52:28-07:00,4.35,159.58800000000002,9.801,13.86,14.712,414.91,6.3,77.0,0.0,0.0,0.0,12.0,0.0,,,,,2.9424
2025-03-10 05:53:28-07:00,4.35,157.927,8.199,14.532,14.064,414.74,6.3,77.1,0.0,0.14,0.14,13.0,1.0,,,,,2.9248000000000003
2025-03-10 05:54:28-07:00,4.34,157.93800000000002,7.623000000000001,14.741999999999999,14.495999999999999,414.26,6.3,77.1,0.0,0.05,0.05,15.0,1.0,,,,,2.9392
2025-03-10 05:55:29-07:00,4.34,157.795,8.172,14.1225,15.372,414.09,6.3,77.1,0.0,0.02,0.02,13.0,1.0,,,,,3.0904000000000003
2025-03-10 05:56:29-07:00,4.33,158.675,8.298,15.204,13.908,414.53,6.3,77.0,0.0,0.01,0.01,13.0,0.0,,,,,2.7896
2025-03-10 05:57:25-07:00,4.33,159.28000000000003,9.009,14.784,14.1,414.82,6.3,77.0,0.0,0.0,0.22,13.0,0.0,,,,,2.8200000000000003
2025-03-10 05:58:25-07:00,4.33,156.112,8.649,14.217,13.008,415.38,6.3,77.0,0.0,0.0,0.15,13.0,1.0,,,,,2.6016
2025-03-10 05:59:25-07:00,4.32,158.532,7.3260000000000005,14.038499999999999,15.047999999999998,415.78,6.3,77.1,0.0,0.0,0.05,13.0,1.0,,,,,3.0096
2025-03-10 06:00:25-07:00,4.28,162.085,9.531,14.1015,13.572000000000001,415.92,6.3,77.1,0.0,0.0,0.02,13.0,0.0,,,,,2.7144000000000004
2025-03-10 06:01:25-07:00,4.25,161.70000000000002,9.783,14.2905,13.164,415.97,6.2,77.2,0.0,0.0,0.09,12.0,1.0,,,,,2.6328
2025-03-10 06:02:27-07:00,4.24,164.175,10.557,13.713000000000001,14.184,415.99,6.2,77.2,0.0,0.0,0.03,12.0,1.0,,,,,2.8368
2025-03-10 06:03:27-07:00,4.24,168.97100000000003,9.531,14.4795,13.248,415.42,6.2,77.2,0.0,0.0,0.01,12.0,1.0,,,,,2.6496
2025-03-10 06:04:28-07:00,4.24,171.292,8.568,15.1515,14.136,415.15,6.2,77.3,0.0,0.0,0.0,14.0,1.0,,,,,2.8272
2025-03-10 06:05:28-07:00,4.23,174.361,8.145000000000001,15.603,15.588,414.7,6.2,77.5,0.0,0.0,0.0,14.0,1.0,,,,,3.1176
2025-03-10 06:06:28-07:00,4.23,174.13000000000002,7.685999999999999,14.91,13.584,414.33,6.2,77.5,0.0,0.0,0.0,15.0,1.0,,,,,2.7168
2025-03-10 06:07:29-07:00,4.22,175.16400000000002,8.532,14.1015,13.799999999999999,415.34,6.2,77.4,0.0,0.0,0.0,14.0,1.0,,,,,2.76
2025-03-10 06:08:29-07:00,4.22,169.77400000000003,8.073,15.0675,15.419999999999998,416.12,6.2,77.5,0.0,0.0,0.0,13.0,1.0,,,,,3.0839999999999996
2025-03-10 06:09:29-07:00,4.19,172.38100000000003,8.964,15.9075,12.996,416.69,6.2,77.6,0.0,0.0,0.29,14.0,1.0,,,,,2.5992
