DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,122,27,-4,-31,2025747427,97,-2,3370740356,AQI
2025-03-17 04:23:40-07:00,6.13,,,,,419.46,7.5,72.2,0.05,0.61,0.61,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.11,,,,,420.35,7.5,72.4,0.02,0.54,0.54,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.11,,,,,420.46,7.5,71.7,0.01,0.64,0.64,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.11,,,,,418.19,7.4,71.5,0.0,0.57,0.69,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.11,,,,,416.26,7.4,71.5,0.0,0.52,0.69,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.11,,,,,413.74,7.5,71.9,0.0,0.52,0.57,,,,STAT,,17.0,0.0,,
2025-03-17 04:23:40-07:00,6.11,,,,,412.32,7.5,71.9,0.0,0.8,0.82,,,,STAT,,17.0,0.0,,
2025-03-17 04:23:40-07:00,6.13,,,,,411.3,7.5,71.9,0.05,1.38,1.39,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.13,,,,,411.2,7.5,72.0,0.05,1.38,1.38,,,,STAT,,16.0,0.0,,
2025-03-17 04:23:40-07:00,6.17,,,,,410.5,7.6,71.9,0.04,1.05,1.19,,,,STAT,,17.0,0.0,,
2025-03-17 04:23:40-07:00,6.19,,,,,410.18,7.6,71.8,0.01,0.95,0.99,,,,STAT,,18.0,-1.0,,
2025-03-17 04:23:40-07:00,6.2,,,,,409.71,7.6,71.8,0.17,1.05,1.3,,,,STAT,,18.0,0.0,,
2025-03-17 04:23:40-07:00,6.21,,,,,409.25,7.6,71.7,0.05,1.02,1.24,,,,STAT,,18.0,-1.0,,
2025-03-17 04:23:40-07:00,6.21,,,,,409.1,7.7,71.7,0.02,0.76,1.04,,,,STAT,,19.0,-1.0,,
2025-03-17 04:23:40-07:00,6.23,,,,,408.74,7.7,71.6,0.01,0.74,1.04,,,,STAT,,17.0,-1.0,,
2025-03-17 04:23:40-07:00,6.27,,,,,408.34,7.7,71.6,0.0,0.79,1.01,,,,STAT,,17.0,-1.0,,
2025-03-17 04:23:40-07:00,6.29,,,,,408.38,7.8,71.7,0.2,0.93,1.09,,,,STAT,,17.0,0.0,,
2025-03-17 04:23:40-07:00,6.3,,,,,408.21,7.8,71.8,0.09,0.97,1.03,,,,STAT,,15.0,-1.0,,
2025-03-17 04:47:17-07:00,6.31,,,,,408.07,7.8,71.7,0.07,1.08,1.1,,,,STAT,,16.0,-1.0,,
2025-03-17 04:48:02-07:00,6.31,,,,,408.03,7.8,71.6,0.02,1.01,1.33,,,,STAT,,17.0,-1.0,,
2025-03-17 04:49:08-07:00,6.34,,,,,408.01,7.9,71.7,0.07,1.02,1.17,,,,STAT,,16.0,-2.0,,
2025-03-17 04:50:08-07:00,6.37,,,,,408.0,7.9,71.9,0.02,0.76,0.8,,,,STAT,,16.0,-1.0,,
2025-03-17 04:50:18-07:00,6.39,,,,,408.0,7.9,71.9,0.01,0.96,0.98,,,,STAT,,17.0,-2.0,,
2025-03-17 04:50:18-07:00,6.41,,,,,408.0,7.9,71.4,0.0,0.99,0.99,,,,STAT,,16.0,-1.0,,
2025-03-17 04:50:18-07:00,6.41,,,,,407.46,7.9,71.2,0.21,0.88,0.88,,,,STAT,,16.0,-1.0,,
2025-03-17 04:50:18-07:00,6.42,,,,,406.75,7.9,71.2,0.15,0.71,0.78,,,,STAT,,17.0,-1.0,,
2025-03-17 04:50:18-07:00,6.44,,,,,406.45,7.9,71.3,0.11,0.73,0.78,,,,STAT,,18.0,-1.0,,
2025-03-17 04:50:18-07:00,6.45,,,,,406.34,7.9,70.8,0.11,0.72,0.77,,,,STAT,,18.0,-1.0,,
