DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,128,-30,338285450,141,18,-10,1588784553,AQI
2025-03-10 20:05:56-07:00,11.58,155.056,8.586,2.7615,32.388,418.0,11.1,51.2,0.0,0.0,0.0,29.0,STAT,,,,,,6.4776
2025-03-10 20:06:56-07:00,11.56,151.09600000000003,6.9479999999999995,5.019,31.32,418.0,11.0,52.0,0.0,0.0,0.0,29.0,STAT,,,,,,6.264
2025-03-10 20:07:56-07:00,11.52,150.55700000000002,9.0,5.8905,31.512,418.0,11.1,52.1,0.0,0.0,0.0,28.0,STAT,,,,,,6.3024000000000004
2025-03-10 20:08:56-07:00,11.47,158.389,9.225,7.822500000000001,28.668,418.0,11.2,52.3,0.0,0.0,0.0,27.0,STAT,,,,,,5.7336
2025-03-10 20:09:57-07:00,11.46,160.886,10.296,7.2555000000000005,29.171999999999997,418.0,11.1,52.0,0.0,0.0,0.0,27.0,STAT,,,,,,5.8344
2025-03-10 20:10:57-07:00,11.45,158.928,9.297,6.6885,28.871999999999996,418.56,11.1,51.7,0.0,0.0,0.0,28.0,STAT,,,,,,5.7744
2025-03-10 20:11:57-07:00,11.42,159.66500000000002,9.81,5.8485000000000005,29.987999999999996,418.78,11.1,51.6,0.0,0.0,0.0,29.0,STAT,,,,,,5.997599999999999
2025-03-10 20:12:57-07:00,11.38,158.829,8.955,5.418,30.384,418.92,11.1,51.6,0.0,0.0,0.0,29.0,STAT,,,,,,6.0768
2025-03-10 20:13:57-07:00,11.36,157.366,8.118,6.7515,29.136,418.97,11.2,52.2,0.0,0.0,0.0,29.0,STAT,,,,,,5.8272
2025-03-10 20:14:59-07:00,11.35,162.10700000000003,7.992000000000001,9.145500000000002,23.795999999999996,418.99,11.3,52.8,0.0,0.0,0.16,29.0,STAT,,,,,,4.759199999999999
2025-03-10 20:15:59-07:00,11.35,168.278,8.649,8.746500000000001,23.16,419.0,11.3,52.2,0.0,0.0,0.06,29.0,STAT,,,,,,4.632000000000001
2025-03-10 20:16:59-07:00,11.36,173.217,8.424,7.612500000000001,26.976,419.0,11.3,52.4,0.0,0.0,0.02,29.0,STAT,,,,,,5.3952
2025-03-10 20:17:59-07:00,11.4,179.212,7.263000000000001,5.670000000000001,28.092,419.0,11.3,52.3,0.0,0.0,0.01,32.0,STAT,,,,,,5.6184
