DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,123,30,-3,-32,4068865776,141,-34,1145484593,AQI
2025-03-20 03:56:39-07:00,9.36,174.251,4.383,12.453,25.308,411.69,10.0,59.0,0.43,0.9,1.23,25.0,-3.0,-2.0,STAT,,,,,5.7816
2025-03-20 03:57:39-07:00,9.36,173.734,6.957000000000001,13.083000000000002,24.576,411.24,10.0,58.8,0.48,1.34,1.5,24.0,-3.0,-2.0,STAT,,,,,5.9872000000000005
2025-03-20 03:58:39-07:00,9.36,172.23800000000003,5.121,12.9465,25.932,411.09,10.0,58.6,0.43,1.5,1.55,25.0,-3.0,-1.0,STAT,,,,,6.3864
2025-03-20 03:59:39-07:00,9.36,173.866,3.618,13.2825,25.656,411.03,10.0,58.6,0.27,1.44,1.46,25.0,-3.0,-1.0,STAT,,,,,6.2832
2025-03-20 04:00:39-07:00,9.37,175.85700000000003,3.591,13.377,25.392,411.01,10.1,58.7,0.69,1.5,1.51,25.0,-3.0,-1.0,STAT,,,,,6.2784
2025-03-20 04:01:40-07:00,9.4,173.525,4.581,13.345500000000001,23.928,411.0,10.1,58.7,0.53,1.41,1.49,24.0,-3.0,-2.0,STAT,,,,,5.913600000000001
2025-03-20 04:02:40-07:00,9.42,172.77700000000002,4.41,13.8915,24.131999999999998,411.25,10.1,58.9,0.41,1.26,1.69,24.0,-2.0,-2.0,STAT,,,,,5.8344
2025-03-20 04:03:40-07:00,9.43,176.30800000000002,4.923,13.671,25.152,411.09,10.1,58.9,0.69,1.68,2.1,25.0,-2.0,-2.0,STAT,,,,,6.3744000000000005
2025-03-20 04:04:40-07:00,9.43,173.89900000000003,6.3,14.143500000000001,24.3,411.03,10.1,59.1,0.88,1.71,1.98,23.0,-3.0,-2.0,STAT,,,,,6.228000000000001
2025-03-20 04:05:40-07:00,9.43,175.626,5.454,14.647499999999999,24.371999999999996,411.05,10.1,59.1,0.59,1.42,2.08,23.0,-2.0,-1.0,STAT,,,,,6.0104
2025-03-20 04:06:42-07:00,9.44,171.73200000000003,4.553999999999999,13.786500000000002,22.979999999999997,411.02,10.1,59.0,0.63,1.51,1.74,24.0,-2.0,-2.0,STAT,,,,,5.803999999999999
2025-03-20 04:07:42-07:00,9.44,173.668,4.5360000000000005,12.789,26.195999999999998,411.01,10.1,59.1,0.62,1.44,1.53,24.0,-3.0,-1.0,STAT,,,,,6.3912
2025-03-20 04:08:42-07:00,9.44,172.24900000000002,2.781,14.038499999999999,24.599999999999998,411.0,10.1,59.2,0.36,1.48,2.11,24.0,-2.0,-2.0,STAT,,,,,6.104
2025-03-20 04:09:42-07:00,9.44,171.49,2.646,15.204,23.496,411.0,10.1,59.3,0.33,1.4,1.62,25.0,-2.0,-2.0,STAT,,,,,5.8192
2025-03-20 04:10:42-07:00,9.44,174.24,4.329,14.3745,24.528000000000002,411.0,10.1,59.3,0.59,1.32,1.6,25.0,-2.0,-2.0,STAT,,,,,5.961600000000001
