DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,128,21,-4,-31,1955474069,167,-6,-27,409882187,AQI
2025-03-12 04:23:15-07:00,6.62,196.20700000000002,6.9030000000000005,12.0645,15.227999999999998,399.4,7.8,71.7,0.02,0.39,0.41,17.0,-2.0,-4.0,STAT,,,,,,3.3575999999999997
2025-03-12 04:24:15-07:00,6.62,193.39100000000002,7.047000000000001,12.2955,15.696,399.14,7.7,71.3,0.27,0.5,0.51,17.0,-1.0,-5.0,STAT,,,,,,3.5392
2025-03-12 04:25:15-07:00,6.62,192.049,6.066000000000001,12.4635,15.011999999999999,399.05,7.7,71.5,0.14,0.47,0.47,17.0,-1.0,-4.0,STAT,,,,,,3.3783999999999996
2025-03-12 04:26:15-07:00,6.62,191.136,8.046,13.1565,14.52,399.02,7.7,71.5,0.05,0.5,0.5,16.0,0.0,-5.0,STAT,,,,,,3.304
2025-03-12 04:27:15-07:00,6.62,186.395,6.921,12.778500000000001,13.56,399.01,7.7,71.8,0.02,0.71,0.71,18.0,-1.0,-5.0,STAT,,,,,,3.2800000000000002
2025-03-12 04:28:15-07:00,6.62,184.943,6.795,12.652500000000002,13.368,399.0,7.7,71.8,0.01,0.6,0.66,17.0,0.0,-4.0,STAT,,,,,,3.1536000000000004
2025-03-12 04:29:16-07:00,6.62,185.966,7.7940000000000005,12.568500000000002,13.164,399.0,7.7,71.8,0.47,0.94,1.2,17.0,-1.0,-5.0,STAT,,,,,,3.3848000000000003
2025-03-12 04:30:16-07:00,6.62,193.061,8.001000000000001,12.138000000000002,14.591999999999999,399.0,7.8,71.8,0.32,0.85,0.94,17.0,-1.0,-4.0,STAT,,,,,,3.5984000000000003
2025-03-12 04:31:16-07:00,6.62,198.275,7.6049999999999995,11.8755,15.899999999999999,399.0,7.7,71.6,0.65,0.98,1.01,17.0,-1.0,-4.0,STAT,,,,,,3.9639999999999995
2025-03-12 04:32:16-07:00,6.62,201.64100000000002,8.604000000000001,12.873000000000001,14.868,399.0,7.8,71.7,0.7,1.18,1.19,17.0,0.0,-4.0,STAT,,,,,,3.9176
2025-03-12 04:33:16-07:00,6.62,199.08900000000003,8.604000000000001,12.852,15.264,399.19,7.7,71.6,0.87,1.3,1.3,16.0,-1.0,-4.0,STAT,,,,,,4.0928
2025-03-12 04:34:17-07:00,6.62,200.27700000000002,5.787,12.39,16.176,399.36,7.7,71.7,0.96,1.67,1.67,17.0,-2.0,-5.0,STAT,,,,,,4.5712
2025-03-12 04:35:18-07:00,6.62,197.67000000000002,7.767000000000001,12.820500000000001,14.819999999999999,399.78,7.8,71.8,0.93,1.72,1.72,15.0,-1.0,-4.0,STAT,,,,,,4.34
2025-03-12 04:36:18-07:00,6.62,199.287,9.279,13.188,15.864,399.92,7.8,71.8,0.91,1.61,1.61,15.0,0.0,-4.0,STAT,,,,,,4.460800000000001
2025-03-12 04:37:18-07:00,6.62,199.91400000000002,8.28,13.5975,15.035999999999998,399.97,7.8,71.7,0.97,1.29,1.29,17.0,0.0,-5.0,STAT,,,,,,4.039199999999999
2025-03-12 04:38:18-07:00,6.62,202.35600000000002,9.495000000000001,12.621,15.216,399.99,7.8,71.6,0.99,1.6,1.6,16.0,-1.0,-5.0,STAT,,,,,,4.3232
2025-03-12 04:39:15-07:00,6.62,203.08200000000002,7.920000000000001,13.566,12.708,400.0,7.8,71.7,1.09,1.81,1.81,17.0,-1.0,-5.0,STAT,,,,,,3.9896000000000003
2025-03-12 04:40:15-07:00,6.62,201.77300000000002,7.011,14.2065,12.911999999999999,400.0,7.8,71.6,1.03,1.42,1.42,16.0,0.0,-4.0,STAT,,,,,,3.7184
2025-03-12 04:41:15-07:00,6.62,199.62800000000001,8.802,12.400500000000001,17.304,400.0,7.8,71.5,0.81,1.38,1.38,16.0,-1.0,-4.0,STAT,,,,,,4.5648
2025-03-12 04:42:15-07:00,6.62,200.88200000000003,6.471,13.0935,15.48,400.0,7.8,71.3,0.82,1.43,1.47,18.0,0.0,-4.0,STAT,,,,,,4.24
2025-03-12 04:43:15-07:00,6.62,195.28300000000002,6.39,12.348,16.152,400.0,7.8,71.4,0.89,1.31,1.32,17.0,0.0,-4.0,STAT,,,,,,4.2784
2025-03-12 04:44:16-07:00,6.62,194.17200000000003,7.38,12.0855,15.96,400.0,7.8,71.3,0.92,1.4,1.4,17.0,0.0,-4.0,STAT,,,,,,4.312
2025-03-12 04:45:17-07:00,6.62,191.345,8.360999999999999,11.214,16.284,399.54,7.8,71.4,0.55,1.11,1.11,17.0,-2.0,-5.0,STAT,,,,,,4.1448
2025-03-12 04:46:17-07:00,6.62,191.345,7.848000000000001,11.245500000000002,16.368,399.19,7.8,71.6,0.44,0.9,0.9,16.0,-2.0,-4.0,STAT,,,,,,3.9936000000000003
2025-03-12 04:47:17-07:00,6.62,189.59600000000003,8.379000000000001,11.340000000000002,15.899999999999999,399.07,7.8,71.6,0.42,0.7,0.7,16.0,-1.0,-4.0,STAT,,,,,,3.7399999999999998
2025-03-12 04:48:17-07:00,6.62,193.80900000000003,7.713,11.9385,15.323999999999998,399.02,7.8,71.5,0.16,0.83,0.88,17.0,-1.0,-5.0,STAT,,,,,,3.7288
2025-03-12 04:49:17-07:00,6.62,189.31,6.111,11.865000000000002,15.323999999999998,399.01,7.8,71.6,0.05,0.9,1.28,18.0,-1.0,-5.0,STAT,,,,,,3.7848
2025-03-12 04:50:17-07:00,6.62,189.48600000000002,7.155,11.927999999999999,15.347999999999999,399.0,7.8,71.5,0.08,0.73,0.87,16.0,-1.0,-5.0,STAT,,,,,,3.6536
2025-03-12 04:51:17-07:00,6.62,192.42300000000003,6.444,12.116999999999999,15.372,399.0,7.8,71.5,0.09,0.81,0.86,17.0,-1.0,-5.0,STAT,,,,,,3.7224000000000004
2025-03-12 04:52:17-07:00,6.63,192.43400000000003,7.3709999999999996,11.371500000000001,15.143999999999998,399.0,7.8,71.5,0.23,1.08,1.1,17.0,-1.0,-4.0,STAT,,,,,,3.8928000000000003
2025-03-12 04:53:18-07:00,6.65,190.39900000000003,6.7410000000000005,12.778500000000001,13.596,399.0,7.8,71.8,0.22,0.92,0.93,17.0,-1.0,-4.0,STAT,,,,,,3.4552000000000005
2025-03-12 04:54:18-07:00,6.67,195.019,6.246,12.327,15.096,399.0,7.8,71.9,0.07,0.66,0.66,18.0,-1.0,-5.0,STAT,,,,,,3.5472
2025-03-12 04:55:18-07:00,6.69,198.154,7.470000000000001,12.327,14.627999999999998,399.0,7.8,71.9,0.4,1.35,1.35,18.0,-1.0,-5.0,STAT,,,,,,4.005599999999999
2025-03-12 04:56:18-07:00,6.69,200.20000000000002,6.9030000000000005,12.589500000000001,15.252,399.41,7.8,71.9,0.5,1.23,1.23,17.0,-1.0,-4.0,STAT,,,,,,4.0344
2025-03-12 04:57:19-07:00,6.7,201.33300000000003,7.757999999999999,11.277000000000001,17.628,400.02,7.7,71.9,0.8,1.53,1.69,16.0,-2.0,-4.0,STAT,,,,,,4.749600000000001
2025-03-12 04:58:19-07:00,6.7,199.55100000000002,7.524,13.429499999999999,15.192,400.01,7.7,71.8,0.51,1.25,1.45,17.0,0.0,-4.0,STAT,,,,,,4.0384
2025-03-12 04:59:19-07:00,6.7,199.936,7.092,13.167,15.66,400.21,7.7,71.8,0.3,1.04,1.1,17.0,0.0,-3.0,STAT,,,,,,3.9640000000000004
2025-03-12 05:00:19-07:00,6.7,199.08900000000003,7.965,12.39,16.104,400.72,7.7,71.8,0.11,0.58,0.6,17.0,0.0,-4.0,STAT,,,,,,3.6848
2025-03-12 05:01:19-07:00,6.69,199.287,7.029,13.272000000000002,14.58,400.32,7.7,71.9,0.13,0.87,0.92,17.0,0.0,-4.0,STAT,,,,,,3.6120000000000005
2025-03-12 05:02:19-07:00,6.68,196.64700000000002,8.649,13.272000000000002,14.772,400.11,7.7,71.9,0.07,0.74,1.19,16.0,0.0,-4.0,STAT,,,,,,3.5464
2025-03-12 05:03:20-07:00,6.68,194.854,8.523000000000001,12.3795,15.611999999999998,400.04,7.7,71.9,0.26,0.86,1.11,16.0,-1.0,-4.0,STAT,,,,,,3.8104
2025-03-12 05:04:20-07:00,6.67,194.48000000000002,8.595,11.707500000000001,16.788,400.01,7.7,71.9,0.08,0.69,0.76,15.0,-1.0,-5.0,STAT,,,,,,3.9096
2025-03-12 05:05:21-07:00,6.65,193.853,7.0649999999999995,11.413499999999999,15.743999999999998,400.01,7.7,71.8,0.03,0.38,0.41,17.0,-1.0,-4.0,STAT,,,,,,3.4528
2025-03-12 05:06:21-07:00,6.64,193.08300000000003,6.822,12.0645,15.707999999999998,400.0,7.7,71.7,0.27,0.74,0.75,17.0,-1.0,-4.0,STAT,,,,,,3.7336
2025-03-12 05:07:21-07:00,6.63,189.97,7.191000000000001,10.647,18.972,399.92,7.7,71.5,0.09,0.53,0.53,17.0,-2.0,-4.0,STAT,,,,,,4.218400000000001
2025-03-12 05:08:21-07:00,6.62,181.61,6.795,11.025,19.008,399.68,7.7,71.6,0.03,0.2,0.2,17.0,-1.0,-4.0,STAT,,,,,,3.9616000000000002
2025-03-12 05:09:21-07:00,6.62,183.304,8.874,10.279499999999999,19.631999999999998,399.45,7.6,71.6,0.01,0.4,0.4,16.0,-1.0,-4.0,STAT,,,,,,4.2463999999999995
2025-03-12 05:10:21-07:00,6.62,182.66600000000003,7.506,11.529000000000002,17.604,399.16,7.6,71.5,0.0,0.2,0.55,17.0,-1.0,-4.0,STAT,,,,,,3.6808
2025-03-12 05:11:21-07:00,6.62,177.078,8.487,10.038,19.392,399.06,7.6,71.4,0.0,0.1,0.22,16.0,-1.0,-4.0,STAT,,,,,,3.9584
