DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,86,18,2618862233,27,-31,2745486701,AQI
2025-03-18 03:59:44-07:00,6.38,157.69600000000003,7.632000000000001,23.2575,22.608,410.92,7.5,61.1,0.15,1.02,1.02,16,2.0,,,,,5.3376
2025-03-18 04:00:44-07:00,6.34,163.702,7.173,23.509500000000003,23.171999999999997,411.38,7.5,61.2,0.09,0.92,0.92,17,2.0,,,,,5.370399999999999
2025-03-18 04:01:44-07:00,6.32,171.05,7.749,24.339000000000002,24.192,411.78,7.5,61.5,0.25,0.96,0.96,16,2.0,,,,,5.6064
2025-03-18 04:02:44-07:00,6.31,170.5,6.525,23.3835,25.907999999999998,411.92,7.5,61.8,0.08,0.99,1.19,17,2.0,,,,,5.973599999999999
2025-03-18 04:03:44-07:00,6.3,168.212,4.383,24.8115,24.276,411.97,7.5,62.0,0.4,1.85,2.16,18,2.0,,,,,6.3352
2025-03-18 04:04:45-07:00,6.27,167.99200000000002,5.121,24.969,22.032,411.99,7.4,62.2,0.17,1.36,1.48,18,2.0,,,,,5.494400000000001
2025-03-18 04:05:45-07:00,6.23,168.036,6.48,25.116000000000003,23.868,411.91,7.4,62.4,0.12,1.29,1.33,17,2.0,,,,,5.8056
2025-03-18 04:06:45-07:00,6.22,165.011,5.958,23.415000000000003,24.12,411.32,7.4,62.6,0.14,1.09,1.1,17,2.0,,,,,5.696000000000001
2025-03-18 04:07:45-07:00,6.21,166.36400000000003,5.598,23.52,21.287999999999997,411.11,7.4,62.7,0.36,1.49,1.69,17,2.0,,,,,5.449599999999999
2025-03-18 04:08:45-07:00,6.19,165.352,5.076,23.793000000000003,18.599999999999998,411.39,7.4,62.8,0.39,1.18,1.6,18,2.0,,,,,4.664
2025-03-18 04:09:46-07:00,6.16,164.51600000000002,6.354,24.297,20.724,411.24,7.4,63.1,0.54,1.45,1.58,17,2.0,,,,,5.3048
2025-03-18 04:10:46-07:00,6.13,166.573,6.111,23.299500000000002,23.772,411.09,7.4,63.6,0.39,1.17,1.23,16,2.0,,,,,5.6903999999999995
2025-03-18 04:11:46-07:00,6.11,167.211,6.021000000000001,21.4725,26.220000000000002,411.03,7.4,63.9,0.51,1.69,1.87,17,2.0,,,,,6.596000000000001
2025-03-18 04:12:46-07:00,6.1,168.795,4.356,22.176000000000002,24.887999999999998,411.01,7.4,64.1,0.72,1.61,1.66,18,1.0,,,,,6.2656
