DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,99,22,-32,2092089509,124,32,-7,-25,979238531,AQI
2025-03-12 03:55:19-07:00,6.11,173.327,9.333,20.055000000000003,23.04,352.08,7.3,77.5,0.87,1.2,1.27,17.0,0.0,STAT,,,,,,,5.568
2025-03-12 03:56:20-07:00,6.11,177.595,9.225,20.506500000000003,25.355999999999998,352.68,7.3,77.5,0.75,1.42,1.44,18.0,0.0,STAT,,,,,,,6.2072
2025-03-12 03:57:20-07:00,6.11,179.212,10.017000000000001,18.4905,25.5,352.89,7.3,77.4,0.92,1.37,1.38,17.0,0.0,STAT,,,,,,,6.196000000000001
2025-03-12 03:58:20-07:00,6.11,177.76000000000002,9.837,18.816000000000003,23.063999999999997,353.37,7.3,77.6,0.85,1.2,1.2,18.0,0.0,STAT,,,,,,,5.572799999999999
2025-03-12 03:59:20-07:00,6.11,173.525,8.541,20.3595,20.544,353.78,7.3,77.5,0.86,1.14,1.27,19.0,0.0,STAT,,,,,,,5.0208
2025-03-12 04:00:20-07:00,6.11,175.60399999999998,6.9479999999999995,20.8425,23.052,353.92,7.3,77.4,0.78,1.39,1.66,19.0,0.0,STAT,,,,,,,5.7224
2025-03-12 04:01:20-07:00,6.11,173.69000000000003,8.955,18.669,24.791999999999998,353.97,7.3,77.4,0.65,1.13,1.21,18.0,0.0,STAT,,,,,,,5.8624
2025-03-12 04:02:20-07:00,6.11,171.292,9.963000000000001,18.6375,24.468,353.99,7.3,77.4,0.26,1.08,1.36,18.0,0.0,STAT,,,,,,,5.7576
2025-03-12 04:03:20-07:00,6.11,178.211,8.892000000000001,19.992,22.871999999999996,354.0,7.3,77.3,0.16,0.63,1.16,19.0,0.0,STAT,,,,,,,5.0784
2025-03-12 04:04:20-07:00,6.11,180.66400000000002,9.774,19.2255,22.392,354.0,7.3,77.4,0.19,0.73,0.91,17.0,0.0,STAT,,,,,,,5.062399999999999
2025-03-12 04:05:21-07:00,6.11,182.10500000000002,9.639000000000001,18.27,24.563999999999997,354.0,7.3,77.3,0.07,0.68,1.09,16.0,0.0,STAT,,,,,,,5.456799999999999
2025-03-12 04:06:21-07:00,6.11,172.78800000000004,7.587,17.9445,25.523999999999997,354.0,7.3,77.3,0.05,1.17,1.31,18.0,0.0,STAT,,,,,,,6.0408
2025-03-12 04:07:21-07:00,6.11,174.251,8.946,19.0365,24.24,354.0,7.3,77.4,0.16,0.9,0.95,18.0,0.0,STAT,,,,,,,5.568
2025-03-12 04:08:21-07:00,6.11,171.21500000000003,10.539000000000001,19.4985,22.523999999999997,354.0,7.3,77.3,0.36,1.01,1.02,16.0,0.0,STAT,,,,,,,5.312799999999999
2025-03-12 04:09:21-07:00,6.11,171.622,11.25,19.078500000000002,22.979999999999997,354.0,7.2,77.2,0.54,1.25,1.26,15.0,0.0,STAT,,,,,,,5.595999999999999
2025-03-12 04:10:21-07:00,6.11,174.22899999999998,8.504999999999999,19.95,22.487999999999996,354.0,7.2,77.3,0.51,1.0,1.0,17.0,0.0,STAT,,,,,,,5.297599999999999
2025-03-12 04:11:21-07:00,6.11,182.90800000000002,8.163,19.005000000000003,23.892,354.0,7.2,77.3,0.25,1.02,1.02,18.0,0.0,STAT,,,,,,,5.5944
2025-03-12 04:12:21-07:00,6.11,191.08100000000002,9.567,20.485500000000002,23.268,354.0,7.2,77.2,0.08,0.92,0.92,19.0,0.0,STAT,,,,,,,5.3896
2025-03-12 04:13:21-07:00,6.11,207.592,10.467,21.273000000000003,21.06,354.0,7.3,77.3,0.57,1.34,1.34,20.0,0.0,STAT,,,,,,,5.284
2025-03-12 04:14:22-07:00,6.11,188.782,7.398000000000001,20.9475,21.204,354.0,7.3,77.3,0.2,0.87,0.87,19.0,0.0,STAT,,,,,,,4.9368
2025-03-12 04:15:22-07:00,6.11,174.33900000000003,8.289000000000001,20.0865,21.287999999999997,354.0,7.3,77.2,0.29,0.97,0.97,17.0,0.0,STAT,,,,,,,5.033599999999999
2025-03-12 04:16:23-07:00,6.11,174.361,7.128,20.244000000000003,22.092,354.0,7.3,77.3,0.3,1.24,1.24,17.0,0.0,STAT,,,,,,,5.4104
2025-03-12 04:17:23-07:00,6.11,172.54600000000002,9.333,21.042,20.112000000000002,354.0,7.3,77.3,0.46,1.33,1.33,17.0,0.0,STAT,,,,,,,5.0864
2025-03-12 04:18:23-07:00,6.11,169.76300000000003,11.295000000000002,19.236,23.496,354.0,7.3,77.2,0.36,1.18,1.18,15.0,0.0,STAT,,,,,,,5.6432
2025-03-12 04:19:23-07:00,6.11,177.08900000000003,7.353,18.837000000000003,22.776,354.0,7.3,77.1,0.21,1.36,1.48,20.0,0.0,STAT,,,,,,,5.6432
2025-03-12 04:20:23-07:00,6.11,183.77700000000002,5.562,18.983999999999998,24.06,354.0,7.3,77.2,0.25,1.12,1.49,20.0,0.0,STAT,,,,,,,5.708
2025-03-12 04:21:23-07:00,6.11,184.976,10.602,19.089000000000002,23.291999999999998,354.0,7.3,77.3,0.48,1.46,1.59,16.0,0.0,STAT,,,,,,,5.8264
2025-03-12 04:22:23-07:00,6.11,182.49,9.342,19.53,21.828,354.0,7.3,77.3,0.27,1.0,1.04,17.0,0.0,STAT,,,,,,,5.1655999999999995
2025-03-12 04:23:24-07:00,6.11,182.424,7.992000000000001,20.338500000000003,24.215999999999998,354.0,7.3,77.3,0.67,1.08,1.09,19.0,0.0,STAT,,,,,,,5.707199999999999
2025-03-12 04:24:24-07:00,6.11,179.90500000000003,9.306000000000001,21.871499999999997,20.616,354.0,7.3,77.1,0.48,0.87,0.88,19.0,0.0,STAT,,,,,,,4.8191999999999995
2025-03-12 04:25:24-07:00,6.11,174.768,9.477,19.456500000000002,21.287999999999997,354.0,7.3,77.3,0.39,0.88,0.88,17.0,0.0,STAT,,,,,,,4.961599999999999
2025-03-12 04:26:24-07:00,6.11,172.68900000000002,8.118,19.173000000000002,20.784,354.0,7.3,77.4,0.25,0.96,0.96,19.0,0.0,STAT,,,,,,,4.924799999999999
2025-03-12 04:27:24-07:00,6.11,172.78800000000004,9.675,18.994500000000002,23.195999999999998,354.0,7.3,77.3,0.18,0.95,0.95,17.0,0.0,STAT,,,,,,,5.3991999999999996
2025-03-12 04:28:24-07:00,6.11,174.93300000000002,8.532,18.837000000000003,22.728,354.0,7.3,77.3,0.66,0.98,0.98,18.0,0.0,STAT,,,,,,,5.3296
2025-03-12 04:29:24-07:00,6.11,174.537,10.044,20.4225,22.692,354.0,7.3,77.3,0.81,1.26,1.26,17.0,0.0,STAT,,,,,,,5.5464
2025-03-12 04:30:24-07:00,6.11,183.678,7.542000000000001,21.241500000000002,20.772,354.11,7.3,77.2,0.84,1.36,1.36,19.0,0.0,STAT,,,,,,,5.2424
2025-03-12 04:31:24-07:00,6.11,181.687,9.594000000000001,20.9685,22.092,354.45,7.3,77.3,0.76,1.69,1.82,18.0,0.0,STAT,,,,,,,5.7704
2025-03-12 04:32:25-07:00,6.11,182.83100000000002,9.729000000000001,21.703500000000002,20.46,354.81,7.3,77.3,0.92,1.7,1.92,18.0,0.0,STAT,,,,,,,5.452000000000001
2025-03-12 04:33:25-07:00,6.11,182.435,8.937,22.1235,20.304000000000002,354.93,7.3,77.3,0.97,1.59,1.66,18.0,0.0,STAT,,,,,,,5.332800000000001
2025-03-12 04:34:25-07:00,6.11,183.54600000000002,8.622,19.887,26.483999999999998,354.98,7.3,77.4,0.85,1.46,1.64,18.0,0.0,STAT,,,,,,,6.4648
2025-03-12 04:35:25-07:00,6.11,182.99600000000004,6.9479999999999995,20.706,23.112000000000002,355.3,7.3,77.5,0.95,1.95,2.02,20.0,0.0,STAT,,,,,,,6.182400000000001
2025-03-12 04:36:25-07:00,6.11,179.98200000000003,8.982000000000001,20.4225,22.476,355.75,7.3,77.2,1.4,2.03,2.32,17.0,0.0,STAT,,,,,,,6.119199999999999
2025-03-12 04:37:25-07:00,6.1,184.261,8.126999999999999,21.252,21.36,355.91,7.3,77.4,1.13,1.93,2.03,19.0,0.0,STAT,,,,,,,5.816000000000001
2025-03-12 04:38:25-07:00,6.11,181.412,9.459,20.7375,23.195999999999998,355.51,7.3,77.2,1.27,1.95,1.99,17.0,0.0,STAT,,,,,,,6.199199999999999
2025-03-12 04:39:25-07:00,6.1,186.02100000000004,10.485000000000001,21.010500000000004,21.816,355.18,7.3,77.3,1.46,2.15,2.23,16.0,0.0,STAT,,,,,,,6.0832
2025-03-12 04:40:26-07:00,6.1,185.262,8.937,19.792500000000004,23.772,355.06,7.3,77.3,1.15,1.9,1.95,18.0,0.0,STAT,,,,,,,6.2744
2025-03-12 04:41:26-07:00,6.11,181.48900000000003,8.037,20.149500000000003,22.86,355.02,7.3,77.2,1.05,1.68,1.86,17.0,0.0,STAT,,,,,,,5.916
