DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,119,26,4024907249,157,29,-6,-23,2544592653,AQI
2025-03-12 17:28:01-07:00,7.32,254.68300000000002,12.915,21.892500000000002,21.432,421.0,8.6,72.7,0.64,1.14,1.53,20.0,-2.0,,,,,,,5.1983999999999995
2025-03-12 17:29:01-07:00,7.33,250.91000000000003,12.177,19.488,22.728,421.0,8.6,72.7,0.74,1.1,1.29,21.0,-2.0,,,,,,,5.4256
2025-03-12 17:30:01-07:00,7.33,240.977,12.456,19.929000000000002,21.852,421.0,8.6,72.8,0.4,0.79,1.05,22.0,-2.0,,,,,,,5.0024
2025-03-12 17:31:01-07:00,7.36,234.08000000000004,11.313,19.509,19.536,420.59,8.7,72.7,0.45,0.93,1.02,22.0,-2.0,,,,,,,4.6512
2025-03-12 17:32:03-07:00,7.4,234.66300000000004,11.673,21.6405,17.735999999999997,420.21,8.7,72.5,0.32,0.88,0.91,21.0,-1.0,,,,,,,4.2512
2025-03-12 17:33:03-07:00,7.42,242.33000000000004,12.573,22.963500000000003,19.62,420.65,8.7,72.4,0.77,1.02,1.03,21.0,-2.0,,,,,,,4.74
2025-03-12 17:34:03-07:00,7.43,244.99200000000002,12.978,21.241500000000002,19.787999999999997,420.88,8.6,72.8,0.93,1.67,1.67,20.0,-2.0,,,,,,,5.2936
2025-03-12 17:35:03-07:00,7.43,237.90800000000002,10.485000000000001,21.588,18.36,421.46,8.7,73.2,0.52,1.03,1.03,22.0,-2.0,,,,,,,4.496
2025-03-12 17:36:03-07:00,7.45,240.86700000000002,12.357000000000001,18.7635,20.7,421.52,8.7,72.6,0.69,1.28,1.28,20.0,-3.0,,,,,,,5.164
2025-03-12 17:37:03-07:00,7.49,247.23600000000002,12.735000000000001,17.115000000000002,24.131999999999998,421.43,8.7,72.1,0.86,1.1,1.37,20.0,-2.0,,,,,,,5.7063999999999995
2025-03-12 17:38:03-07:00,7.51,248.776,12.393,18.616500000000002,20.663999999999998,421.15,8.7,71.9,0.86,1.23,1.56,20.0,-2.0,,,,,,,5.1168
2025-03-12 17:39:03-07:00,7.52,257.279,11.115,20.496,21.072,420.97,8.7,72.0,0.79,1.13,1.46,21.0,-1.0,,,,,,,5.1184
2025-03-12 17:40:03-07:00,7.53,273.25100000000003,10.827,19.246499999999997,23.483999999999998,420.34,8.6,72.1,0.67,1.32,1.43,22.0,-2.0,,,,,,,5.7528
2025-03-12 17:41:04-07:00,7.54,281.27,10.179,18.7845,22.572,420.12,8.7,72.7,0.64,1.16,1.2,23.0,-2.0,,,,,,,5.4424
2025-03-12 17:42:04-07:00,7.54,282.59,9.279,17.913,23.82,419.5,8.7,72.4,0.69,1.05,1.07,22.0,-2.0,,,,,,,5.604
2025-03-12 17:43:04-07:00,7.57,284.33900000000006,11.196,17.9235,20.316,419.79,8.7,72.6,0.79,1.39,1.4,21.0,-2.0,,,,,,,5.1752
2025-03-12 17:44:04-07:00,7.6,265.47400000000005,10.089,17.387999999999998,20.16,419.93,8.7,72.5,0.81,1.32,1.32,22.0,-2.0,,,,,,,5.088
2025-03-12 17:45:04-07:00,7.62,257.84000000000003,10.782,17.4405,19.092,419.58,8.8,72.5,0.71,1.1,1.24,22.0,-2.0,,,,,,,4.6984
2025-03-12 17:46:04-07:00,7.63,252.901,11.448,19.7085,18.828,419.21,8.8,72.4,0.62,1.5,1.54,21.0,-1.0,,,,,,,4.9656
2025-03-12 17:47:04-07:00,7.64,253.979,10.125,19.719,17.927999999999997,419.07,8.8,72.4,0.36,1.32,1.33,23.0,-1.0,,,,,,,4.6415999999999995
2025-03-12 17:48:04-07:00,7.64,272.723,10.089,17.808000000000003,22.823999999999998,419.03,8.9,72.4,0.5,1.25,1.26,23.0,-2.0,,,,,,,5.5648
2025-03-12 17:49:04-07:00,7.64,274.06500000000005,10.539000000000001,17.241000000000003,21.395999999999997,419.01,8.9,72.6,0.76,1.35,1.35,21.0,-2.0,,,,,,,5.3591999999999995
2025-03-12 17:50:05-07:00,7.69,278.278,8.775,18.354000000000003,21.720000000000002,419.0,8.9,72.5,0.75,1.5,1.5,23.0,-1.0,,,,,,,5.5440000000000005
2025-03-12 17:51:05-07:00,7.71,279.11400000000003,9.107999999999999,19.645500000000002,22.139999999999997,419.61,8.9,72.2,0.92,1.84,1.84,23.0,-1.0,,,,,,,5.9
2025-03-12 17:52:06-07:00,7.72,266.761,8.946,22.3545,18.384,419.86,8.9,72.5,0.67,1.35,1.35,23.0,-1.0,,,,,,,4.7568
2025-03-12 17:53:06-07:00,7.73,253.53900000000004,10.044,20.937,19.139999999999997,419.95,8.9,72.3,0.88,1.36,1.36,22.0,-2.0,,,,,,,4.9159999999999995
2025-03-12 17:54:06-07:00,7.74,243.54000000000002,10.683,19.1835,21.24,419.98,8.9,72.6,0.85,1.35,1.35,22.0,-2.0,,,,,,,5.328
2025-03-12 17:55:07-07:00,7.74,239.51400000000004,9.657,19.509,19.295999999999996,419.99,9.0,72.5,0.95,1.5,1.5,22.0,-2.0,,,,,,,5.0592
2025-03-12 17:56:07-07:00,7.74,238.41400000000002,11.988000000000001,18.0915,20.568,420.0,9.0,72.3,0.94,1.75,1.75,21.0,-2.0,,,,,,,5.513600000000001
2025-03-12 17:57:07-07:00,7.77,240.911,12.033,20.475,19.247999999999998,420.0,9.0,72.2,0.98,1.76,1.76,21.0,-2.0,,,,,,,5.2576
2025-03-12 17:58:07-07:00,7.8,247.18100000000004,11.871,19.1835,23.376,420.0,9.0,72.2,0.9,1.7,1.7,21.0,-2.0,,,,,,,6.035200000000001
2025-03-12 17:59:07-07:00,7.81,248.72100000000003,10.836,21.367500000000003,18.252,420.0,8.9,71.8,0.97,1.8,1.88,23.0,-1.0,,,,,,,5.0904
2025-03-12 18:00:08-07:00,7.82,247.34600000000003,12.294,22.47,18.084,420.0,8.9,72.4,0.85,1.72,1.75,22.0,-1.0,,,,,,,4.9928
2025-03-12 18:01:08-07:00,7.83,248.96300000000002,10.341000000000001,20.832,20.291999999999998,420.0,8.9,72.4,0.82,1.51,1.6,22.0,0.0,,,,,,,5.2664
2025-03-12 18:02:08-07:00,7.83,254.26500000000001,10.512,19.0575,21.912000000000003,420.0,8.8,72.7,0.94,1.82,1.85,21.0,-1.0,,,,,,,5.838400000000001
2025-03-12 18:03:08-07:00,7.84,257.983,10.647,19.5405,19.295999999999996,420.58,8.9,73.3,0.82,2.04,2.04,22.0,-1.0,,,,,,,5.491199999999999
2025-03-12 18:04:08-07:00,7.84,273.66900000000004,9.629999999999999,20.0865,18.576,420.85,8.9,73.3,0.85,1.64,2.08,22.0,-1.0,,,,,,,5.027200000000001
2025-03-12 18:05:08-07:00,7.84,291.797,10.008,19.603500000000004,17.988,420.95,9.0,73.2,0.95,1.88,2.3,22.0,-1.0,,,,,,,5.1015999999999995
2025-03-12 18:06:08-07:00,7.84,301.411,10.395000000000001,19.173000000000002,19.092,420.95,9.0,72.9,1.12,2.0,2.46,22.0,-2.0,,,,,,,5.4184
2025-03-12 18:07:08-07:00,7.84,301.125,11.286,19.3305,21.12,420.98,8.9,72.6,0.96,1.77,2.23,21.0,-1.0,,,,,,,5.640000000000001
2025-03-12 18:08:05-07:00,7.84,301.752,11.727,20.244000000000003,20.04,420.99,8.9,72.7,0.87,1.42,1.93,21.0,-1.0,,,,,,,5.144
2025-03-12 18:09:05-07:00,7.84,301.334,10.827,19.236,19.631999999999998,420.93,9.0,72.9,0.75,1.54,2.02,22.0,-1.0,,,,,,,5.1584
2025-03-12 18:10:05-07:00,7.84,306.031,10.296,22.197000000000003,17.22,420.62,8.9,72.9,0.84,1.56,1.78,23.0,-1.0,,,,,,,4.692
2025-03-12 18:11:05-07:00,7.85,303.40200000000004,10.962,21.273000000000003,18.096,420.8,9.0,73.1,0.91,1.54,1.99,21.0,-1.0,,,,,,,4.8512
2025-03-12 18:12:05-07:00,7.87,314.6,11.187,23.1735,16.752,420.86,9.0,72.9,1.34,2.04,2.21,21.0,-1.0,,,,,,,4.9824
2025-03-12 18:13:06-07:00,7.9,331.232,12.159,22.596,18.912,421.99,9.1,72.7,1.13,1.95,2.09,22.0,-1.0,,,,,,,5.3424
2025-03-12 18:14:06-07:00,7.91,320.947,10.872,22.008000000000003,21.323999999999998,422.64,9.0,73.0,1.29,2.03,2.08,22.0,-2.0,,,,,,,5.8888
2025-03-12 18:15:07-07:00,7.92,307.29600000000005,11.619,24.0135,18.119999999999997,422.87,9.0,73.2,1.16,2.01,2.02,23.0,-1.0,,,,,,,5.231999999999999
2025-03-12 18:16:07-07:00,7.92,291.7420000000001,11.637,22.596,19.907999999999998,422.96,9.0,73.2,1.11,2.51,2.61,22.0,-1.0,,,,,,,5.989599999999999
2025-03-12 18:17:07-07:00,7.92,274.483,13.185,20.874,19.74,422.63,9.0,72.9,1.2,2.42,2.45,20.0,-2.0,,,,,,,5.884
2025-03-12 18:18:08-07:00,7.93,266.56300000000005,12.321,22.753500000000003,18.648,422.22,9.0,72.8,1.15,2.2,2.21,22.0,-1.0,,,,,,,5.4896
2025-03-12 18:19:08-07:00,7.93,260.31500000000005,10.881,24.9795,16.488,422.08,9.0,72.9,1.08,2.32,2.61,22.0,0.0,,,,,,,5.1536
2025-03-12 18:20:08-07:00,7.92,259.19300000000004,10.926,23.541000000000004,17.604,422.03,9.0,73.1,1.21,2.36,2.57,23.0,0.0,,,,,,,5.408799999999999
2025-03-12 18:21:08-07:00,7.93,256.245,10.278,23.3835,15.743999999999998,422.01,9.1,73.3,1.1,2.29,2.36,23.0,0.0,,,,,,,4.9807999999999995
2025-03-12 18:22:08-07:00,7.93,261.855,10.026000000000002,25.4415,12.924,422.09,9.1,73.5,1.03,2.25,2.54,24.0,0.0,,,,,,,4.3848
2025-03-12 18:23:07-07:00,7.93,259.17100000000005,10.458,24.423000000000002,15.419999999999998,422.68,9.1,73.5,1.01,1.87,2.1,23.0,-1.0,,,,,,,4.58
2025-03-12 18:24:08-07:00,7.93,259.226,9.225,22.449,17.244,422.89,9.1,73.5,1.0,1.93,2.02,24.0,-1.0,,,,,,,4.992800000000001
2025-03-12 18:25:08-07:00,7.94,260.30400000000003,9.774,21.903,15.972,422.96,9.1,73.9,1.0,1.77,1.8,23.0,-1.0,,,,,,,4.6104
2025-03-12 18:26:08-07:00,7.94,257.03700000000003,11.520000000000001,23.037000000000003,15.552,422.99,9.1,73.7,1.36,2.26,2.27,22.0,0.0,,,,,,,4.9184
2025-03-12 18:27:08-07:00,7.94,253.03300000000002,13.887,22.459500000000002,16.811999999999998,423.0,9.1,73.5,1.0,1.96,2.43,20.0,-1.0,,,,,,,4.9304
2025-03-12 18:28:10-07:00,7.94,252.637,10.197000000000001,23.299500000000002,18.432,423.0,9.1,73.4,0.87,1.57,1.77,22.0,-1.0,,,,,,,4.9424
2025-03-12 18:29:10-07:00,7.94,253.561,9.909,21.294,20.304000000000002,423.0,9.0,73.5,0.96,1.86,1.93,24.0,0.0,,,,,,,5.548800000000001
2025-03-12 18:30:10-07:00,7.94,244.42000000000002,11.403,21.168000000000003,19.979999999999997,422.71,9.0,73.5,0.99,1.8,1.82,22.0,0.0,,,,,,,5.436
2025-03-12 18:31:10-07:00,7.94,233.86,10.467,20.7795,19.692,421.9,9.0,73.9,1.0,1.59,1.6,23.0,-1.0,,,,,,,5.2104
2025-03-12 18:32:10-07:00,7.94,235.037,8.487,22.732499999999998,19.068,421.32,9.1,74.4,1.0,1.77,1.77,24.0,-1.0,,,,,,,5.2296000000000005
2025-03-12 18:33:10-07:00,7.95,236.36800000000002,10.827,20.076,21.252,421.11,9.1,73.7,0.55,1.38,1.38,24.0,-1.0,,,,,,,5.3544
2025-03-12 18:34:10-07:00,7.95,236.04900000000004,10.683,19.456500000000002,21.563999999999997,420.96,9.1,74.1,0.75,1.73,1.88,22.0,-2.0,,,,,,,5.6968
2025-03-12 18:35:10-07:00,7.95,231.803,11.889000000000001,19.834500000000002,19.584,420.41,9.1,73.7,0.72,1.85,1.9,22.0,-1.0,,,,,,,5.396800000000001
2025-03-12 18:36:10-07:00,7.95,247.335,10.692,20.118000000000002,17.028,420.14,9.1,74.1,0.56,1.3,1.41,23.0,-1.0,,,,,,,4.4456
2025-03-12 18:37:10-07:00,7.95,250.37100000000004,8.91,21.21,16.811999999999998,420.05,9.1,73.9,0.8,1.41,1.52,23.0,-1.0,,,,,,,4.490399999999999
2025-03-12 18:38:11-07:00,7.97,243.419,8.82,18.249,19.728,419.93,9.1,73.7,0.82,1.84,2.09,23.0,-2.0,,,,,,,5.417600000000001
2025-03-12 18:39:11-07:00,7.99,243.518,9.117,18.375,24.048,419.33,9.1,73.4,0.88,1.73,1.8,23.0,-2.0,,,,,,,6.1936
2025-03-12 18:40:11-07:00,8.01,245.11300000000003,9.612,19.4985,23.363999999999997,419.66,9.1,73.7,0.86,1.74,1.76,23.0,-1.0,,,,,,,6.0648
2025-03-12 18:41:11-07:00,8.02,246.85100000000003,11.214,22.449,21.371999999999996,419.88,9.0,74.1,0.96,1.63,1.77,22.0,-1.0,,,,,,,5.578399999999999
2025-03-12 18:42:11-07:00,8.02,238.92000000000002,11.007000000000001,21.798000000000002,22.08,419.87,9.0,74.0,0.99,1.55,1.88,22.0,-1.0,,,,,,,5.656
2025-03-12 18:43:12-07:00,8.02,235.64200000000002,11.385,19.834500000000002,20.831999999999997,419.95,9.0,74.6,1.0,2.11,2.39,22.0,-1.0,,,,,,,5.854399999999999
2025-03-12 18:44:12-07:00,8.02,227.491,9.378,20.139,18.816,419.49,9.0,74.7,0.82,1.75,1.85,23.0,-1.0,,,,,,,5.1632
2025-03-12 18:45:13-07:00,8.02,223.179,8.316,19.53,22.152,419.82,9.0,74.2,0.91,1.55,1.75,24.0,-1.0,,,,,,,5.670400000000001
2025-03-12 18:46:13-07:00,8.03,226.61100000000002,9.846,19.53,22.932,419.94,9.0,74.6,0.85,1.59,1.65,23.0,-1.0,,,,,,,5.8584000000000005
2025-03-12 18:47:13-07:00,8.03,224.52100000000004,8.784,18.805500000000002,21.924,419.98,9.0,75.1,0.99,1.81,2.09,24.0,-1.0,,,,,,,5.832800000000001
2025-03-12 18:48:13-07:00,8.02,223.80600000000004,7.632000000000001,19.834500000000002,19.86,420.23,9.0,75.2,1.0,2.07,2.16,25.0,-1.0,,,,,,,5.628
2025-03-12 18:49:09-07:00,8.03,221.74900000000002,9.855,21.861,16.092,420.25,9.1,75.1,1.12,2.29,2.32,23.0,-1.0,,,,,,,5.0504
2025-03-12 18:50:09-07:00,8.03,225.192,9.702,20.7375,20.304000000000002,420.59,9.1,74.7,1.07,2.48,2.64,23.0,-1.0,,,,,,,6.0448
2025-03-12 18:51:09-07:00,8.04,228.30500000000004,10.485000000000001,21.462000000000003,21.252,420.21,9.1,74.6,1.07,2.19,2.4,22.0,-1.0,,,,,,,6.0024
2025-03-12 18:52:09-07:00,8.04,230.47200000000004,9.711,20.8005,21.131999999999998,420.07,9.1,75.1,1.03,1.9,1.98,24.0,-1.0,,,,,,,5.7463999999999995
2025-03-12 18:53:09-07:00,8.04,243.12200000000004,8.829,21.913500000000003,20.04,420.53,9.1,75.3,1.04,2.04,2.3,24.0,-1.0,,,,,,,5.640000000000001
2025-03-12 18:54:09-07:00,8.04,240.06400000000002,7.38,22.1235,20.639999999999997,420.83,9.1,75.4,0.78,1.63,2.17,25.0,-1.0,,,,,,,5.4319999999999995
2025-03-12 18:55:10-07:00,8.05,256.49800000000005,9.162,21.756,20.376,420.94,9.1,75.2,0.82,2.06,2.52,23.0,-1.0,,,,,,,5.7232
2025-03-12 18:56:10-07:00,8.06,249.23800000000003,10.476,20.265,23.220000000000002,420.98,9.1,75.3,0.77,1.68,1.91,22.0,-2.0,,,,,,,5.988000000000001
2025-03-12 18:57:10-07:00,8.1,238.20500000000004,8.829,17.766000000000002,26.76,420.99,9.1,75.3,0.42,1.46,1.77,24.0,-2.0,,,,,,,6.5200000000000005
2025-03-12 18:58:10-07:00,8.12,229.00900000000001,8.685,15.4875,28.139999999999997,420.35,9.1,75.3,0.18,0.89,1.36,23.0,-2.0,,,,,,,6.34
2025-03-12 18:59:12-07:00,8.13,225.96200000000002,8.469000000000001,15.0675,27.432,419.72,9.2,75.2,0.39,1.14,1.49,23.0,-2.0,,,,,,,6.3984
2025-03-12 19:00:12-07:00,8.14,216.12800000000001,8.316,14.217,28.416,419.25,9.2,75.3,0.17,1.22,1.38,23.0,-2.0,,,,,,,6.6592
2025-03-12 19:01:12-07:00,8.15,209.09900000000002,8.802,12.3585,29.183999999999997,418.79,9.2,75.1,0.06,1.0,1.06,23.0,-3.0,,,,,,,6.6368
2025-03-12 19:02:12-07:00,8.19,213.411,9.251999999999999,13.7655,27.576,418.28,9.2,74.9,0.02,0.4,0.54,24.0,-3.0,,,,,,,5.8352
2025-03-12 19:03:13-07:00,8.22,220.26400000000004,10.116,12.5265,31.104,417.64,9.3,75.0,0.01,0.33,0.49,23.0,-3.0,,,,,,,6.484800000000001
2025-03-12 19:04:12-07:00,8.23,210.77100000000004,9.531,12.369,32.796,417.23,9.2,74.6,0.0,0.3,0.37,23.0,-3.0,,,,,,,6.799200000000001
2025-03-12 19:05:12-07:00,8.25,210.584,7.434,13.167,28.871999999999996,417.08,9.3,75.0,0.0,0.6,0.62,24.0,-2.0,,,,,,,6.2544
2025-03-12 19:06:12-07:00,8.3,208.912,9.603,12.474000000000002,31.295999999999996,417.03,9.3,74.6,0.28,1.04,1.37,24.0,-2.0,,,,,,,7.0912
2025-03-12 19:07:12-07:00,8.32,205.55700000000002,8.352,11.802000000000001,29.772,417.01,9.3,74.5,0.09,0.43,0.54,24.0,-3.0,,,,,,,6.2984
