DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,148,20,-3,-33,3395569894,AQI
2025-03-18 02:52:36-07:00,7.35,,,,,413.85,8.0,60.2,0.0,0.5,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.35,,,,,413.86,8.0,60.2,0.0,0.51,0.79,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.34,,,,,413.87,8.0,60.2,0.0,0.51,0.79,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.32,,,,,413.89,8.0,61.3,0.0,0.5,0.77,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.32,,,,,413.9,7.9,61.6,0.0,0.51,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.31,,,,,413.91,7.9,61.6,0.0,0.51,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.3,,,,,413.92,7.9,61.5,0.0,0.5,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 02:52:36-07:00,7.29,,,,,413.92,7.9,61.5,0.0,0.5,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 03:07:15-07:00,7.29,,,,,413.93,7.9,61.7,0.02,0.51,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 03:07:15-07:00,7.28,,,,,413.94,7.9,61.7,0.02,0.51,0.78,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.25,,,,,413.95,7.9,61.2,0.02,0.51,0.77,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.24,,,,,413.87,7.9,61.2,0.02,0.51,0.77,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.22,,,,,413.73,7.9,60.8,0.02,0.48,0.74,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.22,,,,,413.73,7.9,60.8,0.02,0.48,0.74,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.21,,,,,413.58,7.9,60.4,0.02,0.48,0.72,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.2,,,,,413.45,7.9,60.4,0.02,0.48,0.72,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.19,,,,,413.33,7.9,60.1,0.01,0.47,0.71,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.16,,,,,413.12,7.8,59.6,0.01,0.46,0.7,21.0,0.0,0.0,STAT,,
2025-03-18 03:08:39-07:00,7.15,,,,,413.03,7.8,59.6,0.01,0.46,0.7,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,7.12,,,,,412.79,7.8,59.6,0.01,0.46,0.69,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,7.1,,,,,412.72,7.8,59.6,0.01,0.46,0.69,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,7.08,,,,,412.66,7.8,59.7,0.01,0.47,0.7,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,7.06,,,,,412.61,7.8,59.7,0.01,0.47,0.7,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,7.04,,,,,412.56,7.8,59.9,0.01,0.46,0.69,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,7.02,,,,,412.59,7.8,59.9,0.01,0.46,0.69,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.99,,,,,412.71,7.7,60.1,0.01,0.45,0.68,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.96,,,,,412.82,7.7,60.1,0.01,0.45,0.68,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.93,,,,,412.83,7.6,60.0,0.01,0.45,0.66,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.9,,,,,412.93,7.6,60.0,0.01,0.45,0.66,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.87,,,,,413.02,7.5,60.4,0.01,0.44,0.65,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.84,,,,,413.19,7.5,60.4,0.01,0.44,0.65,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.81,,,,,413.42,7.5,60.8,0.01,0.45,0.68,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.78,,,,,413.63,7.5,60.8,0.01,0.45,0.68,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.74,,,,,413.83,7.4,61.6,0.01,0.44,0.66,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.7,,,,,414.1,7.4,61.6,0.01,0.44,0.66,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.66,,,,,414.34,7.3,62.5,0.01,0.45,0.67,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.62,,,,,414.56,7.3,62.5,0.01,0.45,0.67,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.58,,,,,414.68,7.2,63.6,0.01,0.46,0.68,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.54,,,,,414.79,7.2,63.6,0.01,0.46,0.68,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.5,,,,,414.81,7.2,65.0,0.03,0.49,0.7,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.45,,,,,414.82,7.2,65.0,0.03,0.49,0.7,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.32,,,,,414.88,7.1,65.6,0.06,0.54,0.74,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.29,,,,,414.89,7.1,65.9,0.08,0.56,0.76,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.22,,,,,414.9,7.1,66.9,0.09,0.6,0.8,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.17,,,,,414.91,7.1,67.1,0.12,0.64,0.84,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.15,,,,,414.92,7.1,67.1,0.12,0.64,0.84,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.12,,,,,414.84,7.0,67.4,0.14,0.66,0.87,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.1,,,,,414.77,7.0,67.4,0.14,0.66,0.87,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.07,,,,,414.71,7.0,67.7,0.15,0.7,0.91,21.0,0.0,0.0,STAT,,
2025-03-18 03:27:50-07:00,6.05,,,,,414.65,7.0,67.7,0.15,0.7,0.91,21.0,0.0,0.0,STAT,,
