DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,123,-4,-36,1864131254,165,25,-7,2553925757,AQI
2025-03-22 09:26:06-07:00,4.86,191.08100000000002,12.537,16.6005,14.28,434.98,6.9,78.8,1.09,1.49,1.58,14.0,-2.0,STAT,,,,,,4.048
2025-03-22 09:27:06-07:00,4.85,189.48600000000002,12.906,17.2515,14.723999999999998,435.22,6.9,78.7,1.19,1.98,2.07,13.0,-1.0,STAT,,,,,,4.5288
2025-03-22 09:28:07-07:00,4.86,186.23000000000002,11.394,15.7185,16.416,435.57,6.9,78.8,1.14,1.99,2.02,14.0,-1.0,STAT,,,,,,4.8752
2025-03-22 09:29:07-07:00,4.86,187.63800000000003,10.737,16.191,16.523999999999997,435.12,6.9,78.7,1.05,1.81,1.82,14.0,-1.0,STAT,,,,,,4.7528
2025-03-22 09:30:07-07:00,4.86,188.95800000000003,9.081,14.826,18.168,434.04,6.9,78.7,1.02,1.33,1.53,15.0,-1.0,STAT,,,,,,4.6975999999999996
2025-03-22 09:31:07-07:00,4.86,187.836,10.503,15.0675,17.616,433.37,6.9,78.7,1.12,1.7,2.12,13.0,-1.0,STAT,,,,,,4.8832
2025-03-22 09:32:07-07:00,4.86,190.14600000000004,11.879999999999999,14.836500000000001,18.276,433.05,6.9,78.6,0.96,1.99,2.29,12.0,-1.0,STAT,,,,,,5.2472
2025-03-22 09:33:07-07:00,4.86,187.23100000000002,13.644,15.1515,17.099999999999998,432.37,6.9,78.7,1.04,2.0,2.1,10.0,-1.0,STAT,,,,,,5.02
2025-03-22 09:34:07-07:00,4.86,185.119,13.104000000000001,15.7815,15.623999999999999,432.13,6.9,78.7,1.01,1.92,2.23,11.0,-1.0,STAT,,,,,,4.6608
2025-03-22 09:35:08-07:00,4.87,186.53800000000004,10.557,15.277500000000002,16.631999999999998,432.05,6.9,78.7,1.0,1.57,1.67,13.0,-1.0,STAT,,,,,,4.5824
2025-03-22 09:36:08-07:00,4.86,185.086,11.178,14.259,15.768,432.02,6.9,78.8,0.95,1.62,1.77,13.0,-1.0,STAT,,,,,,4.4496
2025-03-22 09:37:08-07:00,4.87,181.07100000000003,10.98,13.9335,15.732,431.92,6.9,78.8,1.05,1.71,2.04,12.0,-1.0,STAT,,,,,,4.5144
2025-03-22 09:38:08-07:00,4.87,183.942,8.172,13.6395,18.744,431.32,6.9,78.8,1.02,1.89,2.26,13.0,-1.0,STAT,,,,,,5.2608
2025-03-22 09:39:09-07:00,4.87,181.21400000000003,9.666,13.7655,19.104,431.11,6.9,78.8,0.85,1.81,1.94,12.0,-1.0,STAT,,,,,,5.268800000000001
2025-03-22 09:40:09-07:00,4.87,182.622,10.242,13.4085,18.599999999999998,431.04,6.9,78.8,0.85,1.65,1.69,13.0,-2.0,STAT,,,,,,5.04
2025-03-22 09:41:09-07:00,4.87,184.51400000000004,9.846,14.532,18.672,431.01,6.9,78.8,1.1,1.67,1.68,12.0,-1.0,STAT,,,,,,5.0704
2025-03-22 09:42:09-07:00,4.87,179.64100000000002,9.558,12.925500000000001,19.895999999999997,430.46,6.9,78.8,1.04,1.88,1.95,14.0,-1.0,STAT,,,,,,5.4832
2025-03-22 09:43:10-07:00,4.87,183.733,11.367,12.2535,21.276,430.16,6.9,78.8,1.01,1.9,2.21,12.0,-1.0,STAT,,,,,,5.7752
2025-03-22 09:44:10-07:00,4.87,182.25900000000001,12.447000000000001,12.6735,19.247999999999998,430.06,6.9,78.8,0.7,1.29,1.46,11.0,-1.0,STAT,,,,,,4.8816
2025-03-22 09:45:10-07:00,4.87,180.994,10.754999999999999,13.419,18.407999999999998,429.57,6.9,78.9,0.87,1.31,1.83,13.0,-1.0,STAT,,,,,,4.7296
2025-03-22 09:46:10-07:00,4.87,179.57500000000002,10.512,12.978,18.096,429.2,6.9,78.9,0.77,1.73,2.1,13.0,-1.0,STAT,,,,,,5.0032000000000005
2025-03-22 09:47:10-07:00,4.87,177.67200000000003,10.404,12.505500000000001,20.532,429.12,6.9,78.9,0.64,1.52,1.84,13.0,-1.0,STAT,,,,,,5.3224
2025-03-22 09:48:10-07:00,4.87,186.64800000000002,10.44,13.671,19.331999999999997,429.21,6.9,78.9,0.79,1.45,1.58,13.0,-2.0,STAT,,,,,,5.0264
