DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,165,68,4,-3,6,0,0.00000,0.00000.1,0.1,1738476065,159,73,-2,6.1,987484783,AQI
2025-03-06 10:09:26-08:00,21.88,172.81,10.575000000000001,7.822500000000001,0.0,437.04,21.2,29.9,0.0,0.0,0.02,0.0,0.0,1,14.12,225.21,35.08,1,-11,41.0,4.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.0
2025-03-06 10:10:26-08:00,21.89,174.47100000000003,10.170000000000002,6.4365000000000006,2.7479999999999998,437.01,21.2,29.9,0.0,0.08,0.09,0.0,0.0,1,14.02,63.61,32.44,1,-13,42.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6135999999999999
2025-03-06 10:11:26-08:00,21.89,172.645,10.845,7.2765,1.944,436.55,21.2,29.9,0.0,0.03,0.35,0.0,0.0,1,13.98,17.96,29.17,1,-12,40.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.41280000000000006
2025-03-06 10:12:26-08:00,21.88,173.56900000000002,11.286,6.016500000000001,3.42,436.49,21.2,29.9,0.0,0.01,0.11,0.0,0.0,1,13.95,5.07,27.89,1,-12,39.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6920000000000001
2025-03-06 10:13:26-08:00,21.88,172.23800000000003,10.575000000000001,7.728000000000001,1.32,436.74,21.2,29.9,0.0,0.0,0.04,0.0,0.0,1,13.95,1.43,28.78,1,-12,41.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.264
2025-03-06 10:14:26-08:00,21.88,170.08200000000002,10.701,8.043000000000001,0.396,436.87,21.1,29.9,0.0,0.0,0.01,0.0,0.0,1,13.91,0.4,35.09,1,-11,41.0,3.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.0792
2025-03-06 10:15:27-08:00,21.87,174.317,11.349,8.022,0.24,436.95,21.2,29.9,0.0,0.0,0.0,0.0,0.0,1,13.87,0.11,28.2,1,-12,41.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.048
2025-03-06 10:16:27-08:00,21.87,176.26400000000004,10.044,7.266,-0.192,436.42,21.2,29.9,0.0,0.0,0.0,0.0,0.0,1,13.87,0.03,28.17,1,-13,41.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.038400000000000004
2025-03-06 10:17:27-08:00,21.87,174.493,9.567,6.993,1.308,436.71,21.1,29.9,0.0,0.04,0.04,0.0,0.0,1,13.87,0.01,29.94,1,-12,41.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.29359999999999997
2025-03-06 10:18:27-08:00,21.87,173.96500000000003,10.989,6.6674999999999995,1.608,436.25,21.2,29.9,0.0,0.01,0.01,0.0,0.0,1,13.84,0.0,32.7,1,-12,40.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.32960000000000006
2025-03-06 10:19:28-08:00,21.86,170.687,10.269,6.9719999999999995,1.14,436.09,21.2,29.9,0.0,0.0,0.0,0.0,0.0,1,14.12,188.46,39.0,1,-10,41.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.22799999999999998
2025-03-06 10:20:28-08:00,21.84,170.984,10.665,8.2005,-1.452,436.03,21.1,29.9,0.0,0.0,0.0,0.0,0.0,1,14.02,53.23,32.7,1,-12,40.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2904
2025-03-06 10:21:28-08:00,21.83,170.72,10.773000000000001,8.169,-1.5,436.01,21.1,30.0,0.0,0.0,0.06,0.0,0.0,1,13.98,15.03,27.86,1,-12,41.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.30000000000000004
2025-03-06 10:22:29-08:00,21.82,170.984,10.26,7.5705,0.336,436.0,21.2,29.9,0.0,0.0,0.02,0.0,0.0,1,13.95,4.25,27.84,1,-12,41.0,3.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.06720000000000001
2025-03-06 10:23:29-08:00,21.81,172.535,10.593,7.8015,0.948,435.35,21.1,29.9,0.0,0.0,0.01,0.0,0.0,1,13.95,1.2,29.03,1,-12,41.0,4.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1896
2025-03-06 10:24:30-08:00,21.8,173.64600000000002,9.828,7.444500000000001,0.192,435.12,21.1,29.9,0.0,0.17,0.17,0.0,0.0,1,13.91,0.34,34.24,1,-12,43.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1744
2025-03-06 10:25:30-08:00,21.8,175.329,9.477,6.9719999999999995,2.5319999999999996,434.99,21.1,29.9,0.0,0.05,0.05,0.0,0.0,1,13.91,0.1,32.94,1,-13,42.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5464
2025-03-06 10:26:30-08:00,21.8,174.328,8.991,8.2425,0.864,435.0,21.1,29.8,0.0,0.02,0.02,0.0,0.0,1,13.87,0.03,28.13,1,-13,43.0,3.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.18880000000000002
2025-03-06 10:27:30-08:00,21.8,172.711,9.999,8.2845,-0.156,434.46,21.1,29.9,0.0,0.01,0.01,0.0,0.0,1,13.87,0.01,27.12,1,-13,41.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.023200000000000002
2025-03-06 10:28:30-08:00,21.8,174.493,10.548,8.3055,0.312,434.16,21.1,29.9,0.0,0.11,0.11,0.0,0.0,1,13.84,0.0,29.92,1,-14,41.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1504
2025-03-06 10:29:31-08:00,21.8,170.83,11.16,7.4025,1.3559999999999999,434.09,21.1,29.9,0.0,0.04,0.04,0.0,0.0,1,14.16,228.68,40.41,1,-11,40.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.3032
2025-03-06 10:30:31-08:00,21.8,172.667,10.368,7.602,-0.588,434.03,21.1,29.9,0.0,0.01,0.01,0.0,0.0,1,14.02,64.58,29.64,1,-12,41.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.1096
2025-03-06 10:31:31-08:00,21.8,171.32500000000002,11.43,7.329000000000001,0.756,434.01,21.1,29.8,0.0,0.0,0.0,0.0,0.0,1,13.98,18.24,28.74,1,-11,39.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1512
2025-03-06 10:32:31-08:00,21.8,171.28100000000003,10.719000000000001,7.455,0.972,434.0,21.1,29.9,0.0,0.0,0.0,0.0,0.0,1,13.95,5.15,30.24,1,-12,41.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.19440000000000002
2025-03-06 10:33:31-08:00,21.8,170.511,9.801,8.2215,-0.6,434.0,21.1,29.9,0.0,0.0,0.0,0.0,0.0,1,13.95,1.45,27.55,1,-12,42.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.12
2025-03-06 10:34:28-08:00,21.8,166.95800000000003,10.575000000000001,7.497,1.3559999999999999,434.0,21.2,29.8,0.0,0.0,0.0,0.0,0.0,1,13.91,0.46,28.63,1,-10,40.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.2712
2025-03-06 10:35:28-08:00,21.8,169.93900000000002,10.341000000000001,8.673,-1.476,433.35,21.1,29.8,0.0,0.0,0.0,0.0,0.0,1,13.91,0.13,28.78,1,-11,41.0,4.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2952
