DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,139,-30,1585130552,119,26,4024907249,AQI
2025-03-11 09:52:15-07:00,5.36,231.979,9.936,23.961000000000002,13.908,427.99,7.0,75.8,6.6,11.73,12.15,15.0,STAT,,,,,12.165600000000001
2025-03-11 09:53:16-07:00,5.36,232.68300000000002,9.567,23.604000000000003,15.515999999999998,428.0,7.0,75.9,6.37,11.07,11.21,15.0,STAT,,,,,11.9592
2025-03-11 09:54:16-07:00,5.36,236.14800000000002,10.754999999999999,22.585500000000003,14.676,428.0,7.0,75.9,6.51,10.54,10.73,15.0,STAT,,,,,11.3672
2025-03-11 09:55:16-07:00,5.36,233.40900000000002,9.648000000000001,22.953,13.235999999999999,428.0,7.0,75.9,6.96,11.28,11.34,17.0,STAT,,,,,11.671199999999999
2025-03-11 09:56:17-07:00,5.37,233.32100000000003,11.043,21.378,13.488,428.0,7.0,75.9,6.83,11.98,12.03,16.0,STAT,,,,,12.281600000000001
2025-03-11 09:57:17-07:00,5.36,235.85100000000003,9.945,21.693,12.372,428.35,7.0,75.9,6.94,12.49,12.56,16.0,STAT,,,,,12.4664
2025-03-11 09:58:17-07:00,5.37,235.30100000000002,12.276000000000002,22.218,12.168000000000001,428.77,7.0,76.0,6.84,11.86,12.44,15.0,STAT,,,,,11.9216
2025-03-11 09:59:17-07:00,5.37,237.45700000000002,10.773000000000001,23.1945,11.52,429.15,7.0,75.9,6.88,12.15,12.49,15.0,STAT,,,,,12.024000000000001
2025-03-11 10:00:17-07:00,5.37,240.35000000000002,12.24,22.995,10.308,429.7,7.0,76.0,6.96,11.57,12.13,15.0,STAT,,,,,11.3176
2025-03-11 10:01:17-07:00,5.37,245.454,12.042000000000002,24.948000000000004,10.956000000000001,430.3,7.0,75.9,6.99,11.84,12.32,15.0,STAT,,,,,11.6632
2025-03-11 10:02:19-07:00,5.37,253.13200000000003,10.701,24.402,11.784,431.21,7.0,76.0,6.71,11.44,12.07,16.0,STAT,,,,,11.508799999999999
2025-03-11 10:03:20-07:00,5.37,248.776,10.701,23.751,13.368,431.88,7.0,76.0,6.64,11.54,11.89,15.0,STAT,,,,,11.9056
2025-03-11 10:04:20-07:00,5.37,248.03900000000004,9.225,23.803500000000003,13.5,431.96,7.0,75.8,6.85,11.71,12.07,16.0,STAT,,,,,12.068000000000001
2025-03-11 10:05:20-07:00,5.38,248.35800000000003,10.575000000000001,24.3915,12.456000000000001,431.99,7.0,75.7,6.74,10.87,11.38,15.0,STAT,,,,,11.1872
2025-03-11 10:06:20-07:00,5.38,246.818,9.846,23.2155,15.072,431.99,7.0,75.7,6.71,12.4,12.75,15.0,STAT,,,,,12.934400000000002
2025-03-11 10:07:19-07:00,5.37,245.85000000000002,11.124,24.6225,13.847999999999999,431.38,7.0,75.8,6.6,11.11,11.75,15.0,STAT,,,,,11.6576
2025-03-11 10:08:19-07:00,5.37,238.99700000000004,11.889000000000001,24.7905,13.104,431.13,7.0,75.8,6.8,11.71,11.93,13.0,STAT,,,,,11.988800000000001
2025-03-11 10:09:19-07:00,5.37,239.085,10.971,24.381,15.288,430.92,7.0,75.9,6.68,11.23,11.97,14.0,STAT,,,,,12.0416
2025-03-11 10:10:19-07:00,5.37,235.01500000000001,9.243,24.7905,13.452,430.36,6.9,75.8,6.81,11.14,11.85,15.0,STAT,,,,,11.602400000000001
2025-03-11 10:11:19-07:00,5.37,232.518,9.225,24.444000000000003,14.172,430.13,6.9,75.9,6.62,11.17,11.48,15.0,STAT,,,,,11.7704
2025-03-11 10:12:21-07:00,5.37,229.69100000000003,8.343,23.9295,13.739999999999998,430.04,6.9,75.9,6.28,11.02,11.13,16.0,STAT,,,,,11.564
2025-03-11 10:13:17-07:00,5.37,230.01000000000002,10.431000000000001,23.855999999999998,11.472,430.02,7.0,75.9,6.17,10.25,10.7,15.0,STAT,,,,,10.4944
2025-03-11 10:14:17-07:00,5.38,238.348,9.909,24.192,12.623999999999999,430.01,7.0,75.9,6.55,11.46,11.76,16.0,STAT,,,,,11.692800000000002
2025-03-11 10:15:17-07:00,5.38,258.269,11.115,24.003,14.076,430.0,6.9,75.8,6.59,11.78,12.41,15.0,STAT,,,,,12.2392
2025-03-11 10:16:17-07:00,5.37,249.62300000000002,9.207,24.696,13.895999999999999,430.0,6.9,75.9,6.28,10.14,11.06,16.0,STAT,,,,,10.8912
2025-03-11 10:17:17-07:00,5.37,236.23600000000002,9.629999999999999,22.480500000000003,13.728,429.5,6.9,75.8,6.09,10.0,10.62,16.0,STAT,,,,,10.7456
2025-03-11 10:18:17-07:00,5.37,228.30500000000004,10.143,22.5225,13.692,429.18,6.9,75.9,6.01,9.95,10.17,15.0,STAT,,,,,10.6984
2025-03-11 10:19:17-07:00,5.37,223.751,9.261,23.625,13.872,428.71,6.9,75.9,5.96,9.29,9.81,16.0,STAT,,,,,10.206399999999999
2025-03-11 10:20:17-07:00,5.37,222.717,10.962,23.9085,12.647999999999998,428.25,7.0,75.9,5.46,8.6,9.19,15.0,STAT,,,,,9.4096
2025-03-11 10:21:17-07:00,5.37,219.043,9.450000000000001,22.449,14.243999999999998,428.25,6.9,75.9,5.66,8.86,9.06,16.0,STAT,,,,,9.9368
2025-03-11 10:22:19-07:00,5.38,218.086,10.071,22.774500000000003,15.899999999999999,428.09,6.9,75.8,5.77,9.78,10.12,15.0,STAT,,,,,11.004
2025-03-11 10:23:19-07:00,5.38,220.077,8.946,23.205000000000002,15.096,428.03,6.9,75.8,5.61,8.92,9.43,16.0,STAT,,,,,10.1552
