DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,146,25,-8,-37,2699952926,138,17,-9,-39,2541407520,AQI
2025-03-21 04:00:19-07:00,7.73,224.80700000000002,6.561,17.692500000000003,19.752,414.99,8.5,74.5,0.32,1.26,1.65,22.0,-1.0,-3.0,STAT,,,,,,,4.9584
2025-03-21 04:01:19-07:00,7.73,220.979,4.742999999999999,18.102,21.06,415.0,8.5,74.4,0.14,1.24,1.38,21.0,-1.0,-1.0,STAT,,,,,,,5.204
2025-03-21 04:02:19-07:00,7.72,224.026,5.229,17.860500000000002,20.04,415.0,8.5,74.4,0.29,1.51,1.56,22.0,-1.0,-2.0,STAT,,,,,,,5.216
2025-03-21 04:03:19-07:00,7.72,224.35600000000002,7.470000000000001,17.6505,20.555999999999997,415.0,8.5,74.7,0.35,1.99,2.01,19.0,-1.0,-2.0,STAT,,,,,,,5.703199999999999
2025-03-21 04:04:19-07:00,7.72,225.973,5.4,16.926000000000002,18.983999999999998,415.0,8.5,74.7,0.52,1.49,1.53,22.0,-1.0,-3.0,STAT,,,,,,,4.9887999999999995
2025-03-21 04:05:19-07:00,7.72,231.50600000000003,6.165,17.493000000000002,18.612,415.0,8.5,74.6,0.23,1.14,1.58,20.0,-1.0,-3.0,STAT,,,,,,,4.634399999999999
2025-03-21 04:06:19-07:00,7.72,231.418,6.633,17.3775,19.884,414.92,8.5,74.6,0.12,0.93,1.4,20.0,-1.0,-3.0,STAT,,,,,,,4.7208000000000006
2025-03-21 04:07:20-07:00,7.71,229.57,6.273,18.427500000000002,18.708,414.82,8.5,74.6,0.04,1.09,1.26,20.0,-1.0,-3.0,STAT,,,,,,,4.6136
2025-03-21 04:08:20-07:00,7.72,224.44400000000002,4.752000000000001,17.576999999999998,20.4,414.46,8.5,74.6,0.01,1.27,1.33,23.0,-1.0,-3.0,STAT,,,,,,,5.096
2025-03-21 04:09:20-07:00,7.72,224.95000000000002,6.228,17.241000000000003,20.904,414.81,8.5,74.6,0.39,1.36,1.64,22.0,-1.0,-3.0,STAT,,,,,,,5.268800000000001
2025-03-21 04:10:22-07:00,7.7,225.69800000000004,6.7860000000000005,17.724,20.255999999999997,414.93,8.5,74.8,0.39,1.27,1.39,20.0,0.0,-3.0,STAT,,,,,,,5.0672
2025-03-21 04:11:22-07:00,7.69,228.723,5.867999999999999,18.4905,19.523999999999997,414.98,8.6,74.6,0.32,1.3,1.34,22.0,0.0,-3.0,STAT,,,,,,,4.9448
2025-03-21 04:12:22-07:00,7.67,226.985,5.841,18.070500000000003,19.656,414.99,8.5,74.5,0.11,1.1,1.17,21.0,0.0,-3.0,STAT,,,,,,,4.8112
2025-03-21 04:13:22-07:00,7.66,224.63100000000003,8.253,17.0835,20.808,415.0,8.5,74.4,0.53,1.6,1.62,19.0,-1.0,-3.0,STAT,,,,,,,5.4416
2025-03-21 04:14:22-07:00,7.65,223.43200000000002,6.687,17.4615,19.992,415.0,8.5,74.5,0.78,1.72,1.86,20.0,-1.0,-3.0,STAT,,,,,,,5.3744000000000005
2025-03-21 04:15:21-07:00,7.64,230.329,7.245000000000001,17.514,19.212,415.0,8.5,74.4,0.29,1.09,1.2,19.0,0.0,-3.0,STAT,,,,,,,4.7144
