DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,97,-2,-31,3370740356,148,20,-3,-33,3395569894,AQI
2025-03-17 16:47:03-07:00,3.35,,,,,454.39,10.4,62.1,2.05,3.31,3.48,10.0,0.0,STAT,,,,,,,
2025-03-17 16:49:59-07:00,3.81,,,,,453.86,11.9,57.1,2.16,3.51,3.68,10.0,-1.0,STAT,,,,,,,
2025-03-17 16:50:02-07:00,4.65,,,,,453.37,12.3,55.1,2.48,3.91,4.13,11.0,-1.0,STAT,,,,,,,
2025-03-17 17:06:27-07:00,5.05,,,,,452.25,12.3,55.1,2.48,3.91,4.13,11.0,-1.0,STAT,,,,,,,
2025-03-17 17:08:36-07:00,6.23,,,,,449.52,13.5,50.7,2.79,4.3,4.54,13.0,-3.0,STAT,,,,,,,
2025-03-17 17:11:02-07:00,7.16,,,,,447.56,13.6,51.1,3.24,4.96,5.17,15.0,-4.0,STAT,,,,,,,
2025-03-17 17:12:58-07:00,7.44,,,,,447.56,13.6,51.1,3.24,4.96,5.17,15.0,-5.0,STAT,,,,,,,
2025-03-17 17:13:02-07:00,7.95,,,,,447.02,14.1,51.4,3.36,5.24,5.44,15.0,-5.0,STAT,,,,,,,
2025-03-17 17:13:02-07:00,8.25,,,,,447.02,14.1,51.4,3.36,5.24,5.44,15.0,-5.0,STAT,,,,,,,
2025-03-17 17:13:02-07:00,8.56,,,,,447.02,15.0,46.2,3.39,5.27,5.46,15.0,-5.0,STAT,,,,,,,
2025-03-17 17:13:02-07:00,8.87,,,,,447.02,15.0,46.2,3.39,5.27,5.46,15.0,-5.0,STAT,,,,,,,
2025-03-17 17:13:02-07:00,9.18,,,,,447.02,15.0,45.8,3.4,5.28,5.47,15.0,-5.0,STAT,,,,,,,
2025-03-17 17:13:02-07:00,9.44,,,,,447.02,15.0,45.8,3.4,5.28,5.47,15.0,-5.0,STAT,,,,,,,
2025-03-17 18:09:29-07:00,9.66,,,,,446.1,13.5,47.7,3.39,5.28,5.47,15.0,-5.0,STAT,,,,,,,
2025-03-17 18:10:44-07:00,10.89,,,,,441.49,14.3,46.8,2.99,4.8,4.92,22.0,-5.0,STAT,,,,,,,
2025-03-17 18:11:37-07:00,11.71,,,,,438.51,14.4,46.9,3.09,4.92,4.98,26.0,-5.0,STAT,,,,,,,
2025-03-17 18:12:37-07:00,12.18,,,,,436.88,14.5,46.1,2.92,4.25,4.44,28.0,-5.0,STAT,,,,,,,
2025-03-17 18:13:37-07:00,12.37,,,,,436.31,14.5,46.0,3.04,4.27,4.33,31.0,-4.0,STAT,,,,,,,
2025-03-17 18:13:57-07:00,12.42,,,,,436.45,14.5,46.4,3.22,4.53,4.58,30.0,-4.0,STAT,,,,,,,
2025-03-17 18:13:57-07:00,12.43,,,,,436.45,14.5,46.5,3.24,4.54,4.58,30.0,-4.0,STAT,,,,,,,
2025-03-17 18:13:57-07:00,12.44,,,,,436.45,14.5,46.5,3.24,4.54,4.58,30.0,-4.0,STAT,,,,,,,
2025-03-17 18:13:57-07:00,12.45,,,,,436.45,14.0,47.5,3.23,4.57,4.61,30.0,-4.0,STAT,,,,,,,
2025-03-17 18:13:57-07:00,12.46,,,,,436.66,14.0,47.5,3.23,4.57,4.61,30.0,-4.0,STAT,,,,,,,
