DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,83,46,2,-1,3910151013,3,2341516188,AQI
2025-03-17 17:23:54-07:00,21.59,262.493,9.846,13.566,14.16,435.88,20.7,30.0,3.66,5.24,5.24,27.0,1,2.0,STAT,,,,7.024000000000001
2025-03-17 17:24:54-07:00,21.59,242.13200000000003,10.989,12.3795,14.868,436.25,20.7,30.0,3.05,4.65,4.65,27.0,2,3.0,STAT,,,,6.693600000000001
2025-03-17 17:25:54-07:00,21.59,270.809,11.628,13.461,13.5,437.23,20.7,30.0,3.39,4.89,4.89,26.0,1,2.0,STAT,,,,6.612
2025-03-17 17:26:54-07:00,21.6,268.68600000000004,10.143,12.348,15.672,440.11,20.7,30.0,3.59,5.04,5.04,27.0,1,2.0,STAT,,,,7.1664
2025-03-17 17:27:54-07:00,21.6,267.784,10.827,13.618500000000001,14.892,442.79,20.7,30.0,3.37,4.58,4.95,27.0,2,3.0,STAT,,,,6.6424
2025-03-17 17:28:54-07:00,21.6,265.93600000000004,10.620000000000001,12.684000000000001,15.0,444.68,20.8,30.1,3.53,4.92,5.09,26.0,1,2.0,STAT,,,,6.936
2025-03-17 17:29:54-07:00,21.6,270.545,11.709,13.251,13.368,446.18,20.8,30.1,3.11,4.28,4.71,26.0,1,2.0,STAT,,,,6.097600000000001
2025-03-17 17:30:54-07:00,21.6,268.43300000000005,10.962,13.177500000000002,12.911999999999999,447.03,20.8,30.1,2.68,4.21,4.36,27.0,1,2.0,STAT,,,,5.9504
2025-03-17 17:31:55-07:00,21.6,272.37100000000004,9.216000000000001,14.133000000000001,11.868,447.31,20.8,30.1,2.48,4.04,4.33,27.0,1,2.0,STAT,,,,5.605600000000001
2025-03-17 17:32:55-07:00,21.6,242.30800000000002,10.656,12.852,13.356,447.11,20.8,30.0,2.97,4.56,4.66,27.0,2,2.0,STAT,,,,6.3192
2025-03-17 17:33:55-07:00,21.6,268.47700000000003,10.35,12.621,14.016,447.12,20.8,30.0,3.6,5.0,5.27,27.0,0,2.0,STAT,,,,6.8032
2025-03-17 17:34:55-07:00,21.6,260.942,9.666,12.652500000000002,13.98,447.04,20.8,30.1,3.88,5.53,5.62,28.0,1,2.0,STAT,,,,7.220000000000001
2025-03-17 17:35:55-07:00,21.61,271.15000000000003,8.919,12.568500000000002,14.424,447.31,20.8,30.0,3.52,5.32,5.35,28.0,1,2.0,STAT,,,,7.1408000000000005
2025-03-17 17:36:56-07:00,21.63,267.146,9.684,12.663,15.264,448.11,20.8,30.0,3.71,5.44,5.45,27.0,1,3.0,STAT,,,,7.4048
2025-03-17 17:37:56-07:00,21.66,268.906,8.874,13.3035,14.783999999999999,448.59,20.8,30.1,3.72,5.18,5.18,28.0,1,3.0,STAT,,,,7.1008
2025-03-17 17:38:56-07:00,21.67,264.35200000000003,11.115,13.146,14.591999999999999,448.73,20.8,30.1,3.61,5.47,5.49,26.0,1,3.0,STAT,,,,7.2944
