DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,113,-3,4156406037,144,26,-6,-22,657325163,AQI
2025-03-12 13:26:05-07:00,5.7,179.77300000000002,7.425,12.306000000000001,28.692,402.0,6.9,81.0,1.0,2.04,2.11,18.0,-1.0,,,,,,,7.3704
2025-03-12 13:27:05-07:00,5.7,175.736,7.614000000000001,13.723500000000001,25.272,401.71,6.9,81.0,1.0,1.68,1.95,18.0,-2.0,,,,,,,6.3984000000000005
2025-03-12 13:28:05-07:00,5.7,175.95600000000002,8.559,13.377,25.752,401.6,6.9,81.2,1.07,2.11,2.2,17.0,-1.0,,,,,,,6.8384
2025-03-12 13:29:05-07:00,5.7,175.38400000000001,9.99,12.327,27.42,401.86,6.9,81.3,1.24,2.35,2.54,17.0,-1.0,,,,,,,7.364000000000001
2025-03-12 13:30:05-07:00,5.7,175.879,10.98,13.534500000000001,24.671999999999997,401.95,6.9,81.3,1.29,2.24,2.33,15.0,-2.0,,,,,,,6.7264
2025-03-12 13:31:05-07:00,5.7,179.157,10.71,13.356000000000002,25.236,401.98,7.0,81.2,1.19,2.53,2.68,16.0,-2.0,,,,,,,7.0712
2025-03-12 13:32:05-07:00,5.7,179.93800000000002,8.811,13.0725,26.279999999999998,401.99,7.0,80.9,1.09,2.06,2.43,18.0,-1.0,,,,,,,6.904
2025-03-12 13:33:06-07:00,5.7,182.127,10.458,13.419,26.099999999999998,402.0,6.9,81.0,1.35,2.06,2.19,16.0,-1.0,,,,,,,6.868
2025-03-12 13:34:06-07:00,5.7,184.56900000000002,10.854000000000001,12.936000000000002,27.252,402.0,6.9,81.0,1.11,2.08,2.23,16.0,-1.0,,,,,,,7.1144
2025-03-12 13:35:06-07:00,5.7,183.82100000000003,10.278,12.1905,28.272,402.0,6.9,81.1,1.06,1.92,2.11,16.0,-1.0,,,,,,,7.1904
2025-03-12 13:36:06-07:00,5.7,181.50000000000003,9.107999999999999,13.167,26.376,402.0,6.9,81.1,1.22,1.88,2.03,18.0,-1.0,,,,,,,6.779200000000001
2025-03-12 13:37:06-07:00,5.71,181.94000000000003,10.062,13.943999999999999,25.139999999999997,402.0,6.9,81.1,1.08,1.63,1.68,17.0,-2.0,,,,,,,6.332
2025-03-12 13:38:06-07:00,5.72,181.918,10.215,15.1725,23.508,402.0,6.9,81.2,1.03,1.85,1.87,17.0,-1.0,,,,,,,6.1816
2025-03-12 13:39:07-07:00,5.74,181.929,10.404,14.868,24.516,402.0,6.9,81.0,1.01,1.94,2.22,17.0,-1.0,,,,,,,6.4552
2025-03-12 13:40:07-07:00,5.76,184.33800000000002,12.348,14.8155,24.708,402.0,6.9,81.2,1.03,2.12,2.44,15.0,-1.0,,,,,,,6.637600000000001
2025-03-12 13:41:07-07:00,5.77,196.48200000000003,10.305,13.4715,26.592,402.0,6.9,81.3,1.01,1.71,1.82,16.0,-1.0,,,,,,,6.686400000000001
2025-03-12 13:42:07-07:00,5.77,201.157,10.008,14.385,24.876,402.0,6.9,81.4,1.06,1.89,2.27,17.0,-1.0,,,,,,,6.487200000000001
2025-03-12 13:43:08-07:00,5.77,200.497,10.629000000000001,13.398,26.279999999999998,402.0,6.9,81.3,1.14,2.11,2.5,17.0,-1.0,,,,,,,6.944
2025-03-12 13:44:08-07:00,5.77,198.341,9.045000000000002,13.65,26.795999999999996,402.0,6.9,81.4,1.14,2.16,2.45,17.0,-1.0,,,,,,,7.087199999999999
2025-03-12 13:45:08-07:00,5.77,272.86600000000004,8.586,14.6895,24.744,402.0,6.9,81.4,1.09,2.42,2.52,17.0,-1.0,,,,,,,6.8848
2025-03-12 13:46:09-07:00,5.77,264.23100000000005,9.522,14.6265,25.128,402.0,6.9,81.3,1.41,2.5,2.54,16.0,-1.0,,,,,,,7.025600000000001
2025-03-12 13:47:04-07:00,5.77,237.567,9.738000000000001,13.9335,25.032,402.0,6.9,81.2,1.48,2.52,2.76,16.0,-1.0,,,,,,,7.0224
2025-03-12 13:48:04-07:00,5.77,210.50700000000003,10.341000000000001,14.469,24.947999999999997,402.0,6.9,81.0,1.26,2.42,2.51,16.0,-2.0,,,,,,,6.925599999999999
2025-03-12 13:49:04-07:00,5.78,197.07600000000002,10.359,13.6395,26.184,402.0,6.9,81.0,1.09,2.42,2.59,17.0,-2.0,,,,,,,7.1728000000000005
2025-03-12 13:50:05-07:00,5.78,191.818,11.484,13.251,25.92,402.0,6.9,81.0,1.03,1.83,1.88,16.0,-2.0,,,,,,,6.6480000000000015
