DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,174,77,2,-6,6,0,0.00000,0.00000.1,0.1,1976569327,153,3,-4,2848035556,AQI
2025-02-28 04:54:57-08:00,23.77,197.02100000000004,10.476,9.198,1.2,476.59,22.7,31.9,0.0,0.14,0.14,0.0,0.0,1,13.91,1.04,31.22,1,-12,53.0,2,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.352
2025-02-28 04:55:58-08:00,23.77,197.37300000000002,11.088000000000001,9.135,1.6320000000000001,476.21,22.7,32.0,0.0,0.04,0.05,0.0,0.0,1,13.91,0.29,30.8,1,-11,51.0,2,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.35840000000000005
2025-02-28 04:56:58-08:00,23.77,195.03000000000003,10.548,8.977500000000001,-0.132,475.67,22.6,32.0,0.05,0.14,0.14,0.0,0.0,1,13.91,0.08,32.16,1,-12,52.0,2,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.08560000000000001
2025-02-28 04:57:58-08:00,23.76,195.93200000000002,9.558,9.03,2.772,475.23,22.7,32.0,0.01,0.43,0.43,0.0,0.0,1,13.87,0.02,27.24,1,-11,54.0,2,2.0,STAT,0,LAT,LON,W,CRC,,,,,,0.8984000000000001
2025-02-28 04:58:58-08:00,23.76,194.942,11.367,8.7675,3.444,474.79,22.6,32.0,0.0,0.13,0.63,0.0,0.0,1,13.87,0.01,28.34,1,-11,52.0,3,2.0,STAT,0,LAT,LON,W,CRC,,,,,,0.7928000000000001
2025-02-28 04:59:58-08:00,23.75,191.70800000000003,11.16,9.5235,0.78,474.28,22.6,31.9,0.0,0.19,0.42,0.0,0.0,1,13.87,0.0,29.43,1,-9,52.0,3,2.0,STAT,0,LAT,LON,W,CRC,,,,,,0.30800000000000005
2025-02-28 05:00:58-08:00,23.74,191.895,10.827,9.807,0.636,474.1,22.6,32.0,0.0,0.37,0.63,0.0,0.0,1,14.09,190.71,29.87,1,-10,52.0,2,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.4232
2025-02-28 05:01:59-08:00,23.73,193.53400000000002,10.098,8.6835,2.5799999999999996,473.87,22.6,32.0,0.0,0.29,0.38,0.0,0.0,1,14.02,53.86,29.44,1,-11,53.0,2,2.0,STAT,0,LAT,LON,W,CRC,,,,,,0.7479999999999999
2025-02-28 05:02:59-08:00,23.72,192.45600000000002,9.018,10.006499999999999,-0.312,473.31,22.6,32.0,0.0,0.1,0.29,0.0,0.0,1,13.98,15.21,27.74,1,-9,54.0,3,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.01760000000000001
2025-02-28 05:03:59-08:00,23.72,194.095,9.612,8.589,1.8479999999999999,472.74,22.7,32.0,0.12,0.26,0.36,0.0,0.0,1,13.95,4.3,26.92,1,-10,53.0,2,1.0,STAT,0,LAT,LON,W,CRC,,,,,,0.5776
