DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,275,78,0,-11,6,0.1,0.00000,0.00000.1,0.2,758574998,148,72,2,-5,1320373942,AQI
2025-02-23 03:24:36-08:00,22.29,178.508,10.818,7.4655000000000005,-1.38,421.36,21.4,36.7,0.0,0.34,0.5,0.0,0.0,1,13.95,4.63,26.3,1,-7,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.003999999999999948
2025-02-23 03:25:36-08:00,22.29,179.245,10.881,7.791,-1.56,421.13,21.4,36.7,0.0,0.3,0.36,0.0,0.0,1,13.95,1.31,26.82,1,-9,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.07200000000000006
2025-02-23 03:26:35-08:00,22.29,178.39800000000002,10.944,7.833,-3.048,421.04,21.4,36.7,0.0,0.23,0.25,0.0,0.0,1,13.91,0.37,31.16,1,-8,49.0,0.0,-1,STAT,0,LAT,LON,W,CRC,,,,,,,-0.4256
2025-02-23 03:27:36-08:00,22.29,177.65,12.204,8.8725,-3.6719999999999997,421.12,21.4,36.7,0.0,0.25,0.34,0.0,0.0,1,13.91,0.1,31.52,1,-8,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.5344
2025-02-23 03:28:36-08:00,22.29,180.52100000000004,11.331,8.620500000000002,-2.64,421.04,21.4,36.7,0.0,0.18,0.32,0.0,0.0,1,13.87,0.03,29.54,1,-10,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.384
2025-02-23 03:29:36-08:00,22.29,182.03900000000002,10.881,8.904000000000002,-2.232,420.72,21.4,36.7,0.0,0.06,0.1,0.0,0.0,1,13.87,0.01,29.42,1,-11,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.3984000000000001
2025-02-23 03:30:36-08:00,22.29,181.36800000000002,11.295000000000002,6.825,-1.104,420.25,21.4,36.7,0.0,0.13,0.2,0.0,0.0,1,13.84,0.0,29.83,1,-10,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.11680000000000001
2025-02-23 03:31:37-08:00,22.28,177.936,10.764000000000001,8.757,-2.868,420.09,21.4,36.7,0.0,0.04,0.17,0.0,0.0,1,14.16,243.81,36.14,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.5416
2025-02-23 03:32:37-08:00,22.29,177.60600000000002,11.133,7.875,-1.92,419.58,21.5,36.7,0.0,0.01,0.06,0.0,0.0,1,14.05,68.86,29.18,1,-8,47.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.376
2025-02-23 03:33:37-08:00,22.29,177.122,11.754000000000001,8.862,-2.616,419.2,21.4,36.6,0.0,0.19,0.34,0.0,0.0,1,13.98,19.45,30.79,1,-7,47.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.3712
2025-02-23 03:34:37-08:00,22.29,177.87,12.501000000000001,7.938,-2.088,419.07,21.4,36.6,0.0,0.19,0.27,0.0,0.0,1,13.95,5.49,31.38,1,-7,45.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2656
2025-02-23 03:35:38-08:00,22.29,179.01400000000004,11.223,8.778,-2.6039999999999996,419.02,21.4,36.6,0.0,0.26,0.32,0.0,0.0,1,13.95,1.55,27.02,1,-9,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.3127999999999999
2025-02-23 03:36:33-08:00,22.29,175.417,10.692,8.778,-3.6839999999999997,419.01,21.4,36.6,0.0,0.16,0.25,0.0,0.0,1,13.91,0.49,37.2,1,-7,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.6088
2025-02-23 03:37:33-08:00,22.29,178.508,11.592,8.2215,-3.0599999999999996,419.0,21.4,36.6,0.0,0.13,0.34,0.0,0.0,1,13.91,0.14,33.96,1,-9,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.508
