DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,110,23,-6,-30,2399998905,126,18,-11,-31,1777313190,AQI
2025-03-10 13:36:49-07:00,1.04,494.2300000000001,31.113,17.157,4.404,521.02,3.4,79.8,3.99,5.79,5.79,7.0,-1.0,-2.0,STAT,,,,,,,5.5128
2025-03-10 13:37:50-07:00,1.04,491.46900000000005,30.546,17.325,5.388,520.39,3.5,79.7,4.34,6.49,6.73,8.0,-1.0,-1.0,STAT,,,,,,,6.2696000000000005
2025-03-10 13:38:50-07:00,1.04,490.45700000000005,27.918,17.829,4.536,519.98,3.5,79.7,4.29,6.08,6.72,9.0,-1.0,-1.0,STAT,,,,,,,5.7712
2025-03-10 13:39:50-07:00,1.04,494.802,29.241000000000003,18.165000000000003,4.668,518.5,3.5,79.5,4.14,5.87,6.36,7.0,-1.0,-1.0,STAT,,,,,,,5.629600000000001
2025-03-10 13:40:50-07:00,1.04,490.908,29.862000000000002,17.692500000000003,4.884,515.93,3.4,79.6,4.14,6.04,6.32,7.0,-1.0,-2.0,STAT,,,,,,,5.808800000000001
2025-03-10 13:41:49-07:00,1.04,479.6,28.746000000000002,18.648000000000003,4.32,514.03,3.5,79.6,4.3,6.22,6.55,9.0,-1.0,-1.0,STAT,,,,,,,5.84
2025-03-10 13:42:49-07:00,1.04,483.0760000000001,30.492000000000004,18.774,3.384,514.81,3.5,79.7,4.02,6.19,6.52,8.0,-1.0,-2.0,STAT,,,,,,,5.628800000000001
2025-03-10 13:43:49-07:00,1.03,476.399,31.455000000000002,19.404,3.768,517.8,3.4,79.5,3.79,5.84,5.96,8.0,0.0,-1.0,STAT,,,,,,,5.425599999999999
2025-03-10 13:44:49-07:00,1.03,464.81600000000003,32.949,18.69,3.804,519.87,3.5,79.4,3.66,5.89,6.16,6.0,0.0,-1.0,STAT,,,,,,,5.472799999999999
2025-03-10 13:45:50-07:00,1.03,459.69,30.636,18.438,3.24,520.37,3.5,79.4,2.83,5.4,5.69,6.0,-1.0,-1.0,STAT,,,,,,,4.968
2025-03-10 13:46:51-07:00,1.03,456.918,28.899,18.249,3.888,519.84,3.5,79.4,3.3,5.08,5.23,7.0,-1.0,-2.0,STAT,,,,,,,4.8416
2025-03-10 13:47:51-07:00,1.03,454.3550000000001,29.367000000000004,17.9865,2.4,518.4,3.5,79.4,3.25,5.3,5.35,7.0,-1.0,-2.0,STAT,,,,,,,4.720000000000001
2025-03-10 13:48:51-07:00,1.04,459.338,29.430000000000003,17.703,3.2039999999999997,517.49,3.5,79.5,3.29,5.19,5.42,6.0,0.0,-2.0,STAT,,,,,,,4.7928
2025-03-10 13:49:51-07:00,1.04,463.0010000000001,28.269000000000002,17.661,2.6519999999999997,517.04,3.5,79.6,3.4,5.39,5.61,7.0,-1.0,-2.0,STAT,,,,,,,4.8424000000000005
2025-03-10 13:50:51-07:00,1.03,459.9870000000001,30.924,16.4955,4.464,517.1,3.5,79.7,3.93,6.03,6.4,6.0,-1.0,-2.0,STAT,,,,,,,5.716800000000001
