DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,122,-10,-26,1443415030,130,30,-27,734562680,AQI
2025-03-24 14:24:03-07:00,9.24,525.052,6.066000000000001,22.417500000000004,-1.056,461.09,10.4,78.5,1.22,2.81,2.94,25.0,-3.0,STAT,,,,,,2.0368000000000004
2025-03-24 14:25:03-07:00,9.24,482.273,7.551000000000001,24.003,-3.576,461.68,10.4,78.5,1.52,2.71,2.81,25.0,-3.0,STAT,,,,,,1.4528
2025-03-24 14:26:03-07:00,9.24,429.80300000000005,6.66,23.7825,-5.592,461.78,10.4,78.5,1.32,2.88,2.92,27.0,-3.0,STAT,,,,,,1.1855999999999998
2025-03-24 14:27:03-07:00,9.24,387.563,7.668,22.753500000000003,-3.972,461.92,10.4,78.6,1.52,3.11,3.43,25.0,-3.0,STAT,,,,,,1.6936
2025-03-24 14:28:03-07:00,9.24,339.60300000000007,7.515,23.5725,-3.1559999999999997,461.68,10.4,78.6,1.43,3.37,3.5,25.0,-4.0,STAT,,,,,,2.0648
2025-03-24 14:29:03-07:00,9.25,358.677,9.045000000000002,23.0895,-3.192,460.95,10.4,78.6,1.72,3.37,3.42,24.0,-3.0,STAT,,,,,,2.0576
2025-03-24 14:30:04-07:00,9.25,366.036,11.25,22.89,-3.396,460.98,10.4,78.7,1.72,3.22,3.23,22.0,-3.0,STAT,,,,,,1.8968000000000005
2025-03-24 14:31:04-07:00,9.25,360.723,9.441,22.8795,-2.796,460.99,10.4,78.7,1.94,3.55,3.93,23.0,-3.0,STAT,,,,,,2.2807999999999997
2025-03-24 14:32:01-07:00,9.25,376.156,8.658,22.8795,-3.3,461.0,10.4,78.6,1.87,3.72,3.9,25.0,-3.0,STAT,,,,,,2.3160000000000003
2025-03-24 14:33:01-07:00,9.25,411.862,8.172,23.1,-5.136,461.0,10.4,78.6,2.25,4.62,4.68,24.0,-4.0,STAT,,,,,,2.6688
2025-03-24 14:34:01-07:00,9.26,366.86100000000005,7.362,22.680000000000003,-3.048,461.0,10.4,78.7,1.96,5.35,5.42,26.0,-3.0,STAT,,,,,,3.6704000000000003
2025-03-24 14:35:01-07:00,9.26,328.724,6.9030000000000005,21.608999999999998,-2.4119999999999995,460.71,10.5,78.7,2.14,4.58,4.71,25.0,-3.0,STAT,,,,,,3.1816000000000004
2025-03-24 14:36:01-07:00,9.26,319.80300000000005,10.287,22.365000000000002,-2.316,460.86,10.4,78.6,1.77,3.66,3.71,22.0,-4.0,STAT,,,,,,2.4648000000000003
2025-03-24 14:37:01-07:00,9.26,330.308,8.793,22.344,-1.608,460.95,10.4,78.7,1.78,3.81,4.06,24.0,-4.0,STAT,,,,,,2.7264
2025-03-24 14:38:01-07:00,9.26,307.45000000000005,7.722,21.756,-1.152,460.98,10.5,78.7,1.84,3.64,3.72,25.0,-4.0,STAT,,,,,,2.6816000000000004
2025-03-24 14:39:01-07:00,9.27,307.01000000000005,8.163,21.399,-1.056,460.99,10.5,78.7,2.25,4.49,4.71,25.0,-3.0,STAT,,,,,,3.3808000000000007
2025-03-24 14:40:02-07:00,9.29,299.761,6.084,21.0315,-2.4839999999999995,461.0,10.4,78.8,2.08,4.56,4.63,27.0,-3.0,STAT,,,,,,3.1512
2025-03-24 14:41:02-07:00,9.32,312.499,6.759,20.863500000000002,-4.008,461.0,10.5,78.7,1.86,4.33,4.46,25.0,-4.0,STAT,,,,,,2.6624000000000003
2025-03-24 14:42:02-07:00,9.33,297.396,6.489,21.367500000000003,-2.4839999999999995,461.0,10.5,78.7,2.23,4.31,4.43,25.0,-3.0,STAT,,,,,,2.9512
2025-03-24 14:43:04-07:00,9.33,294.42600000000004,8.685,21.126,-4.428,461.61,10.5,78.7,2.15,3.86,4.15,24.0,-4.0,STAT,,,,,,2.2024
2025-03-24 14:44:04-07:00,9.33,285.31800000000004,6.84,21.1155,-4.68,461.86,10.5,78.7,2.25,3.9,3.99,25.0,-4.0,STAT,,,,,,2.184
2025-03-24 14:45:04-07:00,9.33,281.05,6.9479999999999995,21.010500000000004,-5.4479999999999995,461.89,10.5,78.7,2.14,4.66,4.69,26.0,-4.0,STAT,,,,,,2.6384000000000003
2025-03-24 14:46:04-07:00,9.34,271.37,8.559,22.512000000000004,-5.592,462.05,10.5,78.7,2.14,4.88,5.03,25.0,-4.0,STAT,,,,,,2.7855999999999996
2025-03-24 14:47:04-07:00,9.34,269.33500000000004,9.207,22.26,-4.284,462.02,10.5,78.6,2.27,5.16,5.37,24.0,-4.0,STAT,,,,,,3.2712000000000003
2025-03-24 14:48:04-07:00,9.34,262.69100000000003,9.504000000000001,22.869000000000003,-7.848,462.01,10.5,78.6,2.02,4.62,4.69,24.0,-4.0,STAT,,,,,,2.1264000000000003
2025-03-24 14:49:04-07:00,9.34,263.384,11.313,22.9845,-6.72,462.08,10.5,78.6,2.37,4.7,4.73,22.0,-3.0,STAT,,,,,,2.4160000000000004
2025-03-24 14:50:04-07:00,9.35,268.543,10.449,21.546,-7.4159999999999995,462.61,10.5,78.6,2.69,4.91,4.92,23.0,-5.0,STAT,,,,,,2.4448000000000003
2025-03-24 14:51:04-07:00,9.35,281.79800000000006,7.11,21.588,-5.664,462.86,10.5,78.7,2.41,4.72,4.9,25.0,-4.0,STAT,,,,,,2.6431999999999998
2025-03-24 14:52:04-07:00,9.35,321.112,6.534,21.7875,-5.412,462.95,10.5,78.7,2.61,4.56,4.62,27.0,-4.0,STAT,,,,,,2.5656
