DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,128,42,-1,-27,6,0,0.00000,0.00000.1,0.1,1891820385,131,24,-4,-30,3954134893,AQI
2025-03-09 07:38:40-07:00,10.3,173.976,5.535,11.235,22.092,405.0,10.9,68.4,1.31,2.86,3.26,0.0,0.0,1,14.02,129.45,33.33,1,-10,31.0,-3.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.7064
2025-03-09 07:39:40-07:00,10.32,172.68900000000002,6.57,11.004000000000001,21.996,405.0,10.9,68.2,1.1,2.76,3.12,0.0,0.0,1,13.91,36.56,31.05,1,-13,31.0,-3.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.607199999999999
2025-03-09 07:40:40-07:00,10.33,174.48200000000003,5.211,11.046,22.284,405.0,10.9,68.0,1.03,2.42,2.84,0.0,0.0,1,13.87,10.33,31.06,1,-12,32.0,-3.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.3928
2025-03-09 07:41:41-07:00,10.34,174.92200000000003,5.8500000000000005,10.279499999999999,22.548,405.0,10.9,68.1,1.01,2.26,2.39,0.0,0.0,1,13.84,2.92,35.88,1,-11,31.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.3176
2025-03-09 07:42:41-07:00,10.35,174.06400000000002,6.705,11.518500000000001,21.648,404.71,10.9,67.8,1.05,2.42,2.62,0.0,0.0,1,13.84,0.82,33.63,1,-14,31.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.2656
2025-03-09 07:43:41-07:00,10.35,173.63500000000002,5.8500000000000005,11.718,22.02,404.25,10.9,67.8,1.02,2.77,3.33,0.0,0.0,1,14.02,159.01,41.49,1,-11,31.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.62
2025-03-09 07:44:42-07:00,10.35,172.68900000000002,6.561,11.371500000000001,22.487999999999996,404.09,10.9,67.8,1.39,3.11,3.66,0.0,0.0,1,13.95,44.91,36.23,1,-12,31.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.9856
2025-03-09 07:45:42-07:00,10.36,171.17100000000002,6.336,10.0695,23.784,404.03,10.9,67.5,1.21,2.51,2.86,0.0,0.0,1,13.87,12.68,29.5,1,-10,31.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.7648
2025-03-09 07:46:42-07:00,10.36,169.36700000000002,6.075,9.4395,22.128,404.01,10.9,67.6,1.03,2.48,2.6,0.0,0.0,1,13.87,3.58,31.06,1,-12,32.0,-4.0,-4.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.4096
2025-03-09 07:47:42-07:00,10.38,169.928,5.760000000000001,9.009,24.348,404.0,10.9,67.3,0.93,2.38,2.74,0.0,0.0,1,13.84,1.01,32.54,1,-9,32.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.7736
2025-03-09 07:48:42-07:00,10.41,169.93900000000002,5.418,8.757,24.156,404.0,11.0,67.1,1.04,2.65,3.09,0.0,0.0,1,14.12,180.27,39.39,1,-9,32.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.9512
2025-03-09 07:49:42-07:00,10.43,167.84900000000002,5.913,8.8725,24.131999999999998,404.0,11.0,67.1,0.94,2.43,3.16,0.0,0.0,1,13.95,50.91,32.01,1,-11,32.0,-4.0,-3.0,STAT,0,LAT,LON,W,CRC,,,,,,,6.7703999999999995
