DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,111,16,-6,2145025847,99,22,-32,2092089509,AQI
2025-03-11 11:09:54-07:00,5.18,199.98000000000002,9.072000000000001,28.896,5.819999999999999,368.5,6.8,78.4,5.19,8.39,9.13,15.0,0.0,-2.0,,,,,,7.876
2025-03-11 11:10:54-07:00,5.17,202.32300000000004,10.520999999999999,30.513,4.932,368.18,6.8,78.4,5.55,9.68,9.93,16.0,0.0,-2.0,,,,,,8.7304
2025-03-11 11:11:54-07:00,5.17,201.33300000000003,12.159,33.2115,3.048,368.06,6.8,78.3,5.19,9.94,10.13,13.0,0.0,-2.0,,,,,,8.5616
2025-03-11 11:12:55-07:00,5.18,206.50300000000001,10.917000000000002,33.1695,5.676,368.02,6.8,78.3,6.02,9.99,10.29,15.0,0.0,-2.0,,,,,,9.1272
2025-03-11 11:13:56-07:00,5.18,208.58200000000002,11.772,33.411,5.952,368.01,6.7,78.4,6.43,11.32,11.81,14.0,0.0,-2.0,,,,,,10.246400000000001
2025-03-11 11:14:56-07:00,5.18,207.55900000000003,10.737,33.159,4.476,368.0,6.7,78.5,5.93,10.65,11.02,15.0,0.0,-2.0,,,,,,9.415200000000002
2025-03-11 11:15:56-07:00,5.18,204.89700000000002,12.132000000000001,34.503,3.0839999999999996,368.0,6.7,78.5,5.94,11.0,11.12,16.0,0.0,-3.0,,,,,,9.4168
2025-03-11 11:16:56-07:00,5.18,202.45500000000004,7.992000000000001,34.261500000000005,4.02,368.0,6.7,78.7,6.06,10.82,10.86,17.0,0.0,-2.0,,,,,,9.46
2025-03-11 11:17:56-07:00,5.18,204.787,9.603,33.789,5.052,368.42,6.7,78.7,6.57,11.06,11.07,16.0,0.0,-1.0,,,,,,9.858400000000001
2025-03-11 11:18:56-07:00,5.18,202.587,12.546,33.484500000000004,6.167999999999999,368.15,6.7,78.7,6.55,11.73,12.12,13.0,0.0,-2.0,,,,,,10.6176
2025-03-11 11:19:56-07:00,5.18,202.928,10.944,33.0225,6.5760000000000005,368.05,6.7,78.7,6.12,11.33,11.67,14.0,-1.0,-2.0,,,,,,10.3792
2025-03-11 11:20:56-07:00,5.18,201.751,10.494,31.762500000000003,5.292,368.02,6.7,78.7,5.94,10.98,11.09,14.0,-1.0,-2.0,,,,,,9.842400000000001
2025-03-11 11:21:56-07:00,5.18,206.294,7.956,35.4795,1.8719999999999999,368.01,6.7,78.8,6.1,9.81,10.04,16.0,0.0,-2.0,,,,,,8.2224
2025-03-11 11:22:56-07:00,5.18,208.747,11.718,34.8495,2.4,368.0,6.7,78.8,6.88,11.58,12.15,15.0,0.0,-3.0,,,,,,9.744000000000002
2025-03-11 11:23:57-07:00,5.18,220.275,11.313,34.881,3.2039999999999997,368.0,6.7,78.8,6.72,11.43,11.99,15.0,0.0,-3.0,,,,,,9.7848
2025-03-11 11:24:57-07:00,5.18,224.56500000000003,10.152,34.062,3.6719999999999997,368.0,6.7,78.9,6.5,11.03,11.46,15.0,0.0,-2.0,,,,,,9.558399999999999
2025-03-11 11:25:58-07:00,5.18,223.93800000000005,12.132000000000001,32.7915,4.548,368.0,6.7,78.8,6.17,10.94,11.13,15.0,0.0,-2.0,,,,,,9.6616
2025-03-11 11:26:58-07:00,5.18,232.46300000000002,9.576,34.4295,3.768,368.0,6.7,78.9,6.69,11.93,12.59,16.0,0.0,-2.0,,,,,,10.297600000000001
2025-03-11 11:27:58-07:00,5.18,225.17000000000002,9.395999999999999,34.964999999999996,4.308,368.0,6.7,78.9,6.78,11.25,11.64,16.0,0.0,-1.0,,,,,,9.8616
2025-03-11 11:28:59-07:00,5.18,220.473,9.243,34.366499999999995,5.712,368.0,6.7,78.9,6.28,10.75,11.1,16.0,0.0,-2.0,,,,,,9.7424
2025-03-11 11:29:59-07:00,5.18,220.82500000000002,11.124,33.789,5.4239999999999995,368.0,6.7,79.0,6.43,11.08,11.57,14.0,0.0,-2.0,,,,,,9.9488
2025-03-11 11:30:59-07:00,5.18,231.91300000000004,10.665,34.786500000000004,3.432,368.0,6.7,79.1,6.42,11.18,11.67,15.0,0.0,-2.0,,,,,,9.630400000000002
2025-03-11 11:31:59-07:00,5.18,223.97100000000003,9.621,33.117,5.268,368.0,6.7,79.1,6.14,10.9,11.16,15.0,0.0,-2.0,,,,,,9.7736
2025-03-11 11:32:59-07:00,5.18,219.01000000000002,11.835,32.928,4.488,368.0,6.7,79.1,6.44,11.96,12.38,15.0,0.0,-3.0,,,,,,10.465600000000002
2025-03-11 11:33:59-07:00,5.18,216.32600000000002,12.672,31.6575,5.736,368.16,6.7,79.0,6.54,11.51,11.7,14.0,0.0,-3.0,,,,,,10.3552
2025-03-11 11:34:59-07:00,5.19,211.893,12.222,32.6865,3.2039999999999997,368.12,6.7,78.9,6.63,11.28,11.6,14.0,-1.0,-3.0,,,,,,9.6648
2025-03-11 11:35:59-07:00,5.2,208.186,10.764000000000001,32.6865,4.38,368.28,6.7,78.9,6.21,10.77,11.11,15.0,0.0,-3.0,,,,,,9.491999999999999
2025-03-11 11:36:59-07:00,5.2,203.87400000000002,11.016,31.773000000000003,5.52,368.24,6.7,78.8,6.48,11.75,12.62,14.0,0.0,-3.0,,,,,,10.504
2025-03-11 11:37:59-07:00,5.21,202.93900000000002,11.538,31.741500000000002,8.819999999999999,368.08,6.7,78.8,6.46,12.16,13.27,13.0,0.0,-2.0,,,,,,11.492
2025-03-11 11:38:59-07:00,5.21,202.21300000000002,10.8,30.072000000000003,7.26,368.03,6.7,78.8,6.63,11.87,12.74,14.0,-1.0,-2.0,,,,,,10.948
2025-03-11 11:40:01-07:00,5.22,198.12100000000004,11.232000000000001,30.712500000000002,7.295999999999999,368.01,6.7,78.8,6.38,11.68,12.49,14.0,0.0,-2.0,,,,,,10.8032
2025-03-11 11:41:01-07:00,5.23,196.58100000000002,10.701,30.555000000000003,8.315999999999999,368.0,6.7,78.8,6.41,12.8,13.55,15.0,-1.0,-2.0,,,,,,11.903200000000002
2025-03-11 11:42:01-07:00,5.24,198.90200000000002,9.738000000000001,30.219,7.176,368.0,6.7,78.7,6.45,12.35,13.03,17.0,-1.0,-3.0,,,,,,11.3152
