DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,127,80,2,-7,6,0,0.00000,0.00000.1,0.1,3394425633,216,83,-10,0.2,1121389567,AQI
2025-02-20 23:24:51-08:00,23.11,179.12400000000002,9.477,9.964500000000001,3.144,479.75,22.2,30.4,0.01,0.32,0.32,0.0,0.0,1,13.91,0.05,31.0,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8848
2025-02-20 23:25:51-08:00,23.12,180.268,9.315,10.709999999999999,1.6320000000000001,481.81,22.2,30.4,0.0,0.22,0.43,0.0,0.0,1,13.87,0.02,26.23,1,-3,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5024000000000001
2025-02-20 23:26:51-08:00,23.14,179.74,10.062,9.471,4.8,484.29,22.2,30.4,0.0,0.07,0.14,0.0,0.0,1,13.87,0.0,29.74,1,-3,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.016
2025-02-20 23:27:51-08:00,23.16,179.751,9.675,9.219,4.776,484.86,22.2,30.4,0.0,0.35,0.37,0.0,0.0,1,13.84,0.0,29.46,1,-3,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2352
2025-02-20 23:28:47-08:00,23.16,182.31400000000002,9.522,10.122000000000002,2.268,484.04,22.2,30.4,0.18,0.38,0.53,0.0,0.0,1,14.12,206.61,32.83,1,-4,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7576
2025-02-20 23:29:47-08:00,23.16,182.08300000000003,10.098,10.006499999999999,2.664,482.78,22.2,30.4,0.24,0.79,0.84,0.0,0.0,1,14.02,58.35,30.3,1,-3,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1648
2025-02-20 23:30:48-08:00,23.17,179.212,10.413,9.429,4.056,482.05,22.2,30.4,0.08,0.56,0.58,0.0,0.0,1,13.98,16.48,28.17,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2592
2025-02-20 23:31:48-08:00,23.17,181.39000000000001,9.612,8.9355,5.508,481.19,22.2,30.4,0.02,0.39,0.4,0.0,0.0,1,13.95,4.65,28.14,1,-3,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4136000000000002
2025-02-20 23:32:48-08:00,23.18,178.75000000000003,9.270000000000001,9.397499999999999,4.668,480.67,22.2,30.4,0.01,0.61,0.61,0.0,0.0,1,13.95,1.31,29.98,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4216000000000002
2025-02-20 23:33:50-08:00,23.18,177.61700000000002,10.161,9.691500000000001,3.84,480.6,22.2,30.4,0.0,0.74,0.8,0.0,0.0,1,13.91,0.37,33.0,1,-1,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3599999999999999
2025-02-20 23:34:50-08:00,23.18,180.66400000000002,10.413,10.8465,2.856,480.21,22.2,30.4,0.0,0.45,0.47,0.0,0.0,1,13.91,0.1,30.19,1,-3,58.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9312
2025-02-20 23:35:50-08:00,23.18,182.99600000000004,10.296,11.193000000000001,0.8999999999999999,480.27,22.2,30.4,0.13,0.75,0.75,0.0,0.0,1,13.87,0.03,30.59,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.78
2025-02-20 23:36:50-08:00,23.18,180.136,9.684,9.575999999999999,3.6719999999999997,480.09,22.2,30.4,0.13,0.76,0.86,0.0,0.0,1,13.87,0.01,27.65,1,-2,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3424
2025-02-20 23:37:51-08:00,23.18,180.741,10.629000000000001,10.941,2.328,480.12,22.2,30.4,0.04,0.58,0.68,0.0,0.0,1,13.87,0.0,27.44,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9296
2025-02-20 23:38:51-08:00,23.18,180.686,9.485999999999999,10.300500000000001,2.244,480.38,22.2,30.4,0.01,0.53,0.75,0.0,0.0,1,14.16,284.28,37.63,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8728000000000001
2025-02-20 23:39:51-08:00,23.18,181.76400000000004,11.232000000000001,10.059000000000001,4.092,480.49,22.2,30.3,0.11,0.56,0.63,0.0,0.0,1,14.05,80.29,29.36,1,-3,58.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2664
2025-02-20 23:40:51-08:00,23.19,185.68000000000004,10.422,10.279499999999999,3.144,480.17,22.2,30.3,0.04,0.72,0.74,0.0,0.0,1,13.98,22.68,29.93,1,-5,58.0,2.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2048
2025-02-20 23:41:51-08:00,23.19,181.52200000000002,10.467,9.870000000000001,3.588,480.06,22.2,30.3,0.08,0.91,0.91,0.0,0.0,1,13.95,6.4,32.16,1,-3,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4456000000000002
2025-02-20 23:42:51-08:00,23.19,178.959,10.305,10.636500000000002,2.796,480.02,22.2,30.4,0.05,0.68,0.68,0.0,0.0,1,13.95,1.81,28.35,1,-2,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1032000000000002
2025-02-20 23:43:51-08:00,23.19,179.39900000000003,10.332,10.4475,4.284,480.28,22.2,30.4,0.02,0.66,0.66,0.0,0.0,1,13.91,0.51,36.1,1,-2,58.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3848
