DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,326,40,-11,-25,6,0,0.00000,0.00000.1,0.1,3696719684,154,33,-4,350388288,AQI
2025-03-07 04:58:42-08:00,3.4,496.79300000000006,24.831,26.0085,10.319999999999999,387.91,5.5,73.0,4.64,6.89,7.0,0.0,0.0,1,13.95,166.47,47.31,1,-6,12.0,0.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,7.5760000000000005
2025-03-07 04:59:42-08:00,3.4,479.38000000000005,21.141,26.669999999999998,9.216,387.32,5.5,72.9,4.11,6.93,7.41,0.0,0.0,1,13.84,68.31,38.41,1,-11,15.0,0.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,7.3872
2025-03-07 05:00:42-08:00,3.4,449.449,19.944,24.9585,8.568,387.11,5.5,72.9,2.82,5.11,5.56,0.0,0.0,1,13.77,19.29,37.82,1,-9,14.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,5.8016000000000005
2025-03-07 05:01:42-08:00,3.39,436.43600000000004,18.540000000000003,25.305000000000003,9.6,386.5,5.5,72.9,2.72,5.24,5.77,0.0,0.0,1,13.73,5.45,35.58,1,-9,13.0,-1.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,6.112
2025-03-07 05:02:42-08:00,3.38,430.27600000000007,18.503999999999998,25.357499999999998,4.871999999999999,385.23,5.5,72.7,2.89,5.27,5.45,0.0,0.0,1,13.7,1.54,35.19,1,-11,13.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,5.1904
2025-03-07 05:03:44-08:00,3.38,422.76300000000003,19.782,23.898000000000003,4.176,383.63,5.5,72.6,3.14,5.69,5.84,0.0,0.0,1,13.91,72.69,42.03,1,-5,11.0,0.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,5.387200000000001
2025-03-07 05:04:44-08:00,3.37,424.963,19.17,23.31,5.004,382.57,5.5,72.5,2.93,5.06,5.57,0.0,0.0,1,13.84,72.81,37.06,1,-10,11.0,0.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,5.0488
2025-03-07 05:05:44-08:00,3.32,433.356,18.513,24.1185,7.788,382.5,5.5,72.5,3.76,6.43,6.59,0.0,0.0,1,13.77,20.57,34.96,1,-8,13.0,0.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,6.7016
2025-03-07 05:06:44-08:00,3.3,446.2370000000001,18.756,26.1765,7.02,384.71,5.4,72.7,3.36,5.97,6.1,0.0,0.0,1,13.73,5.81,34.06,1,-9,13.0,0.0,0.0,STAT,0,LAT,LON,W,CRC,,,,,,6.18
2025-03-07 05:07:44-08:00,3.29,451.90200000000004,21.456,26.229000000000003,7.896,387.41,5.4,72.8,2.48,5.46,5.59,0.0,0.0,1,13.7,1.64,35.91,1,-9,10.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,5.9472000000000005
2025-03-07 05:08:44-08:00,3.28,455.059,19.611,28.6125,5.867999999999999,388.51,5.3,73.0,2.54,5.32,5.48,0.0,0.0,1,13.7,0.46,34.98,1,-10,12.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,5.429600000000001
2025-03-07 05:09:40-08:00,3.28,456.18100000000004,17.973,26.995500000000003,9.491999999999999,388.52,5.3,73.2,2.58,4.66,4.71,0.0,0.0,1,13.84,103.51,40.75,1,-8,13.0,0.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,5.6264
2025-03-07 05:10:40-08:00,3.27,450.29600000000005,18.765,25.536,9.144,387.11,5.3,73.3,2.25,4.11,5.15,0.0,0.0,1,13.8,29.23,37.02,1,-11,12.0,-1.0,-1.0,STAT,0,LAT,LON,W,CRC,,,,,,5.1168000000000005
