DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,167,50,3,1973479744,93,43,1,-2,480185926,AQI
2025-03-15 10:08:30-07:00,22.39,319.627,11.052,11.277000000000001,16.032,404.9,21.3,26.8,4.36,6.04,6.07,29.0,1.0,3.0,,,,,,,8.038400000000001
2025-03-15 10:09:30-07:00,22.39,321.79400000000004,12.933,12.075000000000001,13.824,404.96,21.3,26.9,5.17,7.16,7.31,28.0,2.0,3.0,,,,,,,8.4928
2025-03-15 10:10:30-07:00,22.39,326.425,12.528,10.542,17.22,404.99,21.3,26.8,4.75,6.48,7.01,28.0,2.0,4.0,,,,,,,8.628
2025-03-15 10:11:30-07:00,22.39,315.183,10.629000000000001,10.6995,16.139999999999997,405.0,21.4,26.9,4.58,6.45,6.7,29.0,2.0,3.0,,,,,,,8.388
2025-03-15 10:12:31-07:00,22.39,309.44100000000003,10.116,10.153500000000001,16.32,404.5,21.3,26.9,4.43,6.56,6.95,31.0,2.0,3.0,,,,,,,8.512
2025-03-15 10:13:31-07:00,22.39,316.536,10.692,10.6995,14.892,404.17,21.3,26.8,4.8,6.49,6.61,29.0,2.0,3.0,,,,,,,8.1704
2025-03-15 10:14:31-07:00,22.39,313.445,11.501999999999999,10.6995,15.372,404.06,21.4,26.9,5.1,6.87,6.91,28.0,2.0,3.0,,,,,,,8.570400000000001
2025-03-15 10:15:31-07:00,22.39,307.472,10.773000000000001,10.615499999999999,16.74,404.17,21.4,26.8,4.77,6.71,6.94,29.0,2.0,4.0,,,,,,,8.716000000000001
2025-03-15 10:16:30-07:00,22.39,297.308,10.557,9.491999999999999,18.996,404.06,21.3,26.9,4.72,6.94,7.43,31.0,3.0,4.0,,,,,,,9.3512
2025-03-15 10:17:30-07:00,22.39,318.802,10.341000000000001,10.027500000000002,17.543999999999997,404.25,21.3,26.9,4.16,6.4,6.99,30.0,2.0,3.0,,,,,,,8.6288
2025-03-15 10:18:30-07:00,22.39,316.349,12.168,10.4055,16.152,404.12,21.3,26.9,3.89,5.92,6.48,29.0,2.0,3.0,,,,,,,7.9664
2025-03-15 10:19:30-07:00,22.39,312.45500000000004,12.042000000000002,10.2585,15.552,404.04,21.3,26.9,4.0,5.63,5.84,28.0,1.0,3.0,,,,,,,7.614400000000001
2025-03-15 10:20:30-07:00,22.39,306.361,10.170000000000002,10.720500000000001,16.235999999999997,404.01,21.3,26.8,4.26,6.33,6.58,30.0,1.0,3.0,,,,,,,8.3112
2025-03-15 10:21:32-07:00,22.39,314.16,10.701,9.870000000000001,16.872,404.01,21.3,26.9,4.93,6.94,7.07,30.0,2.0,3.0,,,,,,,8.926400000000001
2025-03-15 10:22:32-07:00,22.38,317.87800000000004,9.423,10.9725,14.676,404.0,21.3,26.9,4.74,6.91,7.08,31.0,2.0,3.0,,,,,,,8.4632
2025-03-15 10:23:32-07:00,22.39,321.17800000000005,10.386,11.3925,15.347999999999999,404.0,21.3,26.9,5.45,7.74,7.85,30.0,2.0,4.0,,,,,,,9.2616
2025-03-15 10:24:32-07:00,22.38,322.44300000000004,11.628,10.479000000000001,16.092,403.92,21.3,26.8,5.78,8.2,8.23,28.0,2.0,3.0,,,,,,,9.7784
