DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,147,57,3,-3,6,0,0.00000,0.00000.1,0.1,617652373,124,54,-2,3264182766,AQI
2025-03-04 14:24:35-08:00,22.27,251.80100000000002,10.737,8.0955,11.868,416.0,21.5,32.8,0.81,1.25,1.31,0.0,0.0,1,13.87,14.96,38.09,1,-21,32.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,3.3736
2025-03-04 14:25:35-08:00,22.27,252.637,10.089,8.883000000000001,11.339999999999998,416.0,21.5,32.8,0.45,0.72,0.86,0.0,0.0,1,13.84,4.23,31.49,1,-22,32.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,,2.844
2025-03-04 14:26:36-08:00,22.27,251.94400000000002,10.557,8.568000000000001,11.508,416.0,21.5,32.9,0.82,1.59,1.7,0.0,0.0,1,13.84,1.19,30.45,1,-21,32.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,,3.5736000000000003
2025-03-04 14:27:36-08:00,22.27,251.50400000000002,11.466000000000001,9.387,11.064,416.06,21.5,32.8,0.62,1.36,1.4,0.0,0.0,1,13.8,0.34,32.46,1,-21,31.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,,3.3008
2025-03-04 14:28:33-08:00,22.27,253.979,10.485000000000001,8.536500000000002,12.288,416.6,21.5,32.8,0.66,1.1,1.15,0.0,0.0,1,13.77,0.11,34.18,1,-21,32.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,,3.3376
2025-03-04 14:29:33-08:00,22.27,256.663,11.565,8.673,12.168000000000001,416.86,21.5,32.8,0.36,1.01,1.05,0.0,0.0,1,13.77,0.03,31.73,1,-22,31.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,,3.2416
2025-03-04 14:30:33-08:00,22.26,252.73600000000002,10.989,9.166500000000001,10.427999999999999,416.6,21.5,32.8,0.34,0.82,1.26,0.0,0.0,1,13.73,0.01,32.68,1,-21,32.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,,2.7416
2025-03-04 14:31:33-08:00,22.25,261.305,9.981,8.2845,11.796,416.21,21.5,32.8,0.38,0.91,1.14,0.0,0.0,1,14.02,164.98,29.93,1,-23,33.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,,3.0872
2025-03-04 14:32:33-08:00,22.25,254.11100000000002,10.944,8.3895,11.988,416.07,21.5,32.8,0.54,1.32,1.49,0.0,0.0,1,13.91,46.6,31.04,1,-22,32.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,,3.4536000000000002
2025-03-04 14:33:33-08:00,22.24,261.82200000000006,9.522,8.799000000000001,11.424,416.03,21.5,32.8,0.43,0.92,0.98,0.0,0.0,1,13.87,13.16,38.11,1,-24,33.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,3.0208000000000004
