DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,141,56,4,-4,6,0,0.00000,0.00000.1,0.1,2603687616,144,61,-1,6.1,2329512675,AQI
2025-03-06 11:14:16-08:00,21.88,277.66200000000003,10.827,7.6545000000000005,12.743999999999998,428.04,21.1,30.4,0.0,0.0,0.17,0.0,0.0,1,13.84,2.41,32.61,1,-34,29.0,2.0,3.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.5488
2025-03-06 11:15:16-08:00,21.88,279.40000000000003,10.818,7.549500000000001,12.552000000000001,428.01,21.1,30.4,0.0,0.0,0.06,0.0,0.0,1,13.8,0.68,32.65,1,-35,30.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.5104000000000006
2025-03-06 11:16:17-08:00,21.88,275.594,9.251999999999999,7.5285,11.784,428.0,21.1,30.3,0.0,0.0,0.05,0.0,0.0,1,13.8,0.19,37.06,1,-34,31.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.3568000000000002
2025-03-06 11:17:17-08:00,21.88,277.01300000000003,10.323,7.8015,10.872,428.0,21.1,30.3,0.0,0.0,0.09,0.0,0.0,1,13.77,0.05,33.68,1,-34,30.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.1744
2025-03-06 11:18:17-08:00,21.87,278.49800000000005,10.737,7.854000000000001,12.384,428.0,21.1,30.3,0.0,0.16,0.19,0.0,0.0,1,13.77,0.02,33.06,1,-34,30.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.6048000000000004
2025-03-06 11:19:18-08:00,21.87,279.059,11.493,7.455,13.488,428.0,21.1,30.3,0.0,0.08,0.09,0.0,0.0,1,14.05,310.86,29.43,1,-34,30.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.7616
2025-03-06 11:20:18-08:00,21.87,271.733,10.98,7.2345,14.016,428.0,21.1,30.3,0.0,0.03,0.03,0.0,0.0,1,13.95,118.09,29.79,1,-33,31.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.8272000000000004
2025-03-06 11:21:18-08:00,21.87,283.04100000000005,10.242,7.476000000000001,12.192,428.0,21.0,30.3,0.0,0.04,0.04,0.0,0.0,1,13.87,33.35,36.15,1,-35,32.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.4704
2025-03-06 11:22:18-08:00,21.87,271.43600000000004,10.647,7.7175,12.252,428.42,21.1,30.3,0.0,0.22,0.22,0.0,0.0,1,13.84,9.42,34.29,1,-32,30.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.6264000000000003
2025-03-06 11:23:18-08:00,21.86,275.0,9.99,7.791,12.54,428.53,21.1,30.3,0.0,0.07,0.28,0.0,0.0,1,13.84,2.66,29.82,1,-33,30.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,2.564
