DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,156,49,-3,2906857780,162,47,1,-1,1652925454,AQI
2025-03-13 16:25:07-07:00,21.78,438.96600000000007,13.32,13.146,14.004,396.0,20.8,31.4,6.31,9.98,10.21,27.0,2.0,STAT,,,,,,,10.7848
2025-03-13 16:26:07-07:00,21.78,439.13100000000003,11.727,14.91,11.268,396.23,20.8,31.3,6.13,9.32,9.56,28.0,1.0,STAT,,,,,,,9.7096
2025-03-13 16:27:07-07:00,21.79,434.456,12.626999999999999,13.8495,13.319999999999999,396.73,20.8,31.4,6.16,8.77,8.86,27.0,1.0,STAT,,,,,,,9.68
2025-03-13 16:28:07-07:00,21.78,444.19100000000003,13.581,13.996500000000001,12.888,396.9,20.8,31.4,6.35,9.28,9.96,27.0,1.0,STAT,,,,,,,10.0016
2025-03-13 16:29:09-07:00,21.78,424.32500000000005,12.564000000000002,13.293000000000001,14.136,397.07,20.8,31.3,6.46,9.17,9.75,27.0,1.0,STAT,,,,,,,10.1632
2025-03-13 16:30:09-07:00,21.79,452.22100000000006,13.068,13.440000000000001,13.703999999999999,397.03,20.8,31.3,6.15,8.8,9.01,27.0,1.0,STAT,,,,,,,9.780800000000001
2025-03-13 16:31:09-07:00,21.78,442.761,13.482000000000001,13.786500000000002,14.868,397.01,20.8,31.3,6.25,9.1,9.33,26.0,1.0,STAT,,,,,,,10.2536
2025-03-13 16:32:09-07:00,21.79,435.84200000000004,12.114,14.059500000000002,11.508,397.0,20.9,31.3,6.65,10.08,10.47,27.0,0.0,STAT,,,,,,,10.3656
2025-03-13 16:33:09-07:00,21.79,428.10900000000004,12.168,14.133000000000001,12.684,397.0,20.8,31.3,6.69,9.88,10.47,28.0,1.0,STAT,,,,,,,10.440800000000001
2025-03-13 16:34:09-07:00,21.79,434.731,11.754000000000001,12.852,14.016,397.0,20.9,31.3,6.27,9.3,9.79,28.0,1.0,STAT,,,,,,,10.243200000000002
