DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,121,46,0,-29,6,0.1,0.00000,0.00000.1,0.2,1258820380,128,24,-5,-30,338285450,AQI
2025-03-09 18:34:47-07:00,9.36,179.01400000000004,5.958,14.175,23.208,414.06,9.9,74.7,0.55,2.01,2.39,0.0,0.0,1,13.87,2.37,29.63,1.0,-7.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.249599999999999
2025-03-09 18:35:47-07:00,9.35,178.695,6.534,13.755,25.116,414.31,9.9,75.0,0.63,1.92,2.31,0.0,0.0,1,14.05,85.11,31.82,1.0,-6.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.559200000000001
2025-03-09 18:36:47-07:00,9.36,179.42100000000002,6.813000000000001,13.209000000000001,24.407999999999998,414.76,9.9,74.6,0.76,1.96,2.18,0.0,0.0,1,13.95,24.04,30.34,1.0,-7.0,26.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.4496
2025-03-09 18:37:47-07:00,9.36,180.554,6.039,14.826,23.232,414.92,9.9,75.0,0.64,1.83,2.02,0.0,0.0,1,13.91,6.79,32.28,1.0,-6.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.1104
2025-03-09 18:38:47-07:00,9.36,184.536,4.1850000000000005,13.503,25.032,414.97,9.9,75.2,0.96,2.35,2.47,0.0,0.0,1,13.87,1.92,33.11,1.0,-4.0,28.0,0.0,-1,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.8864
2025-03-09 18:39:47-07:00,9.35,183.78800000000004,4.023,13.7445,23.544,414.99,10.0,74.8,0.99,2.17,2.21,0.0,0.0,1,14.02,91.15,32.1,1.0,-5.0,29.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.4448
2025-03-09 18:40:47-07:00,9.35,180.895,3.9509999999999996,12.568500000000002,24.636,415.0,10.0,74.8,1.0,2.22,2.41,0.0,0.0,1,13.95,25.74,30.53,1.0,-7.0,29.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.703200000000001
2025-03-09 18:41:47-07:00,9.35,179.50900000000001,3.8070000000000004,13.608000000000002,23.016,415.0,10.0,75.0,0.64,2.16,2.5,0.0,0.0,1,13.91,7.27,32.4,1.0,-6.0,29.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.331200000000001
2025-03-09 18:42:48-07:00,9.35,180.092,5.283,13.576500000000001,24.768,415.0,10.0,74.7,0.69,2.02,2.36,0.0,0.0,1,13.84,2.05,43.14,1.0,-7.0,29.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.569600000000001
2025-03-09 18:43:48-07:00,9.35,180.917,5.094,13.839,24.791999999999998,415.0,10.0,74.5,0.73,2.47,2.67,0.0,0.0,1,14.02,92.05,36.7,1.0,-5.0,28.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.9344
2025-03-09 18:44:48-07:00,9.35,183.37,5.697,14.332500000000001,23.58,414.5,10.0,75.1,0.62,2.68,2.9,0.0,0.0,1,13.95,26.0,30.66,1.0,-6.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.86
2025-03-09 18:45:48-07:00,9.35,188.859,5.013000000000001,14.490000000000002,22.163999999999998,414.37,10.0,75.2,0.6,1.96,2.09,0.0,0.0,1,13.91,7.34,33.22,1.0,-6.0,30.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.0008
2025-03-09 18:46:48-07:00,9.36,191.90600000000003,4.293,14.007,22.236,414.13,10.0,74.8,0.87,2.21,2.52,0.0,0.0,1,13.87,2.07,31.1,1.0,-8.0,29.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.2152
2025-03-09 18:47:43-07:00,9.35,190.32200000000003,4.977,14.28,23.052,414.21,10.0,75.2,0.95,2.15,2.33,0.0,0.0,1,14.05,126.64,33.83,1.0,-7.0,28.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.3304
2025-03-09 18:48:43-07:00,9.35,189.068,6.39,15.1725,23.063999999999997,414.07,10.0,75.1,0.54,1.9,1.95,0.0,0.0,1,13.98,35.77,32.02,1.0,-6.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.1328
2025-03-09 18:49:43-07:00,9.36,184.56900000000002,5.373,13.776,24.312,414.03,10.0,74.9,0.85,2.13,2.32,0.0,0.0,1,13.91,10.1,30.84,1.0,-8.0,28.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.566400000000001
2025-03-09 18:50:44-07:00,9.36,184.89900000000003,4.464,14.343,22.62,414.01,10.0,75.3,0.87,2.31,2.63,0.0,0.0,1,13.87,2.85,32.3,1.0,-6.0,28.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.372
2025-03-09 18:51:44-07:00,9.36,195.151,6.39,13.8915,23.112000000000002,414.0,10.0,75.5,0.96,2.38,3.08,0.0,0.0,1,14.09,128.1,31.04,1.0,-5.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.526400000000001
2025-03-09 18:52:45-07:00,9.36,201.43200000000002,5.121,13.608000000000002,23.976,414.46,10.0,74.7,0.83,2.08,3.03,0.0,0.0,1,13.98,36.18,41.43,1.0,-9.0,28.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.459200000000001
2025-03-09 18:53:45-07:00,9.36,197.59300000000002,4.977,13.818000000000001,23.424,414.31,10.0,74.7,0.91,2.01,2.41,0.0,0.0,1,13.91,10.22,34.75,1.0,-9.0,26.0,0.0,-3,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.2928
2025-03-09 18:54:45-07:00,9.36,187.75900000000001,5.7509999999999994,13.870500000000002,24.06,414.11,10.0,74.5,0.92,2.3,2.93,0.0,0.0,1,13.87,2.89,32.38,1.0,-7.0,27.0,0.0,-2,STAT,0.0,LAT,LON,W,CRC,,,,,,,6.652
2025-03-09 18:55:45-07:00,9.35,182.754,6.642,13.429499999999999,25.416,414.04,10.0,74.8,0.97,2.56,3.12,0.0,0.0,1,14.09,142.0,33.59,1.0,-7.0,27.0,0.0,-1,STAT,0.0,LAT,LON,W,CRC,,,,,,,7.131200000000001
2025-03-09 18:56:45-07:00,9.36,182.633,5.373,13.345500000000001,26.052,414.01,10.0,74.8,0.91,2.48,2.91,0.0,0.0,1,13.98,40.1,29.38,1.0,-8.0,28.0,-1.0,-1,STAT,0.0,LAT,LON,W,CRC,,,,,,,7.1944
