DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,123,29,1675992722,32,-32,3231686381,AQI
2025-03-19 14:35:34-07:00,7.12,226.31400000000002,9.648000000000001,34.566,7.919999999999999,431.17,8.3,61.9,1.08,2.2,2.42,18.0,0.0,,,,,3.3440000000000003
2025-03-19 14:36:34-07:00,7.11,222.55200000000002,10.458,34.125,6.8999999999999995,431.71,8.3,62.0,1.28,2.25,2.32,18.0,0.0,,,,,3.1799999999999997
2025-03-19 14:37:34-07:00,7.11,218.636,9.405,34.713,5.412,432.13,8.3,62.4,1.39,2.15,2.19,18.0,0.0,,,,,2.8024
2025-03-19 14:38:34-07:00,7.12,217.75600000000003,8.163,35.3325,4.536,432.69,8.3,62.5,1.13,2.07,2.38,18.0,0.0,,,,,2.5632
2025-03-19 14:39:35-07:00,7.11,229.251,9.063,35.920500000000004,4.284,432.89,8.3,62.4,1.28,2.23,2.47,17.0,0.0,,,,,2.6408
2025-03-19 14:40:35-07:00,7.11,236.80800000000002,10.683,34.597500000000004,6.096,432.96,8.3,62.4,1.27,2.61,2.82,17.0,0.0,,,,,3.3072
2025-03-19 14:41:35-07:00,7.12,235.32300000000004,10.773000000000001,35.0595,5.748,433.15,8.3,62.4,1.13,2.24,2.31,17.0,0.0,,,,,2.9416
2025-03-19 14:42:35-07:00,7.11,228.811,11.808,32.865,7.068,433.7,8.3,62.6,1.08,2.09,2.11,17.0,0.0,,,,,3.0856
2025-03-19 14:43:35-07:00,7.11,230.23000000000002,12.123000000000001,33.3795,8.328,433.89,8.3,62.5,1.22,2.15,2.16,16.0,0.0,,,,,3.3856
2025-03-19 14:44:36-07:00,7.11,233.98100000000002,10.404,36.73950000000001,4.272,433.96,8.3,62.5,1.08,2.01,2.08,17.0,0.0,,,,,2.4623999999999997
2025-03-19 14:45:36-07:00,7.11,238.51300000000003,9.963000000000001,36.088499999999996,5.303999999999999,434.28,8.3,62.7,1.11,2.31,2.34,18.0,0.0,,,,,2.9088000000000003
2025-03-19 14:46:36-07:00,7.11,238.678,12.879000000000001,35.2275,6.252,434.74,8.3,62.5,1.44,3.14,4.35,17.0,0.0,,,,,3.7624000000000004
2025-03-19 14:47:36-07:00,7.11,238.45800000000003,12.15,36.0255,5.7,434.91,8.4,62.3,1.26,2.79,3.37,18.0,0.0,,,,,3.3720000000000003
2025-03-19 14:48:36-07:00,7.1,238.53500000000003,13.437,36.9705,6.5280000000000005,434.97,8.3,62.3,1.23,2.44,2.8,18.0,0.0,,,,,3.2576
2025-03-19 14:49:36-07:00,7.1,235.88400000000001,13.617,35.794500000000006,4.8,434.99,8.3,62.5,1.2,2.46,2.92,16.0,0.0,,,,,2.928
2025-03-19 14:50:36-07:00,7.11,234.102,13.113000000000001,36.9495,3.816,435.08,8.4,62.5,1.14,2.16,2.32,18.0,0.0,,,,,2.4912
2025-03-19 14:51:36-07:00,7.11,236.852,13.059,35.658,6.4559999999999995,435.68,8.3,62.6,1.36,2.27,2.47,17.0,-1.0,,,,,3.1071999999999997
2025-03-19 14:52:36-07:00,7.11,249.97500000000002,12.825000000000001,36.7185,6.48,435.89,8.4,62.5,1.17,2.46,2.67,18.0,0.0,,,,,3.2640000000000002
2025-03-19 14:53:37-07:00,7.1,269.874,14.994,36.498,4.044,435.96,8.4,62.5,1.17,2.22,2.3,17.0,0.0,,,,,2.5848000000000004
2025-03-19 14:54:38-07:00,7.11,353.1,14.706,37.8525,3.852,435.99,8.4,62.5,2.94,4.46,4.57,19.0,0.0,,,,,4.3384
2025-03-19 14:55:38-07:00,7.11,628.32,14.274,37.3905,5.268,436.45,8.4,62.5,5.06,6.81,6.93,19.0,0.0,,,,,6.501600000000001
2025-03-19 14:56:38-07:00,7.11,594.198,14.670000000000002,37.5585,4.332,436.81,8.4,62.6,3.06,4.37,4.67,17.0,0.0,,,,,4.362400000000001
2025-03-19 14:57:38-07:00,7.1,452.89200000000005,13.212,35.5005,4.212,436.93,8.4,62.3,2.22,3.08,3.29,18.0,0.0,,,,,3.3064000000000004
2025-03-19 14:58:38-07:00,7.11,357.41200000000003,14.013,34.7445,5.988,436.98,8.4,62.2,1.54,2.46,2.53,18.0,0.0,,,,,3.1656000000000004
2025-03-19 14:59:38-07:00,7.11,317.39400000000006,13.023000000000001,35.217,4.572,436.99,8.4,62.2,1.18,1.88,2.18,17.0,0.0,,,,,2.4184
2025-03-19 15:00:39-07:00,7.11,301.02600000000007,13.419,35.395500000000006,5.952,437.0,8.4,62.1,1.32,2.3,2.41,17.0,0.0,,,,,3.0304
2025-03-19 15:01:39-07:00,7.11,283.01900000000006,11.142000000000001,34.608000000000004,5.723999999999999,437.0,8.4,62.1,1.53,2.47,2.76,18.0,0.0,,,,,3.1208
2025-03-19 15:02:39-07:00,7.11,264.42900000000003,11.709,34.11450000000001,8.832,436.42,8.4,61.9,1.54,2.4,2.5,18.0,0.0,,,,,3.6864
2025-03-19 15:03:40-07:00,7.11,249.08400000000003,11.754000000000001,35.6685,6.012,435.79,8.4,61.9,1.81,2.71,2.95,17.0,0.0,,,,,3.3704
2025-03-19 15:04:40-07:00,7.11,239.954,12.339,33.505500000000005,9.66,435.28,8.4,61.7,1.34,2.22,2.32,17.0,0.0,,,,,3.708
2025-03-19 15:05:40-07:00,7.11,235.279,12.249,32.2665,9.972,435.1,8.4,61.6,1.11,1.97,2.0,17.0,0.0,,,,,3.5704000000000002
