DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,155,73,4,-3,6,0,0.00000,0.00000.1,0.1,91712127,123,64,3588334877,AQI
2025-03-02 18:44:46-08:00,22.09,177.55100000000002,11.682,9.1875,-2.52,419.85,21.2,32.7,1.95,2.97,3.23,0.0,0.0,1,13.95,11.19,31.18,1,-2,43.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.8720000000000003
2025-03-02 18:45:47-08:00,22.09,172.70000000000002,12.051,8.7675,-0.312,420.15,21.2,32.8,2.01,3.23,3.36,0.0,0.0,1,13.95,3.16,29.96,1,0,42.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,2.5216000000000003
2025-03-02 18:46:47-08:00,22.09,170.88500000000002,11.007000000000001,8.4945,0.216,420.05,21.2,32.7,2.07,3.06,3.14,0.0,0.0,1,13.91,0.89,32.7,1,-1,44.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,2.4912000000000005
2025-03-02 18:47:47-08:00,22.09,174.16300000000004,11.853,7.948500000000001,0.216,420.18,21.2,32.7,2.0,3.35,3.5,0.0,0.0,1,13.91,0.25,31.63,1,-1,43.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,2.7232000000000003
2025-03-02 18:48:48-08:00,22.09,172.81,12.105,9.261000000000001,-1.224,420.71,21.2,32.7,1.35,2.49,2.54,0.0,0.0,1,13.87,0.07,35.41,1,0,43.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.7472000000000003
2025-03-02 18:49:48-08:00,22.09,172.348,10.998000000000001,8.368500000000001,0.18,420.98,21.2,32.8,1.17,2.19,2.2,0.0,0.0,1,13.87,0.02,35.06,1,0,45.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.788
2025-03-02 18:50:48-08:00,22.09,171.512,11.259,8.736,-0.876,421.24,21.2,32.8,1.24,2.23,2.79,0.0,0.0,1,13.84,0.01,27.98,1,0,44.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.6088
2025-03-02 18:51:49-08:00,22.09,173.82200000000003,11.493,10.815000000000001,-3.6599999999999997,421.54,21.2,32.8,1.45,2.33,2.5,0.0,0.0,1,14.19,270.06,27.46,1,-1,44.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,1.1320000000000001
2025-03-02 18:52:49-08:00,22.09,177.518,11.268,9.775500000000001,-0.888,421.9,21.2,32.8,1.58,2.57,2.62,0.0,0.0,1,14.05,84.07,27.93,1,-3,44.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,1.8784
2025-03-02 18:53:50-08:00,22.09,173.536,11.898000000000001,9.723,-2.16,421.96,21.2,32.8,1.72,2.91,2.93,0.0,0.0,1,13.98,23.74,34.29,1,-2,42.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.8960000000000004
2025-03-02 18:54:50-08:00,22.09,177.133,11.610000000000001,8.757,-0.78,422.44,21.2,32.8,1.54,2.86,2.87,0.0,0.0,1,13.95,6.71,32.02,1,-4,43.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,2.1319999999999997
2025-03-02 18:55:50-08:00,22.09,173.514,10.566,9.418500000000002,-0.372,422.8,21.2,32.8,1.13,2.37,2.38,0.0,0.0,1,13.95,1.89,30.39,1,-3,43.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.8216
2025-03-02 18:56:50-08:00,22.09,172.942,11.214,9.282,0.252,422.93,21.2,32.8,1.61,2.51,2.64,0.0,0.0,1,13.91,0.53,27.85,1,-2,43.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,2.0584
2025-03-02 18:57:50-08:00,22.09,172.678,10.872,9.933000000000002,-1.788,422.98,21.3,32.8,1.81,2.72,2.76,0.0,0.0,1,13.91,0.15,28.29,1,-2,44.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.8184
2025-03-02 18:58:51-08:00,22.09,172.084,11.501999999999999,9.597000000000001,-0.9959999999999999,423.49,21.2,32.8,1.78,2.54,2.72,0.0,0.0,1,13.87,0.04,43.56,1,-2,43.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,1.8328
2025-03-02 18:59:51-08:00,22.09,174.042,11.223,8.925,-0.8999999999999999,423.82,21.2,32.8,1.8,2.6,2.66,0.0,0.0,1,13.87,0.01,34.86,1,-3,44.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.9000000000000001
2025-03-02 19:00:51-08:00,22.09,174.834,10.161,8.693999999999999,0.22799999999999998,423.94,21.2,32.8,1.81,3.1,3.12,0.0,0.0,1,13.84,0.0,30.19,1,-3,44.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,2.5256000000000003
2025-03-02 19:01:51-08:00,22.09,172.535,10.548,9.4605,-0.72,424.27,21.2,32.9,1.5,2.54,2.55,0.0,0.0,1,14.12,216.38,28.18,1,-2,45.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,1.8880000000000001
