DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,281,75,0,-7,6,0.1,0.00000,0.00000.1,0.2,256291271,174,77,2,-6,1976569327,AQI
2025-02-27 20:08:02-08:00,22.79,205.865,10.188,10.416,6.359999999999999,459.58,21.9,31.6,0.0,0.17,0.18,0.0,0.0,1,13.91,0.89,30.61,1,-15,47.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.408
2025-02-27 20:09:02-08:00,22.79,207.383,10.557,10.1325,6.732,459.2,21.9,31.7,0.0,0.13,0.14,0.0,0.0,1,13.91,0.25,30.31,1,-16,48.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.4504000000000001
2025-02-27 20:10:02-08:00,22.79,210.793,9.711,9.8595,6.323999999999999,459.53,21.9,31.7,0.06,0.16,0.17,0.0,0.0,1,13.87,0.07,28.6,1,-18,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.3927999999999998
2025-02-27 20:11:02-08:00,22.79,209.68200000000002,8.325000000000001,11.791500000000001,6.215999999999999,459.83,21.9,31.7,0.05,0.11,0.16,0.0,0.0,1,13.87,0.02,31.22,1,-17,51.0,2.0,2,STAT,0,LAT,LON,W,CRC,,,,,,,1.3312
2025-02-27 20:12:02-08:00,22.79,206.51400000000004,9.522,10.269,5.255999999999999,459.41,21.9,31.8,0.06,0.09,0.1,0.0,0.0,1,13.87,0.01,30.72,1,-15,49.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.1232
2025-02-27 20:13:02-08:00,22.79,206.06300000000002,8.865,10.762500000000001,4.668,459.75,21.9,31.7,0.02,0.03,0.03,0.0,0.0,1,13.84,0.0,27.6,1,-14,50.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.9576000000000001
2025-02-27 20:13:58-08:00,22.79,204.21500000000003,9.18,12.1065,3.36,459.9,22.0,31.8,0.04,0.72,0.72,0.0,0.0,1,14.09,220.18,34.63,1,-14,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.248
2025-02-27 20:14:58-08:00,22.79,205.865,9.621,12.075000000000001,3.336,459.97,22.0,31.7,0.01,0.5,0.5,0.0,0.0,1,14.02,62.18,28.53,1,-15,49.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.0672000000000001
2025-02-27 20:15:59-08:00,22.79,207.834,10.305,11.2875,4.392,459.99,22.0,31.7,0.0,0.36,0.36,0.0,0.0,1,13.98,17.56,27.41,1,-16,48.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.1664
2025-02-27 20:16:59-08:00,22.79,204.16,9.054,11.886000000000001,3.9839999999999995,460.12,22.0,31.7,0.0,0.38,0.38,0.0,0.0,1,13.95,4.96,29.69,1,-14,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.1008
2025-02-27 20:17:59-08:00,22.79,200.178,8.811,11.55,4.284,460.62,22.0,31.7,0.0,0.26,0.26,0.0,0.0,1,13.95,1.4,27.56,1,-12,50.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.0648
2025-02-27 20:18:59-08:00,22.79,206.261,9.18,9.975,7.056,460.87,22.0,31.7,0.0,0.32,0.37,0.0,0.0,1,13.91,0.4,36.14,1,-15,49.0,3.0,2,STAT,0,LAT,LON,W,CRC,,,,,,,1.6672
2025-02-27 20:19:59-08:00,22.79,208.747,9.72,11.8755,3.192,460.95,22.0,31.7,0.0,0.21,0.22,0.0,0.0,1,13.91,0.11,30.78,1,-16,48.0,3.0,2,STAT,0,LAT,LON,W,CRC,,,,,,,0.8064000000000001
2025-02-27 20:20:59-08:00,22.81,203.81900000000002,9.477,10.794,4.14,461.39,22.0,31.7,0.0,0.07,0.39,0.0,0.0,1,13.87,0.03,32.25,1,-13,48.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.884
2025-02-27 20:21:59-08:00,22.84,205.51300000000003,9.288,11.9595,4.668,461.87,22.0,31.8,0.0,0.02,0.36,0.0,0.0,1,13.87,0.01,26.98,1,-15,49.0,3.0,2,STAT,0,LAT,LON,W,CRC,,,,,,,0.9496000000000001
2025-02-27 20:23:00-08:00,22.86,205.744,10.152,10.9305,2.7359999999999998,462.6,22.0,31.7,0.0,0.01,0.14,0.0,0.0,1,13.84,0.0,27.66,1,-15,48.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.5552
2025-02-27 20:24:00-08:00,22.86,204.38000000000002,9.18,10.300500000000001,4.32,462.86,22.0,31.8,0.0,0.0,0.05,0.0,0.0,1,14.19,349.42,38.55,1,-14,50.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.8640000000000001
2025-02-27 20:25:00-08:00,22.88,206.228,10.376999999999999,10.416,4.464,462.95,22.0,31.7,0.0,0.22,0.24,0.0,0.0,1,14.05,106.18,29.87,1,-15,48.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.0688000000000002
2025-02-27 20:26:00-08:00,22.88,208.30700000000002,9.126000000000001,11.004000000000001,5.052,463.07,22.0,31.7,0.0,0.12,0.12,0.0,0.0,1,13.98,29.99,27.51,1,-16,49.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.1064
2025-02-27 20:27:00-08:00,22.89,209.19800000000004,8.964,11.277000000000001,3.78,463.1,22.0,31.7,0.0,0.14,0.15,0.0,0.0,1,13.95,8.47,28.27,1,-18,50.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.868
2025-02-27 20:28:00-08:00,22.89,205.17200000000003,9.144,11.298,3.816,463.33,22.0,31.7,0.0,0.14,0.14,0.0,0.0,1,13.95,2.39,30.32,1,-15,50.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.8752
2025-02-27 20:29:01-08:00,22.89,206.75600000000003,9.477,11.991,2.952,463.76,22.0,31.8,0.0,0.11,0.11,0.0,0.0,1,13.91,0.68,35.19,1,-16,49.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.6784
2025-02-27 20:30:02-08:00,22.89,203.687,9.333,11.896500000000001,4.524,464.27,22.0,31.7,0.03,0.16,0.44,0.0,0.0,1,13.91,0.19,27.05,1,-14,49.0,3.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.0328
2025-02-27 20:31:02-08:00,22.89,203.39000000000001,9.135,10.3425,6.323999999999999,464.9,22.0,31.7,0.01,0.1,0.2,0.0,0.0,1,13.87,0.05,27.77,1,-12,49.0,3.0,2,STAT,0,LAT,LON,W,CRC,,,,,,,1.3448
2025-02-27 20:32:03-08:00,22.89,206.50300000000001,8.748000000000001,10.300500000000001,6.432,466.19,22.0,31.7,0.0,0.34,0.63,0.0,0.0,1,13.87,0.02,28.63,1,-15,50.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.5584000000000002
2025-02-27 20:33:03-08:00,22.89,204.17100000000002,8.559,10.804499999999999,4.212,467.66,22.0,31.8,0.0,0.43,0.59,0.0,0.0,1,13.87,0.0,28.52,1,-15,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.1864000000000001
2025-02-27 20:34:03-08:00,22.89,202.103,8.775,11.0775,4.296,468.82,22.0,31.9,0.05,0.23,0.34,0.0,0.0,1,14.09,158.71,27.61,1,-12,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.0432000000000001
2025-02-27 20:35:03-08:00,22.89,205.17200000000003,7.695000000000001,10.143,4.752,471.41,22.0,31.8,0.21,0.58,0.61,0.0,0.0,1,14.09,160.33,32.8,1,-12,52.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.4144
2025-02-27 20:36:03-08:00,22.89,204.556,8.451,11.466000000000001,4.188,475.64,22.0,31.9,0.07,0.19,0.69,0.0,0.0,1,14.02,45.28,30.77,1,-10,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.9896
2025-02-27 20:37:03-08:00,22.89,205.12800000000001,9.207,10.899000000000001,5.28,479.04,22.0,31.9,0.02,0.4,0.57,0.0,0.0,1,13.98,12.79,26.66,1,-11,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.3760000000000001
2025-02-27 20:38:03-08:00,22.89,208.494,9.504000000000001,9.6285,6.119999999999999,485.19,22.1,32.0,0.01,0.16,0.39,0.0,0.0,1,13.95,3.61,27.55,1,-13,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.3519999999999999
2025-02-27 20:39:04-08:00,22.89,208.47200000000004,9.387,9.03,7.236,488.31,22.1,31.8,0.0,0.34,0.42,0.0,0.0,1,13.95,1.02,29.24,1,-13,50.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.7192
2025-02-27 20:40:04-08:00,22.89,207.19600000000003,9.288,11.193000000000001,2.076,489.11,22.1,31.8,0.0,0.52,0.58,0.0,0.0,1,13.91,0.29,33.3,1,-13,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,0.8312
2025-02-27 20:41:04-08:00,22.9,208.20800000000003,8.244,10.8675,4.332,488.63,22.1,31.9,0.0,0.69,0.75,0.0,0.0,1,13.91,0.08,28.65,1,-14,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.4184
2025-02-27 20:42:04-08:00,22.91,206.09600000000003,9.387,9.4605,7.128,487.57,22.1,31.9,0.0,0.39,0.41,0.0,0.0,1,13.87,0.02,28.66,1,-14,49.0,1.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.7376000000000003
2025-02-27 20:43:04-08:00,22.94,205.062,10.179,9.4605,7.428,487.2,22.1,31.9,0.0,0.24,0.32,0.0,0.0,1,13.87,0.01,30.21,1,-14,49.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.6776
2025-02-27 20:44:04-08:00,22.96,205.62300000000002,9.567,9.597000000000001,7.116,486.1,22.1,31.9,0.0,0.1,0.25,0.0,0.0,1,13.84,0.0,26.12,1,-14,51.0,2.0,1,STAT,0,LAT,LON,W,CRC,,,,,,,1.5032
2025-02-27 20:45:05-08:00,22.96,207.42700000000002,9.297,10.0485,6.9719999999999995,486.04,22.1,31.9,0.0,0.17,0.41,0.0,0.0,1,14.12,256.34,32.65,1,-15,51.0,1.0,2,STAT,0,LAT,LON,W,CRC,,,,,,,1.5304000000000002
