DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,93,43,1,-1,1737978310,134,53,997008311,AQI
2025-03-10 11:41:58-07:00,21.4,242.78100000000003,10.773000000000001,8.484,16.619999999999997,396.03,20.5,32.1,0.0,0.0,0.01,27.0,1.0,2.0,STAT,,,,,3.324
2025-03-10 11:42:58-07:00,21.4,237.14900000000003,12.492,8.505,16.631999999999998,396.66,20.5,32.1,0.0,0.0,0.0,25.0,0.0,2.0,STAT,,,,,3.3263999999999996
2025-03-10 11:43:58-07:00,21.4,230.054,11.142000000000001,8.4105,16.032,396.88,20.5,32.1,0.0,0.0,0.04,26.0,0.0,2.0,STAT,,,,,3.2064000000000004
2025-03-10 11:44:58-07:00,21.4,239.55800000000002,12.456,8.757,16.811999999999998,396.96,20.5,32.0,0.0,0.0,0.01,25.0,0.0,2.0,STAT,,,,,3.3623999999999996
2025-03-10 11:45:58-07:00,21.4,219.318,12.825000000000001,7.812000000000001,19.2,396.69,20.5,32.1,0.0,0.0,0.0,26.0,1.0,3.0,STAT,,,,,3.84
2025-03-10 11:46:58-07:00,21.4,236.24700000000004,11.16,8.7255,16.488,396.32,20.5,32.1,0.0,0.0,0.0,26.0,1.0,2.0,STAT,,,,,3.2976
2025-03-10 11:47:58-07:00,21.4,233.88200000000003,10.287,8.463000000000001,16.212,396.65,20.4,32.1,0.0,0.0,0.0,26.0,1.0,2.0,STAT,,,,,3.2424
2025-03-10 11:48:59-07:00,21.4,233.376,11.799,9.397499999999999,14.388,396.88,20.5,32.1,0.0,0.0,0.0,25.0,1.0,2.0,STAT,,,,,2.8776
2025-03-10 11:49:59-07:00,21.4,235.91700000000003,11.187,8.8515,15.491999999999999,396.96,20.5,32.0,0.0,0.0,0.0,26.0,0.0,2.0,STAT,,,,,3.0984
2025-03-10 11:50:59-07:00,21.4,237.55600000000004,11.79,8.673,17.4,396.99,20.5,32.1,0.0,0.0,0.16,25.0,0.0,3.0,STAT,,,,,3.48
2025-03-10 11:51:58-07:00,21.4,237.952,11.124,9.3135,17.712,396.99,20.5,32.1,0.0,0.0,0.05,26.0,1.0,3.0,STAT,,,,,3.5424
