DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,124,-9,-38,1210444717,120,17,-11,-39,275004749,AQI
2025-03-21 18:58:17-07:00,7.62,179.92700000000002,7.5600000000000005,15.970500000000001,24.048,422.0,8.5,74.3,0.84,1.86,2.29,19.0,-2.0,STAT,,,,,,,6.2976
2025-03-21 18:59:17-07:00,7.63,179.762,8.586,16.653,23.855999999999998,422.0,8.6,74.9,1.22,2.3,2.51,18.0,-2.0,STAT,,,,,,,6.611199999999999
2025-03-21 19:00:17-07:00,7.64,178.88200000000003,7.11,16.968,23.4,422.0,8.6,75.5,0.99,2.11,2.24,18.0,-2.0,STAT,,,,,,,6.367999999999999
2025-03-21 19:01:17-07:00,7.64,185.504,8.181000000000001,16.831500000000002,23.220000000000002,422.0,8.6,75.3,1.06,2.39,2.46,18.0,-3.0,STAT,,,,,,,6.556000000000001
2025-03-21 19:02:17-07:00,7.65,183.98600000000002,8.226,16.506,24.876,422.0,8.6,75.8,1.59,2.89,2.95,18.0,-3.0,STAT,,,,,,,7.287200000000001
2025-03-21 19:03:17-07:00,7.69,179.817,6.687,15.204,25.728,422.0,8.6,74.6,0.75,1.8,2.1,20.0,-3.0,STAT,,,,,,,6.585600000000001
2025-03-21 19:04:17-07:00,7.72,181.137,6.606,15.1725,26.855999999999998,422.0,8.6,74.8,0.65,1.7,1.89,20.0,-2.0,STAT,,,,,,,6.7312
2025-03-21 19:05:18-07:00,7.73,184.91,6.192,14.616,25.871999999999996,422.0,8.6,75.5,0.35,1.44,1.63,21.0,-2.0,STAT,,,,,,,6.3264
2025-03-21 19:06:18-07:00,7.74,187.726,5.706,15.288000000000002,26.724,421.59,8.7,75.4,0.51,1.31,1.5,21.0,-1.0,STAT,,,,,,,6.3928
2025-03-21 19:07:18-07:00,7.79,185.086,5.112,15.792,24.384,421.24,8.7,75.4,0.63,1.33,1.43,21.0,-2.0,STAT,,,,,,,5.9408
2025-03-21 19:08:18-07:00,7.82,181.61,2.754,15.582,25.5,421.09,8.8,75.2,0.79,2.27,2.68,23.0,-2.0,STAT,,,,,,,6.916
2025-03-21 19:09:18-07:00,7.83,177.254,4.041,15.288000000000002,23.831999999999997,421.03,8.8,75.6,0.34,1.36,1.5,22.0,-3.0,STAT,,,,,,,5.8544
2025-03-21 19:10:18-07:00,7.86,183.293,5.589,14.532,25.992,421.01,8.8,73.9,0.3,1.54,1.66,22.0,-3.0,STAT,,,,,,,6.430400000000001
2025-03-21 19:11:18-07:00,7.9,183.90900000000002,5.139,13.6605,26.663999999999998,421.0,8.9,75.1,0.11,1.16,1.21,24.0,-2.0,STAT,,,,,,,6.2608
2025-03-21 19:12:18-07:00,7.93,178.32100000000003,5.607,14.8785,25.715999999999998,421.0,8.9,74.9,0.45,1.42,1.43,21.0,-2.0,STAT,,,,,,,6.2792
2025-03-21 19:13:19-07:00,7.94,178.376,6.7860000000000005,16.17,23.063999999999997,421.0,8.9,75.1,0.34,1.46,1.47,20.0,-3.0,STAT,,,,,,,5.780799999999999
2025-03-21 19:14:19-07:00,7.99,176.044,8.028,14.9835,22.595999999999997,421.0,9.0,74.7,0.26,1.3,1.58,19.0,-3.0,STAT,,,,,,,5.5592
2025-03-21 19:15:19-07:00,8.02,178.68400000000003,6.021000000000001,14.584500000000002,23.676,421.0,9.0,75.8,0.11,1.19,1.56,21.0,-3.0,STAT,,,,,,,5.6872
2025-03-21 19:16:19-07:00,8.04,179.894,6.777,14.406,23.592,420.46,9.1,74.0,0.19,0.86,1.0,23.0,-3.0,STAT,,,,,,,5.4064
2025-03-21 19:17:21-07:00,8.09,182.03900000000002,6.039,14.322000000000001,24.576,420.39,9.1,73.9,0.53,1.25,1.29,22.0,-3.0,STAT,,,,,,,5.9152000000000005
2025-03-21 19:18:21-07:00,8.12,186.494,5.229,15.466500000000002,24.9,420.5,9.1,74.3,0.18,1.11,1.13,22.0,-2.0,STAT,,,,,,,5.868
2025-03-21 19:19:21-07:00,8.14,185.537,6.12,14.6265,25.679999999999996,420.18,9.1,72.8,0.44,1.35,1.35,21.0,-2.0,STAT,,,,,,,6.215999999999999
2025-03-21 19:20:21-07:00,8.16,176.22,5.922000000000001,14.2695,25.295999999999996,420.06,9.2,73.8,0.22,1.11,1.11,21.0,-3.0,STAT,,,,,,,5.9472
2025-03-21 19:21:21-07:00,8.2,181.544,7.668,15.225000000000001,23.148,420.02,9.2,74.4,0.76,1.94,1.94,20.0,-3.0,STAT,,,,,,,6.1815999999999995
2025-03-21 19:22:22-07:00,8.23,192.203,6.732,16.002000000000002,21.444,420.66,9.2,75.1,1.04,2.26,2.55,21.0,-3.0,STAT,,,,,,,6.0968
