DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,117,-4,-36,3533030102,159,22,-8,-31,3659627816,AQI
2025-03-22 12:22:35-07:00,5.75,165.528,8.504999999999999,11.193000000000001,37.248,419.01,7.4,75.3,0.0,0.0,0.0,16.0,0.0,STAT,,,,,,,7.4496
2025-03-22 12:23:35-07:00,5.72,161.78800000000004,10.143,11.5395,37.644,419.0,7.4,75.2,0.0,0.0,0.0,15.0,0.0,STAT,,,,,,,7.5288
2025-03-22 12:24:35-07:00,5.7,163.22899999999998,11.187,12.285,35.796,419.0,7.4,75.2,0.0,0.0,0.0,13.0,-1.0,STAT,,,,,,,7.1592
2025-03-22 12:25:35-07:00,5.7,165.02200000000002,10.125,12.201,38.304,419.58,7.3,75.2,0.0,0.0,0.0,14.0,0.0,STAT,,,,,,,7.660800000000001
2025-03-22 12:26:35-07:00,5.7,166.485,9.738000000000001,11.7285,36.372,419.85,7.3,75.2,0.0,0.0,0.0,15.0,0.0,STAT,,,,,,,7.2744
2025-03-22 12:27:35-07:00,5.69,167.33200000000002,9.828,12.768,36.647999999999996,419.79,7.3,75.2,0.0,0.0,0.0,14.0,0.0,STAT,,,,,,,7.329599999999999
2025-03-22 12:28:36-07:00,5.69,167.145,9.918,13.545000000000002,33.612,419.28,7.3,75.3,0.0,0.0,0.0,15.0,-1.0,STAT,,,,,,,6.7224
2025-03-22 12:29:36-07:00,5.69,165.88000000000002,8.775,13.8495,34.824,419.1,7.3,75.4,0.0,0.07,0.07,16.0,0.0,STAT,,,,,,,7.0208
2025-03-22 12:30:36-07:00,5.68,162.37100000000004,9.963000000000001,13.923,36.779999999999994,419.03,7.2,75.4,0.0,0.11,0.11,15.0,0.0,STAT,,,,,,,7.443999999999999
2025-03-22 12:31:36-07:00,5.65,165.37400000000002,9.801,15.435,34.824,419.01,7.2,75.5,0.0,0.04,0.04,15.0,0.0,STAT,,,,,,,6.9968
2025-03-22 12:32:38-07:00,5.61,173.019,10.8,14.595,34.416,419.36,7.2,75.4,0.0,0.01,0.01,15.0,0.0,STAT,,,,,,,6.8911999999999995
2025-03-22 12:33:33-07:00,5.6,173.008,10.656,13.576500000000001,35.352,419.75,7.2,75.5,0.0,0.0,0.0,14.0,0.0,STAT,,,,,,,7.070399999999999
2025-03-22 12:34:33-07:00,5.59,173.20600000000002,8.334,14.647499999999999,37.296,419.91,7.2,75.5,0.0,0.0,0.0,15.0,0.0,STAT,,,,,,,7.4592
2025-03-22 12:35:33-07:00,5.59,172.17200000000003,9.450000000000001,15.015,35.424,420.35,7.2,75.7,0.0,0.0,0.0,14.0,0.0,STAT,,,,,,,7.0848
2025-03-22 12:36:33-07:00,5.58,166.18800000000002,9.585,15.5295,34.583999999999996,420.37,7.2,75.7,0.0,0.0,0.0,14.0,0.0,STAT,,,,,,,6.916799999999999
