DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,374,28,-15,-22,6,0,0.00000,0.00000.1,0.1,3894755223,AQI
2025-03-07 04:56:19-08:00,3.75,572.979,18.027,27.489,-1.512,482.35,5.6,71.2,4.08,6.44,6.68,0.0,0.0,1,13.77,15.22,39.26,1,-10,13,0,0,STAT,0,LAT,LON,W,CRC,,4.849600000000001
2025-03-07 04:57:19-08:00,3.73,539.484,21.393,28.276500000000002,-2.832,481.58,5.6,71.3,3.83,6.57,6.65,0.0,0.0,1,13.77,4.3,38.33,1,-9,11,0,0,STAT,0,LAT,LON,W,CRC,,4.6896
2025-03-07 04:58:19-08:00,3.71,499.87300000000005,21.771,27.520500000000002,0.06,480.75,5.6,71.3,4.28,6.6,6.9,0.0,0.0,1,13.98,170.47,34.74,1,-9,12,1,0,STAT,0,LAT,LON,W,CRC,,5.292
2025-03-07 04:59:20-08:00,3.71,500.3350000000001,20.970000000000002,28.7175,1.044,480.13,5.6,71.5,4.77,7.65,8.24,0.0,0.0,1,13.84,48.14,36.74,1,-16,14,0,0,STAT,0,LAT,LON,W,CRC,,6.328800000000001
2025-03-07 05:00:20-08:00,3.7,476.872,19.476000000000003,29.431500000000003,0.972,480.04,5.5,71.6,3.53,6.66,6.91,0.0,0.0,1,13.8,13.6,34.28,1,-14,14,0,0,STAT,0,LAT,LON,W,CRC,,5.5224
2025-03-07 05:01:16-08:00,3.67,455.829,20.358,29.064,0.6,478.91,5.5,71.7,3.1,6.1,6.28,0.0,0.0,1,13.77,4.27,42.71,1,-11,13,0,0,STAT,0,LAT,LON,W,CRC,,5.0
2025-03-07 05:02:16-08:00,3.63,442.35400000000004,17.316,28.812,-1.392,477.67,5.5,71.8,2.83,5.76,5.81,0.0,0.0,1,13.95,108.43,36.89,1,-8,15,0,-1,STAT,0,LAT,LON,W,CRC,,4.329599999999999
2025-03-07 05:03:16-08:00,3.61,435.765,18.342,27.909,-2.04,476.24,5.5,71.7,3.99,6.47,6.48,0.0,0.0,1,13.87,65.91,31.15,1,-13,13,0,0,STAT,0,LAT,LON,W,CRC,,4.768
2025-03-07 05:04:16-08:00,3.61,434.18100000000004,19.656,27.5625,-2.808,474.56,5.5,71.6,4.0,6.89,6.89,0.0,0.0,1,13.8,18.62,34.24,1,-14,12,0,0,STAT,0,LAT,LON,W,CRC,,4.9504
2025-03-07 05:05:16-08:00,3.59,435.57800000000003,19.422,26.3655,-1.7999999999999998,473.55,5.5,71.6,3.88,6.24,6.37,0.0,0.0,1,13.77,5.26,38.77,1,-13,12,0,0,STAT,0,LAT,LON,W,CRC,,4.632000000000001
2025-03-07 05:06:16-08:00,3.57,440.627,18.549,26.5965,-3.756,473.81,5.5,71.5,3.38,5.89,6.05,0.0,0.0,1,13.95,139.52,44.93,1,-10,13,0,0,STAT,0,LAT,LON,W,CRC,,3.9608
2025-03-07 05:07:16-08:00,3.53,442.51900000000006,20.088,27.058500000000002,-3.168,475.88,5.5,71.4,2.99,5.87,5.96,0.0,0.0,1,13.84,39.4,33.68,1,-14,13,0,-1,STAT,0,LAT,LON,W,CRC,,4.0624
2025-03-07 05:08:17-08:00,3.51,451.154,18.423,28.6965,-2.664,477.66,5.4,71.5,2.79,5.98,6.12,0.0,0.0,1,13.8,11.13,33.24,1,-13,13,0,0,STAT,0,LAT,LON,W,CRC,,4.251200000000001
2025-03-07 05:09:17-08:00,3.5,463.023,19.161,29.001,-0.9239999999999999,479.65,5.4,71.6,3.62,6.35,6.4,0.0,0.0,1,13.77,3.14,35.23,1,-14,13,0,0,STAT,0,LAT,LON,W,CRC,,4.8952
2025-03-07 05:10:17-08:00,3.49,464.134,21.87,27.951,-0.108,480.07,5.4,71.9,2.88,5.33,5.35,0.0,0.0,1,13.73,0.89,35.74,1,-14,10,0,0,STAT,0,LAT,LON,W,CRC,,4.2424
2025-03-07 05:11:17-08:00,3.48,455.752,18.495,28.192500000000003,-2.544,479.57,5.4,71.9,2.31,4.98,5.2,0.0,0.0,1,13.87,77.21,40.29,1,-15,13,0,-2,STAT,0,LAT,LON,W,CRC,,3.4752000000000005
2025-03-07 05:12:17-08:00,3.44,445.04900000000004,18.090000000000003,26.922,-2.688,478.85,5.4,71.9,2.48,4.67,4.97,0.0,0.0,1,13.8,21.81,33.41,1,-17,13,0,-1,STAT,0,LAT,LON,W,CRC,,3.1984000000000004
2025-03-07 05:13:17-08:00,3.41,438.33900000000006,18.414,25.725,-1.944,478.3,5.4,72.0,2.65,4.16,5.29,0.0,0.0,1,13.77,6.16,35.48,1,-15,13,0,-1,STAT,0,LAT,LON,W,CRC,,2.9392000000000005
2025-03-07 05:14:17-08:00,3.4,441.8260000000001,18.18,25.41,-0.72,478.29,5.3,71.9,2.81,4.62,5.27,0.0,0.0,1,13.73,1.74,33.59,1,-13,13,0,-1,STAT,0,LAT,LON,W,CRC,,3.552
2025-03-07 05:15:17-08:00,3.39,440.63800000000003,18.981,26.397000000000002,-3.168,478.83,5.3,71.9,2.21,4.28,4.63,0.0,0.0,1,13.91,105.42,34.05,1,-13,12,0,-1,STAT,0,LAT,LON,W,CRC,,2.7904000000000004
2025-03-07 05:16:18-08:00,3.39,446.17100000000005,18.576,27.237000000000002,-3.528,479.09,5.3,71.8,2.73,5.01,5.46,0.0,0.0,1,13.8,29.77,45.34,1,-17,13,0,-1,STAT,0,LAT,LON,W,CRC,,3.3024
2025-03-07 05:17:18-08:00,3.38,461.54900000000004,17.208000000000002,28.56,-3.1079999999999997,477.78,5.3,72.0,3.16,5.7,6.16,0.0,0.0,1,13.77,8.41,36.51,1,-12,13,0,0,STAT,0,LAT,LON,W,CRC,,3.9384000000000006
2025-03-07 05:18:18-08:00,3.36,478.10400000000004,30.825,29.232,-0.84,476.4,5.3,72.2,3.53,7.32,7.63,0.0,0.0,1,13.73,2.37,37.48,1,-11,12,0,0,STAT,0,LAT,LON,W,CRC,,5.688000000000001
2025-03-07 05:19:19-08:00,3.32,477.45500000000004,30.114,29.589000000000002,-0.12,476.76,5.3,72.4,2.82,6.41,6.56,0.0,0.0,1,13.87,82.48,37.69,1,-13,12,0,0,STAT,0,LAT,LON,W,CRC,,5.104
2025-03-07 05:20:19-08:00,3.3,462.836,27.909000000000002,28.854000000000003,-0.636,476.12,5.3,72.5,2.98,6.28,6.48,0.0,0.0,1,13.8,23.3,32.44,1,-14,13,0,0,STAT,0,LAT,LON,W,CRC,,4.896800000000001
2025-03-07 05:21:19-08:00,3.29,461.45000000000005,28.647,27.1215,-2.124,474.52,5.2,72.5,2.71,5.89,5.96,0.0,0.0,1,13.73,6.58,46.64,1,-13,11,0,-1,STAT,0,LAT,LON,W,CRC,,4.2871999999999995
2025-03-07 05:22:19-08:00,3.29,477.79600000000005,24.993,27.3105,-2.772,473.53,5.3,72.5,2.81,5.56,5.58,0.0,0.0,1,13.95,87.79,40.6,1,-11,12,0,-1,STAT,0,LAT,LON,W,CRC,,3.8935999999999993
2025-03-07 05:23:19-08:00,3.28,479.98500000000007,22.302000000000003,26.5545,-2.172,473.19,5.2,72.4,3.11,5.73,6.09,0.0,0.0,1,13.84,44.78,37.13,1,-15,13,0,-1,STAT,0,LAT,LON,W,CRC,,4.1496
2025-03-07 05:24:19-08:00,3.27,467.84100000000007,23.616,26.785500000000003,-1.536,473.64,5.2,72.3,3.28,5.73,6.11,0.0,0.0,1,13.8,12.65,33.45,1,-14,12,0,0,STAT,0,LAT,LON,W,CRC,,4.276800000000001
2025-03-07 05:25:19-08:00,3.23,463.57300000000004,22.833000000000002,26.0925,-0.6,473.87,5.2,72.3,2.7,5.81,5.93,0.0,0.0,1,13.77,3.57,35.3,1,-14,13,0,0,STAT,0,LAT,LON,W,CRC,,4.528
2025-03-07 05:26:19-08:00,3.2,470.9100000000001,20.961,25.756500000000003,-2.7119999999999997,474.36,5.2,72.3,2.56,5.26,5.3,0.0,0.0,1,13.91,102.17,46.22,1,-12,14,0,0,STAT,0,LAT,LON,W,CRC,,3.6656000000000004
