DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,91,46,0,-30,6,0.1,0.00000,0.00000.1,0.2,3486807047,103,22,-3,-32,1214779424,AQI
2025-03-09 04:57:15-07:00,10.65,167.442,8.469000000000001,9.177000000000001,28.295999999999996,363.0,11.1,73.7,0.96,2.32,2.41,0.0,0.0,1,13.84,4.82,36.93,1,-25,32.0,0.0,-4,STAT,0,LAT,LON,W,CRC,,,,,,,7.515199999999999
2025-03-09 04:58:15-07:00,10.65,169.136,7.191000000000001,8.022,28.692,363.39,11.1,73.5,1.01,2.22,2.25,0.0,0.0,1,13.8,1.36,35.34,1,-25,32.0,0.0,-3,STAT,0,LAT,LON,W,CRC,,,,,,,7.5144
2025-03-09 04:59:15-07:00,10.65,166.001,6.9479999999999995,8.1795,28.823999999999998,363.78,11.1,73.3,0.96,2.18,2.19,0.0,0.0,1,14.02,121.68,35.57,1,-24,31.0,0.0,-4,STAT,0,LAT,LON,W,CRC,,,,,,,7.508800000000001
2025-03-09 05:00:15-07:00,10.66,168.71800000000002,9.846,9.765,28.163999999999998,363.5,11.1,73.3,1.24,2.79,2.79,0.0,0.0,1,13.95,34.37,33.42,1,-25,29.0,0.0,-4,STAT,0,LAT,LON,W,CRC,,,,,,,7.8648
2025-03-09 05:01:15-07:00,10.66,168.71800000000002,10.278,7.822500000000001,29.531999999999996,363.18,11.1,73.3,1.08,2.86,3.01,0.0,0.0,1,13.87,9.71,34.37,1,-25,29.0,0.0,-4,STAT,0,LAT,LON,W,CRC,,,,,,,8.1944
2025-03-09 05:02:16-07:00,10.66,166.727,7.074000000000001,8.746500000000001,27.095999999999997,363.29,11.1,73.4,1.03,2.61,2.67,0.0,0.0,1,13.84,2.74,38.01,1,-26,33.0,0.0,-4,STAT,0,LAT,LON,W,CRC,,,,,,,7.5072
2025-03-09 05:03:16-07:00,10.66,170.01600000000002,9.513,8.7255,26.855999999999998,363.17,11.1,73.2,0.96,2.49,2.72,0.0,0.0,1,13.8,0.77,35.53,1,-27,31.0,0.0,-4,STAT,0,LAT,LON,W,CRC,,,,,,,7.3632
2025-03-09 05:04:16-07:00,10.66,165.154,10.053,8.253,26.688,363.64,11.1,73.4,0.89,2.49,2.6,0.0,0.0,1,13.98,76.17,35.4,1,-26,29.0,0.0,-3,STAT,0,LAT,LON,W,CRC,,,,,,,7.3296
2025-03-09 05:05:16-07:00,10.67,177.936,9.378,9.996,26.112000000000002,363.87,11.1,73.2,0.96,2.6,2.79,0.0,0.0,1,13.91,21.51,33.18,1,-30,31.0,0.0,-3,STAT,0,LAT,LON,W,CRC,,,,,,,7.3024000000000004
2025-03-09 05:06:16-07:00,10.69,175.43900000000002,6.534,8.746500000000001,28.439999999999998,363.96,11.1,73.1,0.99,2.61,2.73,0.0,0.0,1,13.87,6.08,34.53,1,-27,34.0,0.0,-3,STAT,0,LAT,LON,W,CRC,,,,,,,7.776
2025-03-09 05:07:16-07:00,10.71,171.622,8.91,7.6965,31.763999999999996,363.63,11.1,73.1,1.18,2.85,2.89,0.0,0.0,1,13.8,1.72,41.53,1,-25,32.0,0.0,-2,STAT,0,LAT,LON,W,CRC,,,,,,,8.6328
