"Pollutant","Model","Bias","r","R2","RMSE","MAE","CvMAE"
"CO","Regression",0.0387715230510237,0.847731791267191,0.718649189925081,0.139999077030609,0.0693276972531196,0.322206011003237
"CO","RandomForest",0.00965020656811441,0.616528271626904,0.380107109715257,0.21770715214599,0.0301773889290108,0.140251825670905
"CO","Hybrid",0.000653280002461842,0.915834995981926,0.838753739865214,0.113987353908831,0.0274458458569261,0.127556761042888
"NO","Regression",2.05073584352294,0.95315731882599,0.908508874431549,1.0578150413622,0.743611884579991,0.171665783633606
"NO","RandomForest",1.53032337542487,0.987605086319664,0.975363806524471,0.62609463362049,0.415195317288516,0.0958495029212645
"NO","Hybrid",1.76679436930489,0.986018529370516,0.972232540261995,0.72754702574544,0.427848947934499,0.0987706442662281
"NO2","Regression",1.16383723638834,0.967820553878641,0.93667662450996,0.997186511131319,0.793791916388427,0.0477845592119635
"NO2","RandomForest",0.229252655124313,0.981930543827397,0.964187592901168,0.755464339461273,0.559100264054364,0.0336566285465384
"NO2","Hybrid",0.226643866889003,0.981416945474733,0.963179220864955,0.776381252565462,0.577819374273269,0.0347834785587183
"O3","Regression",0.00913982957865045,0.484874055041064,0.235102849251965,0.0453123054721066,0.0356009546353668,0.114966442808648
"O3","RandomForest",-0.00152288731124256,0.485005224141873,0.235230067444909,0.0454129917460445,0.035956138699832,0.11611344150158
"O3","Hybrid",-0.00161092279953157,0.484721752721119,0.234955177561034,0.0454819172326254,0.0360081506506579,0.11628140410346
"CO2","Regression",5.47689837728899,0.970774977036591,0.942404056040394,6.99784118914442,5.21107194677807,0.0118199018461668
"CO2","RandomForest",4.67170036336717,0.990370257791258,0.980833247517522,4.02981230152666,2.4273561544391,0.00550579838163592
"CO2","Hybrid",4.86406764807975,0.989591846685068,0.979292023025563,4.18571372338746,2.55869287108659,0.00580370006394353
"PM2_5","Regression",0.000268762488668094,0.232156687986985,0.0538967277770861,0.00335957748794766,0.000773138560742546,0.74424752743477
"PM2_5","RandomForest",0.00063470481079763,0.947783638293068,0.898293825016045,0.00140875847766498,0.000368559983331572,0.354787447210596
"PM2_5","Hybrid",0.000190631278474334,0.438615931211603,0.192383935112622,0.0031461363264923,0.000518289890478433,0.498922171353786
"PM10","Regression",0.00202316630882121,0.23182408121482,0.0537424046310954,0.0254188980005375,0.006569861883255,1.14413407689061
"PM10","RandomForest",0.00514100056180413,0.945194158905937,0.893391998029901,0.0108976835292409,0.00344044801480778,0.599150162280427
"PM10","Hybrid",0.00124294319363602,0.476358762538024,0.226917670646758,0.0237115233897329,0.0041923703435001,0.730096592314904
