DATE,CO,NO,NO2,O3,CO2,PM2.5,T,RH,AQHI,NO2_contrib,O3_contrib,PM2_5_contrib,Top_AQHI_Contributor
2025-08-29 03:00:00,287.72333333333336,1.3733333333333333,4.203333333333333,11.603333333333333,621.51,20.423333333333336,18.866666666666667,76.26666666666667,,,,,
2025-08-29 03:15:00,284.84933333333333,1.4433333333333334,4.203333333333333,9.322,630.4146666666667,19.628666666666668,18.693333333333335,76.38666666666667,,,,,
2025-08-29 03:30:00,280.782,1.412,4.073333333333333,9.804,632.9593333333333,19.040666666666667,18.453333333333333,77.28,,,,,
2025-08-29 03:45:00,281.45733333333334,1.532,3.9066666666666667,8.893333333333333,631.9146666666667,18.071333333333335,18.30666666666667,77.64666666666666,,,,,
2025-08-29 04:00:00,277.02733333333333,1.6166666666666667,3.7026666666666666,8.488666666666667,635.818,18.538,18.173333333333332,77.82666666666667,,,,,
2025-08-29 04:15:00,273.63466666666665,1.7293333333333334,3.6173333333333333,7.068,640.3553333333333,18.171333333333333,18.053333333333335,78.06666666666666,,,,,
2025-08-29 04:30:00,270.87333333333333,1.758,3.55,7.568666666666666,640.5633333333333,18.081333333333333,17.906666666666666,78.38,,,,,
2025-08-29 04:45:00,269.68666666666667,1.8593333333333333,3.4979999999999998,6.454,643.4626666666667,17.91,17.866666666666667,78.29333333333334,,,,,
2025-08-29 05:00:00,267.3326666666667,1.912,3.497333333333333,7.1306666666666665,651.7253333333333,17.434666666666665,17.88,78.28,,,,,
2025-08-29 05:15:00,269.282,2.0846666666666667,3.533333333333333,4.276,645.9273333333333,17.722,17.953333333333333,77.8,,,,,
2025-08-29 05:30:00,263.722,2.0666666666666664,3.4646666666666666,5.9446666666666665,649.3486666666666,18.084,18,77.88666666666667,,,,,
2025-08-29 05:45:00,260.628,2.058,3.3893333333333335,8.452666666666667,651.1066666666667,17.976,18,78.20666666666666,2,0.1964663561230835,0.25792736690015516,0.5456062769767613,PM2.5
2025-08-29 06:00:00,265.928,2.096,3.3853333333333335,7.440666666666667,647.878,18.011333333333333,18,78.36666666666666,2,0.19697907530213293,0.2518696801125471,0.5511512445853199,PM2.5
2025-08-29 06:15:00,281.514,2.220666666666667,3.3393333333333333,5.572666666666667,654.4626666666667,17.944,18.066666666666666,78.16,2,0.19674285572522224,0.24602281507894505,0.5572343291958327,PM2.5
2025-08-29 06:30:00,275.60266666666666,2.437333333333333,3.4473333333333334,5.526,650.8333333333334,18.249333333333333,18.1,78.14,2,0.1972281146701951,0.23796598852926326,0.5648058968005416,PM2.5
2025-08-29 06:45:00,267.168,2.5806666666666667,3.2746666666666666,3.078,667.5506666666666,18.284,18.066666666666666,77.52666666666667,2,0.19806806790956538,0.22554179142290007,0.5763901406675346,PM2.5
2025-08-29 07:00:00,270.9513333333333,2.582,3.3186666666666667,5.622,658.092,18.447333333333333,18.066666666666666,77.9,2,0.1983197388761051,0.21943074863739453,0.5822495124865004,PM2.5
2025-08-29 07:15:00,274.74266666666665,2.3533333333333335,3.468,4.432666666666667,649.8693333333333,18.383333333333333,18.466666666666665,77.26,2,0.19918689713275983,0.21331536684778954,0.5874977360194507,PM2.5
2025-08-29 07:30:00,309.9186666666667,3.514666666666667,3.74,1.3166666666666667,630.8886666666667,19.558666666666667,19.2,75.00666666666666,2,0.20289398403760206,0.19734553075043504,0.5997604852119629,PM2.5
2025-08-29 07:45:00,324.9773333333333,9.475999999999999,4.988666666666667,-1.8666666666666667,610.6766666666666,21.566666666666666,20.12,71.52666666666667,2,0.21186457299112904,0.1734945728961531,0.6146408541127178,PM2.5
2025-08-29 08:00:00,277.30733333333336,3.978,3.804,0.1426666666666667,626.294,20.683333333333334,20.493333333333332,69.76,3,0.2157028193007376,0.15382742676492048,0.6304697539343419,PM2.5
2025-08-29 08:15:00,331.1193333333333,4.338,4.011333333333333,2.5093333333333336,604.0699999999999,21.549333333333333,20.84,67.38666666666667,3,0.21642425423472225,0.14724228801533146,0.6363334577499463,PM2.5
2025-08-29 08:30:00,264.9286666666667,3.804666666666667,4.173333333333333,5.075333333333333,586.604,19.587333333333333,21.686666666666667,65.02,3,0.21883723309316344,0.14385396914182608,0.6373087977650105,PM2.5
2025-08-29 08:45:00,282.1093333333333,4.264,4.234666666666667,2.102,568.7053333333333,23.05666666666667,23.053333333333335,60.50666666666667,3,0.2232442538559143,0.12465009157701194,0.6521056545670738,PM2.5
2025-08-29 09:00:00,268.3566666666667,4.618,3.886,3.800666666666667,545.2513333333334,23.712,24.5,55.473333333333336,3,0.22409426359720386,0.11274229021666182,0.6631634461861343,PM2.5
2025-08-29 09:15:00,277.36266666666666,4.899333333333333,3.8826666666666667,3.9106666666666667,532.62,23.325333333333333,25.686666666666667,51.92,3,0.223958918240889,0.10638389814993796,0.669657183609173,PM2.5
2025-08-29 09:30:00,238.96666666666667,5.274,4.6673333333333336,4.758666666666667,524.1653333333334,22.297333333333334,26.793333333333333,48.346666666666664,3,0.22655222020153895,0.1025856569548957,0.6708621228435654,PM2.5
2025-08-29 09:45:00,220.63933333333333,4.354,5.736,8.284,510.25066666666663,25.554666666666666,27.893333333333334,46.35333333333333,3,0.22769769430644335,0.11265189362395905,0.6596504120695976,PM2.5
2025-08-29 10:00:00,199.69733333333335,4.908,6.706666666666667,7.286666666666666,503.64133333333336,25.806,28.993333333333332,43.34,3,0.23403221160463664,0.11291850079610305,0.6530492875992603,PM2.5
