"Pollutant","Model","Bias","r","R2","RMSE","MAE","CvMAE"
"CO","Regression",0.0369673272386739,0.79209176238647,0.627409360040504,0.157296652017281,0.0755889838499479,0.35130584062467
"CO","RandomForest",0.0147350115711494,0.628688707931593,0.395249491480696,0.20795726655046,0.0314370861210888,0.146106368997933
"CO","Hybrid",0.00721239569971402,0.849194519372155,0.721131331731705,0.137433011765516,0.0296146886759699,0.137636631295404
"NO","Regression",1.45864145605871,0.950340263019178,0.903146615515359,1.12047653455022,0.753628232875949,0.173978097778967
"NO","RandomForest",0.825120166474595,0.978927149801795,0.958298364619066,1.00828139874304,0.452065301734819,0.104361086589818
"NO","Hybrid",1.1258149783991,0.983725606998298,0.967716069864169,0.835259780771367,0.43699304818154,0.100881596453899
"NO2","Regression",-0.146283926996876,0.976047535211635,0.952668790992707,0.872153998464629,0.676891826351139,0.0407474262317163
"NO2","RandomForest",-0.665577218366312,0.986212862111882,0.97261580939491,0.666708538568895,0.503290227049151,0.0302969848378558
"NO2","Hybrid",-0.670394286586454,0.984970553675705,0.970166991608226,0.700879510296533,0.519058674829746,0.0312462113430599
"O3","Regression",0.00692992878971499,0.483122207287942,0.233407067174773,0.0453860587186117,0.0357346369186542,0.115398144057491
"O3","RandomForest",-0.00383641902122145,0.4727685711388,0.223510121856622,0.0458016595067347,0.036316253930259,0.117276364447536
"O3","Hybrid",-0.00387573553390003,0.472155147948785,0.222930483734539,0.0458511512725956,0.0363852526585985,0.117499182583644
"CO2","Regression",6.63655704422729,0.964939651351907,0.931108530751141,7.6283134615439,5.26480408099336,0.0119417786037507
"CO2","RandomForest",7.34343923164948,0.987129811482804,0.974425264718075,4.65530453350575,2.62169997836141,0.00594661457965268
"CO2","Hybrid",7.53544909187264,0.986633478966494,0.973445621817527,4.74177618976126,2.76952633173459,0.00628191852574922
"PM2_5","Regression",0.000240812152298022,0.227191086797622,0.0516157899202848,0.0033634621297878,0.000775633362642722,0.746649102314003
"PM2_5","RandomForest",0.000357319099947506,0.637510083014995,0.406419105945786,0.00274819435488319,0.000511556654878929,0.492440546712332
"PM2_5","Hybrid",0.000202927592664901,0.509539791741146,0.25963079936761,0.00311175070864795,0.000501565713763607,0.4828229521447
"PM10","Regression",0.00172445954268882,0.222697037317823,0.0495939704301358,0.0254746428481649,0.00661147183603563,1.15138040348926
"PM10","RandomForest",0.00228477890139296,0.610045384604342,0.37215537127706,0.0212382710195368,0.00454410236933422,0.791350330040544
"PM10","Hybrid",0.0010768210507682,0.458114447480752,0.209868846990594,0.0238576218094721,0.00434115911369031,0.756007989732122
