DATE,CO,NO,NO2,O3,CO2,PM2.5,AQHI,NO2_contrib,O3_contrib,PM2_5_contrib,Top_AQHI_Contributor
2025-12-25 14:30:00,0.476365,6.58,27.619999999999997,4.29,793.235,5.955,,,,,
2025-12-25 14:45:00,0.471588,4.758,26.226,5.7893333333333334,791.0926666666667,5.357333333333333,,,,,
2025-12-25 15:00:00,0.48748,5.247333333333334,26.745333333333335,5.432,796.6486666666667,6.022666666666667,,,,,
2025-12-25 15:15:00,0.5171226666666666,11.626666666666667,30.026666666666667,4.251333333333333,810.5966666666667,6.989333333333334,,,,,
2025-12-25 15:30:00,0.5175586666666667,6.632,26.59466666666667,2.948,806.918,5.955333333333333,,,,,
2025-12-25 15:45:00,0.49380625,4.50125,25.585,3.4725,802.34,5.7,,,,,
2025-12-25 16:00:00,0.5583826666666666,13.442666666666666,28.631333333333334,2.678,820.9553333333333,8.962666666666667,,,,,
2025-12-25 16:15:00,0.505072,4.629333333333333,23.991333333333333,6.0393333333333334,804.1886666666667,7.450666666666667,,,,,
2025-12-25 16:30:00,0.4189306666666666,2.9186666666666667,21.875333333333334,11.528666666666666,792.8586666666666,5.716666666666667,,,,,
2025-12-25 16:45:00,0.39722199999999996,26.5,28.028,12.451333333333332,828.6626666666666,4.760666666666666,,,,,
2025-12-25 17:00:00,0.37600466666666665,4.089333333333333,20.651333333333334,14.428,789.928,4.4126666666666665,,,,,
2025-12-25 17:15:00,0.3612533333333333,1.2253333333333334,18.352666666666668,15.315333333333333,781.032,3.3613333333333335,3,0.765423567883463,0.1361830662182883,0.09839336589824875,NO2
2025-12-25 17:30:00,0.3630273333333333,3.612,19.883333333333333,11.476,791.942,4.816,3,0.7534333134567844,0.14876520946196145,0.09780147708125411,NO2
2025-12-25 17:45:00,0.366668,1.2706666666666666,19.778,9.857333333333333,789.1413333333334,4.782666666666667,3,0.7451004005426216,0.1568259053446608,0.09807369411271757,NO2
2025-12-25 18:00:00,0.37407266666666666,1.294,20.389333333333333,9.967333333333332,790.964,4.677333333333333,3,0.7369142486661667,0.16583276685332482,0.09725298448050848,NO2
2025-12-25 18:15:00,0.35400066666666663,1.7233333333333334,19.93466666666667,11.459999999999999,786.1773333333333,4.040666666666667,3,0.7243828102236173,0.18078847887874117,0.09482871089764153,NO2
2025-12-25 18:30:00,0.3560973333333333,1.4826666666666666,19.387999999999998,12.026666666666667,785.1266666666667,5.139333333333333,3,0.7091758791327121,0.19665609248592822,0.09416802838135971,NO2
2025-12-25 18:45:00,0.354505,1.565,18.87625,11.3725,785.915,4.7975,3,0.6956385547070929,0.21092437945493955,0.09343706583796751,NO2
2025-12-26 12:30:00,,,,,785.38,0.77,3,0.6876631707677784,0.22956185598761625,0.08277497324460541,NO2
2025-12-26 12:45:00,,,,,752.4066666666666,0.8453333333333334,3,0.6839538688698588,0.24261432211087935,0.07343180901926191,NO2
2025-12-26 13:00:00,,,,,764.33,0.8713333333333333,3,0.6869819565373224,0.24627554613020983,0.0667424973324677,NO2
2025-12-26 13:15:00,,,,,750.2213333333333,0.896,2,0.6818084932721498,0.25499196239039984,0.06319954433745037,NO2
2025-12-26 13:30:00,0.34433444444444444,-1.2455555555555555,15.158888888888889,26.54888888888889,749.1126666666667,1.2066666666666668,2,0.6557067280114535,0.2864232838871549,0.05786998810139167,NO2
2025-12-26 13:45:00,0.335718,-1.4126666666666667,14.069333333333335,24.902,748.768,0.892,2,0.6352001431226978,0.31103629430681473,0.053763562570487415,NO2
2025-12-26 14:00:00,0.33597933333333335,-1.5093333333333334,14.374666666666666,23.138,751.394,1.1333333333333333,2,0.6105617117228525,0.34160446738121913,0.0478338208959284,NO2
2025-12-26 14:15:00,0.37057,0.144,16.21066666666667,20.396,758.9246666666667,1.1926666666666668,2,0.5910819724526887,0.3670860944094635,0.04183193313784784,NO2
2025-12-26 14:30:00,0.3195793333333333,-1.3293333333333333,13.761333333333333,21.051333333333332,752.718,0.9493333333333334,2,0.5654877977794134,0.39839001914041544,0.03612218308017118,NO2
2025-12-26 14:45:00,0.3214673333333333,-1.412,14.299333333333333,20.598,756.066,1.1153333333333333,2,0.5437174637870004,0.4246602567527727,0.03162227946022699,NO2
2025-12-26 15:00:00,0.33440333333333333,-0.7146666666666667,17.758,17.451333333333334,761.3826666666666,1.396,2,0.5358809202450887,0.4385109520471424,0.02560812770776883,NO2
2025-12-26 15:15:00,0.363964,3.4246666666666665,19.177333333333333,15.208,773.266,1.4,2,0.5339229202936047,0.4460085343185235,0.02006854538787185,NO2
2025-12-26 15:30:00,0.32027666666666665,-0.6933333333333334,14.975333333333333,16.612000000000002,760.186,1.2213333333333334,2,0.53819759798387945,0.44075783033834715,0.02104457167777345,NO2
2025-12-26 15:45:00,0.312075,-0.78625,14.965,15.754999999999999,759.73375,1.07375,2,0.5428023039406104,0.435523827250901,0.021673868808488636,NO2
2025-12-26 16:00:00,0.33313533333333334,-0.686,16.803333333333335,12.104000000000001,770.8573333333334,1.6673333333333333,2,0.5527904197800636,0.4240025242975542,0.023207055922382216,NO2
2025-12-26 16:15:00,0.36714066666666667,1.052,18.839333333333332,10.078666666666667,779.6006666666667,2.002,2,0.5656227269224913,0.4092132236166896,0.02516404946081906,NO2
2025-12-26 16:30:00,0.35024133333333335,-0.122,17.854666666666667,8.830666666666666,777.474,1.4866666666666666,2,0.5878029225869198,0.3859403273551418,0.026256750057938462,NO2
