DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-05-18T22:26:15,13.14,227.029,12.249,20.265,15.972,424.55,13.4,52.5,3.11,6.05,7.0,3,0.6062738781044262,0.2932668757597625,0.10045924613581121,NO2
2025-05-18T22:27:11,13.13,227.59000000000003,12.168,19.8765,16.523999999999997,424.6,13.4,52.4,2.48,5.28,5.64,3,0.6047500976505906,0.3005126760807373,0.09473722626867208,NO2
2025-05-18T22:28:11,13.13,243.562,11.799,20.012999999999998,16.956,424.71,13.4,52.4,2.67,5.09,5.56,3,0.603808998006878,0.3047172715210501,0.09147373047207187,NO2
2025-05-18T22:29:11,13.1,309.32,11.862,20.454,16.32,424.9,13.4,52.6,2.12,5.14,5.29,3,0.6063195028435987,0.30368239945982783,0.0899980976965734,NO2
2025-05-18T22:30:11,13.06,274.868,12.303,19.1835,16.272,424.56,13.4,51.8,2.0,4.54,4.58,3,0.6061108371281373,0.3059100727228601,0.08797909014900265,NO2
2025-05-18T22:31:11,13.04,256.19000000000005,12.942,19.236,17.099999999999998,422.56,13.4,51.5,2.09,4.16,4.69,3,0.6051532704291468,0.30946362225922935,0.08538310731162385,NO2
2025-05-18T22:32:11,13.04,240.54800000000003,12.024,18.1545,17.892,421.05,13.4,52.0,2.52,4.39,5.66,3,0.6009419311727385,0.3148100763361037,0.08424799249115782,NO2
2025-05-18T22:33:12,13.03,239.69000000000003,12.626999999999999,19.3095,18.192,420.37,13.4,52.3,2.45,4.25,4.66,3,0.5993028226239201,0.3180127197767052,0.08268445759937472,NO2
2025-05-18T22:34:12,13.03,241.032,12.618,19.823999999999998,16.152,420.13,13.4,52.0,2.18,5.11,5.89,3,0.600329286410374,0.3165007234790022,0.08316999011062383,NO2
2025-05-18T22:35:12,13.01,237.578,11.709,19.960500000000003,16.932,420.05,13.4,52.7,2.55,5.93,6.29,3,0.5995981265852695,0.31572555576996464,0.08467631764476592,NO2
2025-05-18T22:36:12,12.96,241.89000000000001,12.087,19.866000000000003,16.488,420.79,13.4,52.7,2.31,4.85,5.01,3,0.6003513052134715,0.31518257235964503,0.08446612242688346,NO2
2025-05-18T22:37:12,12.94,246.30100000000002,11.898000000000001,19.078500000000002,17.7,421.57,13.4,52.6,2.15,4.32,4.65,3,0.5994774529848121,0.31690895423077825,0.08361359278440962,NO2
2025-05-18T22:38:13,12.94,244.761,12.303,18.4905,18.48,422.39,13.3,52.7,3.08,5.43,5.53,3,0.5966310573605322,0.3191258803996388,0.08424306223982896,NO2
2025-05-18T22:39:13,12.94,227.216,11.286,18.522000000000002,17.676,421.48,13.3,52.4,2.41,5.16,5.19,3,0.5950601930999175,0.320371713931586,0.08456809296849656,NO2
2025-05-18T22:40:13,12.93,226.58900000000003,12.321,18.700499999999998,17.556,419.94,13.3,52.7,2.36,4.23,4.8,3,0.5945625604885152,0.3215721306121621,0.08386530889932267,NO2
2025-05-18T22:41:13,12.93,241.01000000000002,11.421,19.614,17.639999999999997,420.17,13.3,53.0,2.44,4.73,5.48,3,0.5944664854471726,0.3219525762053813,0.08358093834744601,NO2
2025-05-18T22:42:14,12.89,233.893,11.934,19.593,17.676,420.62,13.3,53.1,2.14,3.93,4.17,3,0.5948186918648163,0.3225852948334553,0.08259601330172835,NO2
2025-05-18T22:43:14,12.86,228.54700000000003,11.862,18.627,18.36,420.25,13.3,53.3,2.37,4.98,5.42,3,0.593442374652495,0.3238486159864523,0.08270900936105266,NO2
2025-05-18T22:44:15,12.84,223.54200000000003,12.069,17.839499999999997,18.456,420.09,13.3,52.7,2.18,4.45,4.67,3,0.5919131142443718,0.32561471620804167,0.08247216954758654,NO2
2025-05-18T22:45:15,12.84,218.669,11.547,17.304000000000002,17.976,419.04,13.3,52.6,1.94,3.24,3.39,3,0.5910728188628517,0.32751311981917736,0.08141406131797095,NO2
2025-05-18T22:46:15,12.84,218.65800000000002,11.879999999999999,17.020500000000002,18.516,417.17,13.3,52.7,2.02,2.96,3.0,3,0.5899804328038559,0.3297859532100533,0.08023361398609077,NO2
2025-05-18T22:47:15,12.84,212.179,12.798,17.209500000000002,18.636,416.33,13.2,53.0,2.29,3.55,3.57,3,0.5887574781644026,0.3316937857139544,0.07954873612164304,NO2
2025-05-18T22:48:14,12.81,214.23600000000002,13.266,18.070500000000003,18.599999999999998,415.47,13.2,52.4,2.19,3.71,3.72,3,0.5880654083908421,0.33299370551943214,0.07894088608972583,NO2
2025-05-18T22:49:14,12.76,211.167,12.033,17.7555,18.119999999999997,414.81,13.2,52.7,2.1,4.15,4.58,3,0.5872996099383453,0.3339639352658323,0.07873645479582242,NO2
2025-05-18T22:50:14,12.75,261.778,12.402,18.1335,17.16,415.5,13.2,53.1,2.15,4.35,4.82,3,0.5871403743081278,0.3341637126280523,0.07869591306381983,NO2
2025-05-18T22:51:14,12.74,248.13800000000003,12.762,18.207,18.3,416.67,13.2,52.7,2.32,4.58,5.03,3,0.5864458185618497,0.3348281010248091,0.07872608041334114,NO2
2025-05-18T22:52:14,12.74,229.93300000000002,12.501000000000001,17.860500000000002,19.62,416.88,13.2,53.1,2.32,4.31,4.45,3,0.585187383930439,0.33626000539137957,0.07855261067818141,NO2
2025-05-18T22:53:15,12.74,221.276,12.879000000000001,18.039,18.804,416.96,13.1,53.3,1.89,3.84,4.14,3,0.5845986984412437,0.3372489834672188,0.07815231809153747,NO2
2025-05-18T22:54:15,12.71,215.65500000000003,11.862,17.9445,18.576,416.99,13.1,53.2,1.92,4.2,4.58,3,0.5839703704849322,0.3380326236500163,0.07799700586505155,NO2
2025-05-18T22:55:15,12.66,354.97,22.302000000000003,20.338500000000003,15.672,416.99,13.1,53.4,1.97,4.26,4.46,3,0.5854908812072165,0.3366754526595973,0.07783366613318617,NO2
2025-05-18T22:56:15,12.65,689.326,26.532,21.630000000000003,15.203999999999999,417.61,13.1,53.3,1.96,4.53,4.59,3,0.5875335710441497,0.33472567892398947,0.0777407500318608,NO2
2025-05-18T22:57:15,12.64,474.15500000000003,18.801000000000002,21.2835,14.927999999999999,417.86,13.1,53.9,2.38,4.28,4.5,3,0.5894812948991126,0.3329500498448461,0.07756865525604131,NO2
2025-05-18T22:58:15,12.64,339.141,15.803999999999998,21.367500000000003,15.264,417.95,13.0,54.2,2.71,4.59,5.0,3,0.5911302128807655,0.3313344426292162,0.07753534449001832,NO2
2025-05-18T22:59:15,12.64,268.48800000000006,14.597999999999999,20.853,15.504,418.56,13.0,54.6,2.53,5.6,5.73,3,0.5921032228866248,0.3298946277556794,0.07800214935769585,NO2
2025-05-18T23:00:15,12.62,262.713,13.626000000000001,19.5825,16.056,418.85,13.0,54.4,1.87,5.29,5.33,3,0.5924685822556603,0.329165363042316,0.07836605470202368,NO2
2025-05-18T23:01:15,12.57,287.672,14.877,19.656,15.323999999999998,419.24,13.0,54.5,1.92,4.58,4.98,3,0.5932716253122672,0.328306160455169,0.07842221423256372,NO2
2025-05-18T23:02:16,12.55,294.99800000000005,13.473,20.128500000000003,14.988,419.73,13.0,54.6,1.98,4.3,4.47,3,0.594374984580554,0.3272875326762067,0.07833748274323926,NO2
2025-05-18T23:03:17,12.54,299.431,12.501000000000001,20.5485,13.092,419.91,13.0,54.8,2.16,4.25,4.75,3,0.5961439068061948,0.3255721543383516,0.07828393885545365,NO2
2025-05-18T23:04:17,12.54,288.684,12.519,18.921,15.011999999999999,419.97,12.9,54.3,2.14,4.07,4.23,3,0.5967822284299324,0.32502978289262074,0.07818798867744685,NO2
2025-05-18T23:05:17,12.53,259.567,12.006,18.5745,17.316,419.99,12.9,54.7,2.06,4.52,4.57,3,0.5965043279470608,0.32528493156052896,0.07821074049241028,NO2
2025-05-18T23:06:17,12.48,238.32600000000002,11.79,17.493000000000002,17.988,420.0,12.9,54.9,1.94,4.44,5.08,3,0.5957378409340494,0.3260207267574482,0.0782414323085025,NO2
2025-05-18T23:07:17,12.45,231.68200000000002,12.357000000000001,18.564,15.815999999999999,420.0,12.9,55.1,2.18,3.93,4.3,3,0.5960482278546049,0.3258598244411925,0.07809194770420262,NO2
2025-05-18T23:08:19,12.44,226.204,12.573,18.753,16.548,420.0,12.9,54.6,2.37,4.08,4.19,3,0.596169251508205,0.32586223927616464,0.07796850921563031,NO2
2025-05-18T23:09:17,12.44,225.87400000000002,12.897,18.4695,17.568,419.59,12.9,54.4,2.32,4.73,4.86,3,0.5957843131720065,0.32614795533657787,0.07806773149141558,NO2
2025-05-18T23:10:18,12.44,223.99300000000002,13.095,18.858,16.727999999999998,418.63,12.8,54.6,2.39,4.69,5.15,3,0.5957494584629374,0.32609532321878415,0.0781552183182785,NO2
2025-05-18T23:11:18,12.4,218.16300000000004,13.167000000000002,18.6795,17.256,418.22,12.8,54.8,2.35,5.4,5.6,3,0.5953757121197101,0.32614642645062114,0.07847786142966878,NO2
2025-05-18T23:12:18,12.36,217.09600000000003,12.717,18.3225,17.796,417.15,12.8,54.4,2.16,4.97,5.99,3,0.5948839815522494,0.3264740598301243,0.07864195861762627,NO2
2025-05-18T23:13:18,12.35,215.42400000000004,12.618,16.884,19.932,416.4,12.8,54.4,2.05,4.1,4.42,3,0.5937076099150634,0.32777598988342005,0.07851640020151653,NO2
2025-05-18T23:14:18,12.34,214.643,12.762,18.1965,19.139999999999997,416.79,12.8,54.3,2.02,3.77,4.17,3,0.5931754358460992,0.3285780392748819,0.07824652487901884,NO2
2025-05-18T23:15:18,12.34,217.261,11.889000000000001,18.910500000000003,16.296,416.93,12.8,54.5,2.04,4.2,5.39,3,0.5934088431375268,0.32841569287309313,0.07817546398937998,NO2
2025-05-18T23:16:18,12.34,210.859,12.636,17.976000000000003,17.352,416.97,12.8,54.5,2.06,4.19,4.57,3,0.5931637254263057,0.3287183831199592,0.07811789145373507,NO2
2025-05-18T23:17:18,12.33,210.078,12.906,17.5665,17.003999999999998,416.99,12.8,54.0,2.04,3.45,4.31,3,0.5930499279420561,0.32908624369435474,0.07786382836358915,NO2
2025-05-18T23:18:18,12.3,212.38800000000003,12.384,18.3015,17.724,416.77,12.7,53.6,2.09,3.66,3.93,3,0.5929218581109882,0.3294501571003258,0.07762798478868599,NO2
2025-05-18T23:19:20,12.26,211.376,12.312,17.892,18.516,416.27,12.7,53.7,2.03,3.45,3.67,3,0.5925730379086183,0.3300921225438688,0.0773348395475129,NO2
2025-05-18T23:20:20,12.25,284.647,12.69,19.9395,16.619999999999997,416.09,12.7,54.1,2.28,4.13,4.2,3,0.5929827503912166,0.32980585213422564,0.07721139747455773,NO2
2025-05-18T23:21:20,12.25,266.25500000000005,12.798,20.979000000000003,14.172,416.03,12.7,54.9,2.24,4.21,4.53,3,0.5941021609375606,0.3287625390817984,0.07713529998064093,NO2
2025-05-18T23:22:20,12.24,241.758,12.672,19.53,16.535999999999998,416.1,12.7,55.4,2.26,4.15,4.43,3,0.5943914757172543,0.32856345364093353,0.07704507064181224,NO2
2025-05-18T23:23:20,12.24,227.68900000000002,12.204,18.627,16.86,416.84,12.7,55.4,2.14,4.42,5.1,3,0.5943592159008588,0.3285785397492945,0.07706224434984668,NO2
2025-05-18T23:24:20,12.24,259.16,12.024,18.417,16.476,417.59,12.7,55.5,2.0,4.06,4.56,3,0.5944203431636305,0.3285804929828425,0.07699916385352708,NO2
2025-05-18T23:25:20,12.2,258.98400000000004,11.439000000000002,19.2045,15.696,418.26,12.7,55.7,1.93,3.92,4.11,3,0.5948213610975039,0.32829061169587853,0.07688802720661754,NO2
2025-05-18T23:26:21,12.16,241.58200000000002,12.231,18.543,16.548,418.74,12.7,55.7,2.08,4.25,4.61,3,0.5948538122254715,0.3282731428367968,0.07687304493773164,NO2
2025-05-18T23:27:21,12.15,233.83800000000002,12.906,18.018,15.852,418.91,12.7,55.6,2.17,4.02,4.14,3,0.5949445183239086,0.32821937422590525,0.0768361074501861,NO2
2025-05-18T23:28:21,12.15,223.553,12.321,17.9865,15.888,418.97,12.6,56.1,1.92,3.72,3.93,3,0.5950689808704447,0.32820714144126945,0.07672387768828584,NO2
2025-05-18T23:29:18,12.14,222.40900000000002,12.69,18.375,16.776,418.99,12.6,55.8,2.49,5.14,5.47,3,0.5948768987680312,0.3281857297411991,0.07693737149076972,NO2
2025-05-18T23:30:18,12.14,224.11400000000003,12.879000000000001,18.921,15.288,418.41,12.6,55.9,2.5,4.78,5.59,3,0.5951202365198953,0.3278109853624459,0.07706877811765873,NO2
2025-05-18T23:31:18,12.13,226.886,12.860999999999999,18.605999999999998,15.696,418.15,12.6,55.6,2.11,4.39,4.71,3,0.5952852016539105,0.327611388133189,0.07710341021290042,NO2
2025-05-18T23:32:18,12.09,228.78900000000002,12.321,18.207,15.828,418.32,12.6,55.8,2.04,3.78,3.89,3,0.595440994290492,0.3275573282431943,0.07700167746631369,NO2
2025-05-18T23:33:18,12.06,230.54900000000004,11.853,18.1545,16.896,418.11,12.6,55.5,2.03,3.99,4.04,3,0.5953685454261344,0.3277003712805318,0.07693108329333383,NO2
2025-05-18T23:34:17,12.05,236.86300000000003,12.096,18.6795,16.956,418.04,12.6,55.9,2.01,4.52,5.1,3,0.5953058215109582,0.32772746048428275,0.07696671800475896,NO2
2025-05-18T23:35:18,12.05,230.89000000000001,11.673,18.070500000000003,15.696,418.01,12.5,56.2,1.95,4.02,4.75,3,0.5954158596960197,0.3276500453397306,0.07693409496424969,NO2
2025-05-18T23:36:18,12.05,227.59000000000003,12.672,18.816000000000003,13.752,418.01,12.6,56.2,1.91,4.22,4.72,3,0.5959461334552014,0.3270906237882924,0.07696324275650619,NO2
2025-05-18T23:37:18,12.05,227.75500000000002,12.465,18.249,15.084,418.0,12.6,56.2,1.99,3.91,4.07,3,0.5961914849778434,0.3268950795606722,0.07691343546148446,NO2
2025-05-18T23:38:18,12.01,234.28900000000002,12.348,17.503500000000003,15.803999999999998,418.0,12.6,56.5,2.0,4.01,4.81,3,0.5961700763053374,0.3269325694634643,0.0768973542311983,NO2
2025-05-18T23:39:19,11.97,228.84400000000002,12.069,18.070500000000003,16.8,418.0,12.5,56.7,2.0,3.9,4.17,3,0.5961068707913868,0.3270745463430041,0.07681858286560915,NO2
2025-05-18T23:40:19,11.95,224.609,13.32,17.682000000000002,16.092,418.0,12.5,56.4,2.0,4.61,4.69,3,0.595989168660874,0.3270884484540471,0.07692238288507883,NO2
2025-05-18T23:41:19,11.95,220.36300000000003,13.626000000000001,18.06,15.443999999999999,418.0,12.5,56.7,2.25,4.67,4.85,3,0.5960295815017588,0.32693341690244343,0.0770370015957978,NO2
2025-05-18T23:42:19,11.95,216.15,12.888,17.871,16.956,418.0,12.5,56.9,2.21,4.33,4.38,3,0.5958548860243118,0.3270916340125522,0.07705347996313604,NO2
2025-05-18T23:43:20,11.95,208.52700000000002,12.744,18.0285,16.235999999999997,418.0,12.5,56.9,2.32,3.75,3.96,3,0.5958962001278159,0.32714619902582054,0.07695760084636356,NO2
2025-05-18T23:44:20,11.91,210.70500000000004,12.636,17.6505,15.54,417.84,12.4,56.8,2.39,4.22,4.29,3,0.5959149477121223,0.3270991783925159,0.07698587389536185,NO2
2025-05-18T23:45:20,11.87,211.98100000000002,12.195,17.881500000000003,16.032,417.3,12.4,57.1,2.29,4.09,4.11,3,0.5959158962614203,0.3271134692804922,0.0769706344580876,NO2
2025-05-18T23:46:20,11.86,208.43900000000002,12.591000000000001,17.115000000000002,15.335999999999999,416.57,12.4,57.4,2.09,3.85,3.86,3,0.5959259004719397,0.32713034927490825,0.076943750253152,NO2
2025-05-18T23:47:20,11.85,208.824,12.807,18.165000000000003,15.216,417.2,12.4,57.4,2.03,4.29,4.53,3,0.596062143520893,0.32696223411463443,0.0769756223644725,NO2
2025-05-18T23:48:20,11.85,267.531,17.802000000000003,20.884500000000003,12.072000000000001,417.72,12.4,57.2,2.15,4.88,5.5,3,0.5969876794147725,0.32591326033298756,0.0770990602522399,NO2
