"Pollutant","Model","Bias","r","R2","RMSE","MAE","CvMAE"
"CO","Regression",0.0396541238345104,0.836995998480858,0.700562301472968,0.126638819635811,0.0699837535358883,0.319747575319764
"CO","RandomForest",0.0241448254348771,0.829161943075772,0.687509527845189,0.127590668782612,0.0283900034890823,0.12971060167984
"CO","Hybrid",0.0299606587734096,0.896367415266588,0.803474543151703,0.10313748402887,0.0277006693947243,0.1265611149187
"NO","Regression",2.04156598081679,0.969105395381671,0.939165267357865,0.926264425856675,0.711433011339648,0.163275432402617
"NO","RandomForest",1.52185168138436,0.990441764146732,0.980974888166091,0.54976731792195,0.404756229395254,0.0928924400734789
"NO","Hybrid",1.70575199142431,0.989987720315814,0.980075686376102,0.53099587346051,0.404834864779952,0.0929104870662864
"NO2","Regression",0.146537815220043,0.96873756254205,0.938452465079913,1.00023683963273,0.808649842217018,0.0486152832047102
"NO2","RandomForest",-0.28225677267227,0.984311662438283,0.968869448812016,0.711585900642364,0.557214044472867,0.0334991947854984
"NO2","Hybrid",-0.282930023908222,0.983172633126317,0.966628426528535,0.73729800741241,0.572578659567764,0.0344229012838783
"O3","Regression",0.0157139690748694,0.395235695221662,0.156211254777351,0.0437242329601143,0.0341222328592522,0.111959663164528
"O3","RandomForest",0.0031010540819027,0.404894084511675,0.163939219672547,0.0442728431071482,0.034537587688764,0.113322498562719
"O3","Hybrid",0.00308014970314252,0.404867769263893,0.163917910588721,0.0443114199995723,0.0345634462941892,0.113407344146103
"CO2","Regression",8.24410506493194,0.971132007335859,0.943097375672174,7.35475764204887,5.69791962475634,0.012914260619796
"CO2","RandomForest",8.37598439946316,0.988677219312047,0.977482643986601,4.72068974589338,2.75160623665352,0.00623647969845118
"CO2","Hybrid",8.61061295954698,0.987351306618384,0.974862602681029,4.97764491045526,2.98549347313764,0.00676658207379469
"PM2_5","Regression",0.000157913617708941,0.198943017034871,0.0395783240269369,0.00617754889490529,0.00106152503708248,0.898565676934583
"PM2_5","RandomForest",0.000498544814255613,0.364731818967176,0.133029299767105,0.00584572611554905,0.000754891783838611,0.639005038092752
"PM2_5","Hybrid",1.26661580691911e-06,0.372810785707953,0.138987881940181,0.00596456051614947,0.000857896771769047,0.726197278948169
"PM10","Regression",0.000377368268152942,0.174106099596378,0.0303129339166639,0.0571549551283368,0.0089647241971989,1.19627820043923
"PM10","RandomForest",0.00243996445565036,0.243332925462141,0.0592109126139639,0.0561838971951687,0.0069778117829972,0.931138977524349
"PM10","Hybrid",-0.000582350859079065,0.30654709119312,0.0939711191189633,0.0561210211250259,0.00694760702252705,0.927108368695221
