DATE,CO,NO,NO2,O3,CO2,PM2.5,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-07-30T20:57:00Z,0.18562076673176672,1.737627555503299,12.799476666511099,26.66405200010476,441.34710215725016,3.2262432865218518,,,,,
2025-07-30T21:12:00Z,0.18363062969156668,1.2766111111222005,10.006393111217301,28.185377999681357,438.58602749384687,3.346108274786757,,,,,
2025-07-30T21:27:00Z,0.18745565192189986,1.5742468888737,13.0189139999271,28.08975266634205,439.5593888773734,3.355501255144388,,,,,
2025-07-30T21:42:00Z,0.19722987412979986,3.182943555531532,14.369549555337299,28.961168888969972,441.2217633652737,3.2517543999721363,,,,,
2025-07-30T21:57:00Z,0.20241503339953337,3.7204966666655985,14.941267999713292,23.08708955561637,441.60498367408667,3.2043786650146977,,,,,
2025-07-30T22:12:00Z,0.19528123711396667,3.0862453332747313,15.18757022204063,26.045690222108938,442.75536051527325,3.219036781234398,,,,,
2025-07-30T22:27:00Z,0.19000476303813338,1.7891011110756665,14.520243999846102,26.15056844440844,440.04240086889024,3.2373811857474046,,,,,
2025-07-30T22:42:00Z,0.18633567413226676,1.9113411110750664,13.768919999795099,27.96964533312964,438.47884832870335,3.2347554739972693,,,,,
2025-07-30T22:57:00Z,0.19395983711896647,4.2864466666294625,14.500551777545358,23.398453777711843,442.18511596329984,3.198416346834228,,,,,
2025-07-30T23:12:00Z,0.19413123339373328,4.210438666658432,14.693889110847566,23.922109555652003,442.28218486268986,3.178940974217882,,,,,
2025-07-30T23:27:00Z,0.1957034185693333,4.185163555612865,14.562487110950299,23.853505111287244,442.6594383273634,3.1813003592423796,,,,,
2025-07-30T23:42:00Z,0.19191692227563326,3.4297368888769,14.583734888729003,25.11032422269286,441.53636597411344,3.17108911227811,3,0.4385164526442899,0.5047947714925237,0.05668877586318641,O3
2025-07-30T23:57:00Z,0.1928656333824666,3.3711693333199,14.2458662220188,24.831889111560592,441.6342953241366,3.1759665050709946,3,0.44200350737992883,0.5014241346483957,0.05657235797167538,O3
2025-07-31T00:12:00Z,0.18729614080146686,3.4355446666594975,13.664385332976906,24.60246644444605,440.3269520970395,3.1779458901750424,3,0.4500567392469908,0.49381711628020697,0.05612614447280223,O3
2025-07-31T00:27:00Z,0.17008815194073362,2.5554257778039977,12.512964443987407,21.06379177787675,438.0462365738032,3.1526169202915373,3,0.4546539960372867,0.4887775108649953,0.05656849309771802,O3
2025-07-31T00:42:00Z,0.17112722229416685,3.1240584444365007,12.791180221783476,19.917448889572455,437.7957520059735,3.1400449216162314,3,0.4592881112440467,0.48320085116493605,0.05751103759101721,O3
2025-07-31T00:57:00Z,0.17246101859060023,3.101334666675099,12.56978222171644,20.55563822226515,438.6282426592734,3.124215789793762,3,0.4577913162412167,0.48419082652825945,0.058017857230523794,O3
2025-07-31T01:12:00Z,0.17356742227536667,4.146147333358136,12.18396244404307,21.676576000249668,435.5004437729799,3.130026230248921,3,0.45675271189318045,0.48443579714005847,0.05881149096676107,O3
2025-07-31T01:27:00Z,0.17076097043416671,3.4587766666766364,10.28551933315639,22.4067522224277,439.5073491065165,3.1395973390212224,2,0.45328168566654975,0.4869571697558788,0.05976114457757144,O3
2025-07-31T01:42:00Z,0.1774226482184336,4.038964666734396,12.60696777722314,21.62186711128142,444.34735335658655,3.1612654113937864,2,0.45662387841059965,0.4828497426678837,0.06052637892151662,O3
2025-07-31T01:57:00Z,0.18572292227886678,3.9344537778680304,13.34775644390251,20.317837999734188,450.99174045663364,3.1448223719114448,2,0.4573659627792885,0.481650893377219,0.06098314384349253,O3
2025-07-31T02:12:00Z,0.18584708153173335,4.833493555684565,13.558738221794046,18.82650577764857,448.65495450470655,3.089603015839229,2,0.4598544486448295,0.47853026710976904,0.06161528424540147,O3
2025-07-31T02:27:00Z,0.18565348526060005,5.312074444620931,13.457073110645096,19.705539333099797,450.81868239203004,3.1015290878132173,2,0.4616414795495242,0.47619405564939327,0.06216446480108253,O3
2025-07-31T02:42:00Z,0.1918362111575333,5.344984889020064,13.955779999475377,18.757234888784122,452.8707514675399,3.1048126400293317,2,0.4661349937339028,0.47095085956019284,0.06291414670590435,O3
2025-07-31T02:57:00Z,0.18619454820143358,4.7507955556748,12.944570888411041,19.889952666453887,452.26231690423333,3.106839565122563,2,0.46841085001039384,0.4679473522287277,0.06364179776087844,NO2
2025-07-31T03:12:00Z,0.18338834080423339,5.038096666770398,13.28674311058947,19.712633110867557,455.63960063449,3.1009455103370143,2,0.47221964809292755,0.4635942445836175,0.06418610732345498,NO2
2025-07-31T03:27:00Z,0.18311736301216666,4.948589333467495,13.403144666106105,18.169993110991253,451.53895937354,3.0829553712949216,2,0.476346901670679,0.45940107793669516,0.06425202039262586,NO2
2025-07-31T03:42:00Z,0.18010382966876665,5.2201086667802965,13.457250666192778,17.720969999942128,448.4294102027166,3.0724708161237917,2,0.47949200303112843,0.45622749248157873,0.06428050448729287,NO2
2025-07-31T03:57:00Z,0.16836121827666684,3.8873568888174685,9.864851333444667,21.922663333676724,434.63860128170336,3.080078476682786,2,0.4738613544750943,0.46155521127847593,0.06458343424642975,NO2
2025-07-31T04:12:00Z,0.1665087852371668,4.088471333325372,9.603676666709012,18.397531111355967,435.38342033386994,3.074632657456214,2,0.4726386330880175,0.461926010282642,0.06543535662934045,NO2
2025-07-31T04:27:00Z,0.17372550376586668,5.3170560000291625,10.683411111066869,17.119192000137545,438.18292713438353,3.077403403646924,2,0.47829501779169536,0.45577324623673504,0.06593173597156961,NO2
