co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
1120.49,806.81,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.7,29.62,5.46,6.02,5.63,585827469,25.7,MOD-00614,24.9,2026-01-12T19:06:35,2026-01-12T11:06:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585827318
1123.36,809.94,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.7,30.12,5.78,8.02,5.87,585827468,25.7,MOD-00614,24.9,2026-01-12T19:05:35,2026-01-12T11:05:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585827317
1111.87,809.58,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,6.9,29.62,5.81,5.98,5.9,585827466,25.7,MOD-00614,24.9,2026-01-12T19:04:35,2026-01-12T11:04:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585827316
1109.0,809.58,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.71,29.62,5.66,12.4,5.72,585827467,25.7,MOD-00614,24.9,2026-01-12T19:03:35,2026-01-12T11:03:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585827315
1119.67,810.3,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.73,29.62,5.39,5.7,5.47,585825210,25.7,MOD-00614,24.9,2026-01-12T19:02:35,2026-01-12T11:02:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585825059
1111.05,813.43,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,6.9,29.87,5.29,7.07,5.43,585825211,25.7,MOD-00614,24.9,2026-01-12T19:01:35,2026-01-12T11:01:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585825060
1116.38,817.04,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.71,29.62,5.56,16.76,5.77,585825212,25.7,MOD-00614,24.9,2026-01-12T19:00:35,2026-01-12T11:00:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585825061
1102.84,814.88,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.71,29.62,5.46,14.72,5.64,585825209,25.7,MOD-00614,24.9,2026-01-12T18:59:35,2026-01-12T10:59:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585825058
1106.12,812.35,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.71,29.62,5.1,6.0,5.34,585823008,25.7,MOD-00614,24.9,2026-01-12T18:58:35,2026-01-12T10:58:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585822857
1115.56,814.64,"{'lat': None, 'lon': None}","{'rh': 25.7, 'temp': 24.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13499, 'co2': 13261, 'no': 13587, 'no2': 13766, 'o3': 13746}, 'pm': {'pm1': 13203, 'pm10': 13205, 'pm25': 13204}}",2.12,7.71,29.87,5.61,10.41,5.82,585823007,25.7,MOD-00614,24.9,2026-01-12T18:57:35,2026-01-12T10:57:35,https://api.quant-aq.com/v1/devices/MOD-00614/data/585822856
