co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
265.12,502.19,"{'lat': None, 'lon': None}","{'rh': 27.0, 'temp': 25.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.47,6.09,39.59,1.19,20.92,1.5,711411764,27.0,MOD-00616,25.8,2026-06-21T04:20:32,2026-06-20T21:20:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711411563
263.11,504.48,"{'lat': None, 'lon': None}","{'rh': 27.1, 'temp': 25.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.64,6.45,41.24,1.01,55.38,2.0,711411765,27.1,MOD-00616,25.9,2026-06-21T04:19:32,2026-06-20T21:19:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711411564
268.65,505.32,"{'lat': None, 'lon': None}","{'rh': 26.8, 'temp': 25.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.56,6.35,38.43,1.25,3.82,1.36,711411762,26.8,MOD-00616,25.9,2026-06-21T04:18:32,2026-06-20T21:18:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711411561
268.17,500.5,"{'lat': None, 'lon': None}","{'rh': 26.9, 'temp': 25.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.57,6.24,40.37,0.84,2.54,1.04,711411763,26.9,MOD-00616,25.9,2026-06-21T04:17:32,2026-06-20T21:17:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711411562
262.64,503.75,"{'lat': None, 'lon': None}","{'rh': 26.6, 'temp': 25.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.55,6.31,37.66,1.11,13.02,1.16,711409622,26.6,MOD-00616,25.9,2026-06-21T04:16:32,2026-06-20T21:16:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711409421
259.33,499.78,"{'lat': None, 'lon': None}","{'rh': 26.8, 'temp': 26.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.57,6.3,40.37,0.97,21.9,1.21,711409620,26.8,MOD-00616,26.0,2026-06-21T04:15:32,2026-06-20T21:15:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711409419
267.19,501.47,"{'lat': None, 'lon': None}","{'rh': 26.7, 'temp': 26.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.59,6.23,40.04,1.05,9.91,1.31,711409621,26.7,MOD-00616,26.0,2026-06-21T04:14:32,2026-06-20T21:14:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711409420
262.55,502.67,"{'lat': None, 'lon': None}","{'rh': 26.3, 'temp': 26.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.53,6.33,34.6,1.07,9.07,1.38,711409623,26.3,MOD-00616,26.0,2026-06-21T04:13:32,2026-06-20T21:13:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711409422
264.84,502.91,"{'lat': None, 'lon': None}","{'rh': 26.7, 'temp': 26.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.47,5.99,39.03,0.74,5.55,1.19,711407349,26.7,MOD-00616,26.1,2026-06-21T04:12:32,2026-06-20T21:12:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711407148
267.57,503.15,"{'lat': None, 'lon': None}","{'rh': 26.9, 'temp': 26.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18140, 'co2': 13263, 'no': 18141, 'no2': 18142, 'o3': 18143}, 'pm': {'pm1': 13209, 'pm10': 13211, 'pm25': 13210}}",3.64,6.69,39.86,1.1,16.97,1.66,711407351,26.9,MOD-00616,26.1,2026-06-21T04:11:32,2026-06-20T21:11:32,https://api.quant-aq.com/v1/devices/MOD-00616/data/711407151
