co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
293.41,645.17,"{'lat': None, 'lon': None}","{'rh': 51.7, 'temp': 16.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.87,6.92,13.27,5.51,12.87,6.9,512486272,51.7,MOD-00632,16.8,2025-10-09T00:22:30,2025-10-08T17:22:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512486125
286.79,641.07,"{'lat': None, 'lon': None}","{'rh': 51.2, 'temp': 16.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.95,6.72,13.43,5.15,9.78,6.61,512486271,51.2,MOD-00632,16.8,2025-10-09T00:21:30,2025-10-08T17:21:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512486124
296.42,643.48,"{'lat': None, 'lon': None}","{'rh': 51.5, 'temp': 16.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.87,6.13,13.77,5.13,28.48,6.27,512486269,51.5,MOD-00632,16.8,2025-10-09T00:20:30,2025-10-08T17:20:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512486122
293.69,643.12,"{'lat': None, 'lon': None}","{'rh': 51.3, 'temp': 16.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.81,6.51,13.54,4.92,21.54,6.14,512486270,51.3,MOD-00632,16.8,2025-10-09T00:19:30,2025-10-08T17:19:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512486123
286.56,641.19,"{'lat': None, 'lon': None}","{'rh': 51.1, 'temp': 16.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.87,6.5,13.55,5.41,10.67,6.77,512484044,51.1,MOD-00632,16.9,2025-10-09T00:18:30,2025-10-08T17:18:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512483900
286.57,640.11,"{'lat': None, 'lon': None}","{'rh': 50.5, 'temp': 16.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.96,6.33,15.54,5.18,10.43,6.54,512484048,50.5,MOD-00632,16.9,2025-10-09T00:17:30,2025-10-08T17:17:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512483902
283.15,643.72,"{'lat': None, 'lon': None}","{'rh': 50.7, 'temp': 16.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.09,5.69,15.1,4.83,8.94,6.25,512484046,50.7,MOD-00632,16.9,2025-10-09T00:16:30,2025-10-08T17:16:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512483899
282.19,643.96,"{'lat': None, 'lon': None}","{'rh': 50.9, 'temp': 16.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.22,5.97,15.3,5.09,14.5,6.25,512484043,50.9,MOD-00632,16.9,2025-10-09T00:15:30,2025-10-08T17:15:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512483896
285.4,645.89,"{'lat': None, 'lon': None}","{'rh': 51.0, 'temp': 16.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.95,5.68,15.54,5.25,14.21,6.44,512481767,51.0,MOD-00632,16.9,2025-10-09T00:14:30,2025-10-08T17:14:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512481620
296.26,645.29,"{'lat': None, 'lon': None}","{'rh': 51.3, 'temp': 16.9, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.27,5.96,13.9,5.74,13.94,7.27,512481766,51.3,MOD-00632,16.9,2025-10-09T00:13:30,2025-10-08T17:13:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512481619
297.46,646.37,"{'lat': None, 'lon': None}","{'rh': 51.5, 'temp': 17.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.11,5.95,14.33,5.51,12.87,6.97,512481769,51.5,MOD-00632,17.0,2025-10-09T00:12:30,2025-10-08T17:12:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512481621
295.4,645.41,"{'lat': None, 'lon': None}","{'rh': 52.1, 'temp': 17.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.02,6.47,13.46,5.72,24.72,7.25,512481768,52.1,MOD-00632,17.0,2025-10-09T00:11:30,2025-10-08T17:11:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512481622
299.84,646.61,"{'lat': None, 'lon': None}","{'rh': 52.2, 'temp': 17.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.16,6.27,13.12,6.15,16.36,7.44,512479608,52.2,MOD-00632,17.0,2025-10-09T00:10:30,2025-10-08T17:10:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512479460
300.86,648.42,"{'lat': None, 'lon': None}","{'rh': 52.5, 'temp': 17.0, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.94,7.12,12.6,6.44,15.85,7.86,512479607,52.5,MOD-00632,17.0,2025-10-09T00:09:30,2025-10-08T17:09:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512479461
298.1,646.25,"{'lat': None, 'lon': None}","{'rh': 52.5, 'temp': 17.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.2,6.66,12.38,6.04,11.09,7.46,512479606,52.5,MOD-00632,17.1,2025-10-09T00:08:30,2025-10-08T17:08:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512479459
295.43,647.58,"{'lat': None, 'lon': None}","{'rh': 52.8, 'temp': 17.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.98,6.87,12.24,6.05,12.65,7.53,512479605,52.8,MOD-00632,17.1,2025-10-09T00:07:30,2025-10-08T17:07:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512479458
290.44,649.87,"{'lat': None, 'lon': None}","{'rh': 52.9, 'temp': 17.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.11,7.91,11.28,5.83,20.51,6.95,512477322,52.9,MOD-00632,17.1,2025-10-09T00:06:30,2025-10-08T17:06:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512477175
293.18,645.77,"{'lat': None, 'lon': None}","{'rh': 52.5, 'temp': 17.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.92,6.66,13.75,6.22,11.26,7.59,512477321,52.5,MOD-00632,17.1,2025-10-09T00:05:30,2025-10-08T17:05:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512477174
288.19,644.2,"{'lat': None, 'lon': None}","{'rh': 52.6, 'temp': 17.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.26,6.45,12.95,5.31,12.25,6.76,512477323,52.6,MOD-00632,17.1,2025-10-09T00:04:30,2025-10-08T17:04:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512477176
281.07,643.96,"{'lat': None, 'lon': None}","{'rh': 52.8, 'temp': 17.1, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.98,6.65,13.73,6.01,13.88,7.34,512477324,52.8,MOD-00632,17.1,2025-10-09T00:03:30,2025-10-08T17:03:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512477177
281.73,645.53,"{'lat': None, 'lon': None}","{'rh': 52.6, 'temp': 17.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.11,6.44,13.4,6.25,17.64,7.9,512475097,52.6,MOD-00632,17.2,2025-10-09T00:02:30,2025-10-08T17:02:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512474950
289.8,644.93,"{'lat': None, 'lon': None}","{'rh': 52.8, 'temp': 17.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",2.96,6.44,12.93,6.47,23.78,7.91,512475100,52.8,MOD-00632,17.2,2025-10-09T00:01:30,2025-10-08T17:01:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512474953
290.21,647.58,"{'lat': None, 'lon': None}","{'rh': 52.8, 'temp': 17.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18176, 'co2': 13280, 'no': 18177, 'no2': 18178, 'o3': 18179}, 'pm': {'pm1': 13257, 'pm10': 13259, 'pm25': 13258}}",3.03,6.86,12.22,6.38,15.16,7.71,512475099,52.8,MOD-00632,17.2,2025-10-09T00:00:30,2025-10-08T17:00:30,https://api.quant-aq.com/v1/devices/MOD-00632/data/512474952
