co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
271.22,570.88,"{'lat': None, 'lon': None}","{'rh': 51.3, 'temp': 26.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",3.17,5.54,15.71,7.28,10.25,8.42,750479028,51.3,MOD-00620,26.8,2026-08-09T01:21:13,2026-08-08T18:21:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750478818
270.53,572.44,"{'lat': None, 'lon': None}","{'rh': 51.7, 'temp': 26.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",5.23,6.07,14.16,6.88,11.48,7.94,750479027,51.7,MOD-00620,26.8,2026-08-09T01:20:13,2026-08-08T18:20:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750478817
264.86,574.85,"{'lat': None, 'lon': None}","{'rh': 51.6, 'temp': 26.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",4.05,6.59,13.67,6.29,20.2,7.3,750479030,51.6,MOD-00620,26.8,2026-08-09T01:19:13,2026-08-08T18:19:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750478819
260.6,572.8,"{'lat': None, 'lon': None}","{'rh': 50.5, 'temp': 26.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.49,4.95,17.1,4.55,12.29,5.56,750479029,50.5,MOD-00620,26.7,2026-08-09T01:18:13,2026-08-08T18:18:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750478820
265.8,574.97,"{'lat': None, 'lon': None}","{'rh': 50.1, 'temp': 26.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.55,4.83,18.29,7.54,9.97,8.35,750476712,50.1,MOD-00620,26.7,2026-08-09T01:17:13,2026-08-08T18:17:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750476502
252.95,573.41,"{'lat': None, 'lon': None}","{'rh': 50.3, 'temp': 26.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",2.11,4.89,16.79,8.84,14.61,9.73,750476711,50.3,MOD-00620,26.7,2026-08-09T01:16:13,2026-08-08T18:16:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750476501
263.02,572.2,"{'lat': None, 'lon': None}","{'rh': 50.4, 'temp': 26.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.48,4.73,18.07,7.37,13.22,8.17,750476710,50.4,MOD-00620,26.6,2026-08-09T01:15:13,2026-08-08T18:15:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750476500
261.03,570.4,"{'lat': None, 'lon': None}","{'rh': 50.9, 'temp': 26.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.5,4.91,17.67,7.65,11.46,8.43,750476709,50.9,MOD-00620,26.6,2026-08-09T01:14:13,2026-08-08T18:14:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750476499
264.79,575.33,"{'lat': None, 'lon': None}","{'rh': 50.8, 'temp': 26.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",2.03,4.75,18.5,8.42,12.37,9.49,750474448,50.8,MOD-00620,26.6,2026-08-09T01:13:13,2026-08-08T18:13:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750474238
273.47,574.97,"{'lat': None, 'lon': None}","{'rh': 52.3, 'temp': 26.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",6.11,5.67,15.1,8.42,13.05,9.37,750474446,52.3,MOD-00620,26.5,2026-08-09T01:12:13,2026-08-08T18:12:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750474237
287.34,575.58,"{'lat': None, 'lon': None}","{'rh': 52.4, 'temp': 26.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",7.47,5.35,16.95,8.37,13.63,9.4,750474447,52.4,MOD-00620,26.5,2026-08-09T01:11:13,2026-08-08T18:11:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750474236
287.87,575.33,"{'lat': None, 'lon': None}","{'rh': 53.4, 'temp': 26.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.39,5.33,18.37,5.87,16.05,6.9,750474445,53.4,MOD-00620,26.5,2026-08-09T01:10:13,2026-08-08T18:10:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750474235
289.24,574.97,"{'lat': None, 'lon': None}","{'rh': 53.2, 'temp': 26.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.52,5.6,18.8,6.96,22.87,8.11,750472135,53.2,MOD-00620,26.5,2026-08-09T01:09:13,2026-08-08T18:09:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750471924
281.18,574.25,"{'lat': None, 'lon': None}","{'rh': 53.0, 'temp': 26.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.4,5.31,19.31,6.8,22.8,7.76,750472137,53.0,MOD-00620,26.5,2026-08-09T01:08:13,2026-08-08T18:08:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750471927
287.42,572.8,"{'lat': None, 'lon': None}","{'rh': 53.3, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.34,5.4,19.18,7.09,17.4,8.24,750472136,53.3,MOD-00620,26.4,2026-08-09T01:07:13,2026-08-08T18:07:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750471926
287.55,574.13,"{'lat': None, 'lon': None}","{'rh': 53.7, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",4.26,6.14,16.21,5.32,8.33,6.21,750472134,53.7,MOD-00620,26.4,2026-08-09T01:06:13,2026-08-08T18:06:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750471925
297.59,573.53,"{'lat': None, 'lon': None}","{'rh': 54.0, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",4.26,6.14,15.73,5.09,7.69,5.9,750469905,54.0,MOD-00620,26.4,2026-08-09T01:05:13,2026-08-08T18:05:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750469694
309.89,574.85,"{'lat': None, 'lon': None}","{'rh': 54.0, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",3.97,6.04,15.86,7.7,16.0,8.99,750469902,54.0,MOD-00620,26.4,2026-08-09T01:04:13,2026-08-08T18:04:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750469692
315.63,573.65,"{'lat': None, 'lon': None}","{'rh': 54.0, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",4.7,5.86,17.02,7.87,11.96,8.81,750469903,54.0,MOD-00620,26.4,2026-08-09T01:03:13,2026-08-08T18:03:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750469693
333.13,571.12,"{'lat': None, 'lon': None}","{'rh': 54.2, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.31,6.13,17.54,6.74,14.43,7.78,750469904,54.2,MOD-00620,26.4,2026-08-09T01:02:13,2026-08-08T18:02:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750469695
338.74,575.21,"{'lat': None, 'lon': None}","{'rh': 53.8, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",6.29,6.59,12.98,7.01,9.38,8.01,750467595,53.8,MOD-00620,26.4,2026-08-09T01:01:13,2026-08-08T18:01:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750467385
335.26,577.38,"{'lat': None, 'lon': None}","{'rh': 53.5, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",11.47,6.49,13.58,4.52,9.29,5.57,750467593,53.5,MOD-00620,26.4,2026-08-09T01:00:13,2026-08-08T18:00:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750467383
333.28,574.25,"{'lat': None, 'lon': None}","{'rh': 53.4, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",16.25,6.26,13.83,6.6,14.38,7.58,750467594,53.4,MOD-00620,26.4,2026-08-09T00:59:13,2026-08-08T17:59:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750467384
340.99,572.44,"{'lat': None, 'lon': None}","{'rh': 54.1, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",5.0,6.24,15.6,6.23,15.54,7.2,750467592,54.1,MOD-00620,26.4,2026-08-09T00:58:13,2026-08-08T17:58:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750467382
334.02,573.17,"{'lat': None, 'lon': None}","{'rh': 54.1, 'temp': 26.4, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",3.68,6.7,13.74,4.84,25.12,5.98,750465299,54.1,MOD-00620,26.4,2026-08-09T00:57:13,2026-08-08T17:57:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750465090
336.24,573.29,"{'lat': None, 'lon': None}","{'rh': 53.7, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",8.4,6.15,15.77,5.74,8.73,6.62,750465300,53.7,MOD-00620,26.3,2026-08-09T00:56:13,2026-08-08T17:56:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750465089
326.92,575.82,"{'lat': None, 'lon': None}","{'rh': 54.7, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",3.51,6.24,16.48,4.34,10.55,5.46,750465301,54.7,MOD-00620,26.3,2026-08-09T00:55:13,2026-08-08T17:55:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750465091
321.18,578.35,"{'lat': None, 'lon': None}","{'rh': 54.7, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",4.24,6.04,16.73,6.11,15.37,7.12,750465298,54.7,MOD-00620,26.3,2026-08-09T00:54:13,2026-08-08T17:54:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750465087
311.06,576.3,"{'lat': None, 'lon': None}","{'rh': 55.1, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",2.78,6.55,17.45,8.05,17.49,9.38,750462982,55.1,MOD-00620,26.3,2026-08-09T00:53:13,2026-08-08T17:53:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750462774
302.51,575.45,"{'lat': None, 'lon': None}","{'rh': 55.0, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",3.36,6.34,17.25,5.57,11.8,6.43,750462984,55.0,MOD-00620,26.3,2026-08-09T00:52:13,2026-08-08T17:52:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750462773
292.4,576.18,"{'lat': None, 'lon': None}","{'rh': 54.8, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.25,6.04,18.55,4.28,13.28,5.3,750462983,54.8,MOD-00620,26.3,2026-08-09T00:51:13,2026-08-08T17:51:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750462772
283.86,571.72,"{'lat': None, 'lon': None}","{'rh': 54.7, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.37,5.87,19.26,4.65,12.83,5.55,750462981,54.7,MOD-00620,26.3,2026-08-09T00:50:13,2026-08-08T17:50:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750462771
279.83,577.38,"{'lat': None, 'lon': None}","{'rh': 54.6, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.39,5.95,19.6,5.49,14.8,6.39,750460659,54.6,MOD-00620,26.3,2026-08-09T00:49:13,2026-08-08T17:49:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750460448
279.63,574.61,"{'lat': None, 'lon': None}","{'rh': 54.3, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.46,6.04,19.5,6.13,13.9,7.29,750460658,54.3,MOD-00620,26.3,2026-08-09T00:48:13,2026-08-08T17:48:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750460449
274.85,574.13,"{'lat': None, 'lon': None}","{'rh': 54.1, 'temp': 26.3, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.58,6.04,18.14,4.21,17.1,5.3,750460657,54.1,MOD-00620,26.3,2026-08-09T00:47:13,2026-08-08T17:47:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750460446
270.85,574.13,"{'lat': None, 'lon': None}","{'rh': 53.8, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",2.14,5.32,21.23,5.41,10.23,6.38,750460656,53.8,MOD-00620,26.2,2026-08-09T00:46:13,2026-08-08T17:46:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750460447
268.77,573.29,"{'lat': None, 'lon': None}","{'rh': 55.0, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.58,5.66,21.44,6.16,14.99,7.31,750458408,55.0,MOD-00620,26.2,2026-08-09T00:45:13,2026-08-08T17:45:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750458199
265.58,571.96,"{'lat': None, 'lon': None}","{'rh': 54.3, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.57,5.79,20.79,5.52,12.01,6.47,750458410,54.3,MOD-00620,26.2,2026-08-09T00:44:13,2026-08-08T17:44:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750458200
269.0,570.52,"{'lat': None, 'lon': None}","{'rh': 54.1, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",1.58,6.25,19.28,6.82,14.21,7.75,750458411,54.1,MOD-00620,26.2,2026-08-09T00:43:13,2026-08-08T17:43:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750458201
267.92,572.93,"{'lat': None, 'lon': None}","{'rh': 53.3, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",3.46,5.7,16.88,6.65,11.94,7.57,750458409,53.3,MOD-00620,26.2,2026-08-09T00:42:13,2026-08-08T17:42:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750458198
276.12,577.14,"{'lat': None, 'lon': None}","{'rh': 53.3, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",29.67,6.76,11.55,5.14,18.76,6.14,750456127,53.3,MOD-00620,26.2,2026-08-09T00:41:13,2026-08-08T17:41:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750455916
274.13,574.61,"{'lat': None, 'lon': None}","{'rh': 53.8, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",26.95,7.41,10.89,9.47,14.4,10.6,750456128,53.8,MOD-00620,26.2,2026-08-09T00:40:13,2026-08-08T17:40:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750455918
275.77,575.45,"{'lat': None, 'lon': None}","{'rh': 53.8, 'temp': 26.2, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18144, 'co2': 13267, 'no': 18145, 'no2': 18146, 'o3': 18147}, 'pm': {'pm1': 13221, 'pm10': 13223, 'pm25': 13222}}",19.89,7.41,11.35,5.31,12.6,6.41,750456125,53.8,MOD-00620,26.2,2026-08-09T00:39:13,2026-08-08T17:39:13,https://api.quant-aq.com/v1/devices/MOD-00620/data/750455915
