co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
950.97,623.63,"{'lat': None, 'lon': None}","{'rh': 39.2, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,20.51,25.05,1.68,3.93,1.79,564919899,39.2,MOD-00613,24.6,2025-12-14T20:36:06,2025-12-14T12:36:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564919748
944.48,619.06,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,18.11,25.36,2.47,5.02,2.71,564919898,39.1,MOD-00613,24.6,2025-12-14T20:35:06,2025-12-14T12:35:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564919747
941.19,624.11,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,18.11,25.63,2.05,7.21,2.18,564919900,39.1,MOD-00613,24.6,2025-12-14T20:34:06,2025-12-14T12:34:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564919749
947.76,624.72,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,18.11,24.53,1.99,3.15,2.11,564919897,39.1,MOD-00613,24.6,2025-12-14T20:33:06,2025-12-14T12:33:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564919746
944.48,629.53,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,16.34,25.08,1.87,2.62,2.02,564917861,39.1,MOD-00613,24.6,2025-12-14T20:32:06,2025-12-14T12:32:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564917710
943.17,628.21,"{'lat': None, 'lon': None}","{'rh': 39.2, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,11.97,25.33,1.97,2.2,2.12,564917860,39.2,MOD-00613,24.6,2025-12-14T20:31:06,2025-12-14T12:31:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564917709
947.35,625.8,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,18.11,25.63,1.79,2.58,2.03,564917859,39.1,MOD-00613,24.6,2025-12-14T20:30:06,2025-12-14T12:30:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564917708
948.99,622.43,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.34,18.11,25.08,1.95,2.88,2.11,564917862,39.1,MOD-00613,24.6,2025-12-14T20:29:06,2025-12-14T12:29:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564917711
944.07,623.75,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,11.93,25.36,1.82,4.59,1.93,564915881,39.1,MOD-00613,24.6,2025-12-14T20:28:06,2025-12-14T12:28:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564915731
939.07,620.26,"{'lat': None, 'lon': None}","{'rh': 39.2, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.34,22.41,25.6,1.84,4.18,1.92,564915883,39.2,MOD-00613,24.6,2025-12-14T20:27:06,2025-12-14T12:27:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564915730
939.55,618.82,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,18.11,25.36,2.14,3.39,2.37,564915882,39.1,MOD-00613,24.6,2025-12-14T20:26:06,2025-12-14T12:26:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564915732
947.42,619.66,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,19.38,25.39,2.4,3.08,2.52,564915880,39.0,MOD-00613,24.6,2025-12-14T20:25:06,2025-12-14T12:25:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564915729
937.16,614.72,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.34,23.29,25.11,2.02,4.73,2.17,564913843,39.0,MOD-00613,24.6,2025-12-14T20:24:06,2025-12-14T12:24:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564913692
946.6,616.29,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.34,15.21,25.39,2.01,3.97,2.12,564913845,39.0,MOD-00613,24.6,2025-12-14T20:23:06,2025-12-14T12:23:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564913694
938.39,620.26,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,19.38,25.39,2.12,5.61,2.26,564913844,39.0,MOD-00613,24.6,2025-12-14T20:22:06,2025-12-14T12:22:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564913693
940.37,620.74,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.34,16.34,25.63,2.17,8.5,2.33,564913846,39.1,MOD-00613,24.6,2025-12-14T20:21:06,2025-12-14T12:21:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564913695
940.03,617.73,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,24.1,25.39,1.83,2.19,1.92,564911857,39.0,MOD-00613,24.6,2025-12-14T20:20:06,2025-12-14T12:20:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564911706
944.55,617.25,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,17.1,25.39,1.71,3.65,1.81,564911854,39.0,MOD-00613,24.6,2025-12-14T20:19:06,2025-12-14T12:19:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564911703
941.67,617.01,"{'lat': None, 'lon': None}","{'rh': 39.0, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,15.21,25.39,1.8,1.99,1.91,564911855,39.0,MOD-00613,24.6,2025-12-14T20:18:06,2025-12-14T12:18:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564911704
939.96,616.77,"{'lat': None, 'lon': None}","{'rh': 39.1, 'temp': 24.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13498, 'co2': 13260, 'no': 13586, 'no2': 13765, 'o3': 13745}, 'pm': {'pm1': 13200, 'pm10': 13202, 'pm25': 13201}}",3.33,16.34,25.63,2.0,2.2,2.12,564911856,39.1,MOD-00613,24.6,2025-12-14T20:17:06,2025-12-14T12:17:06,https://api.quant-aq.com/v1/devices/MOD-00613/data/564911705
