DATE,TE,CO,NO,NO2,O3,CO2,T,RH,P,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,48,19,2,-6,86,0,0.00000,0.00000,0,CRC
06/27/26 03:57:15,16.22,95.47,14.69,7.32,9.42,442.93,14.40,79.20,1003.00,0.00,0.06,0.06,99.30,0.46,1,13.24,0.00,86.72,1,-13,10,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,4034561795
06/27/26 03:58:16,16.19,91.06,13.76,7.46,8.85,442.97,14.30,81.00,1003.00,0.00,0.20,0.20,93.60,0.39,1,13.24,0.00,85.00,1,-13,11,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,2077847923
06/27/26 03:59:18,16.18,96.32,14.22,6.73,9.43,442.99,14.30,79.60,1003.00,0.00,0.08,0.08,91.00,0.39,1,13.27,0.00,85.01,1,-15,10,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,3915958292
06/27/26 04:00:14,16.12,93.93,13.92,6.81,10.38,443.40,14.30,77.70,1003.00,0.00,0.26,0.26,79.70,0.38,1,13.24,0.00,79.48,1,-15,10,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1048547952
06/27/26 04:01:17,16.10,97.72,14.53,8.10,9.77,443.50,14.30,77.30,1003.00,0.00,0.11,0.11,100.70,0.45,1,13.24,0.00,78.84,1,-15,9,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,460630648
06/27/26 04:02:19,16.08,103.85,15.72,7.98,10.30,443.47,14.20,79.40,1003.00,0.00,0.16,0.16,104.30,0.47,1,13.24,0.00,77.93,1,-13,8,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,3511206862
06/27/26 04:03:16,16.02,121.64,16.25,6.53,11.77,443.74,14.20,80.00,1003.00,0.00,0.05,0.05,106.40,0.42,1,13.24,0.00,77.47,1,-16,8,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1220459411
06/27/26 04:04:16,16.00,117.53,14.67,7.78,9.71,443.28,14.20,81.00,1003.00,0.00,0.02,0.02,108.80,0.42,1,13.24,0.00,89.73,1,-15,9,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1138962961
06/27/26 04:05:18,15.98,101.81,15.54,7.97,9.78,444.33,14.20,80.50,1003.00,0.00,0.34,0.34,98.40,0.37,1,13.24,0.00,81.49,1,-13,8,0,0,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1670479707
06/27/26 04:06:20,15.92,101.26,16.20,9.58,9.28,445.38,14.20,79.90,1003.00,0.00,0.12,0.23,108.00,0.37,1,13.24,0.00,79.63,1,-16,8,0,1,STAT,60,LAT,LON,W,ÿÿÿÿþÿÿ,1755867135
