co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
831.28,447.25,"{'lat': None, 'lon': None}","{'rh': 30.4, 'temp': 23.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.28,26.43,26.7,5.04,10.47,5.52,355760598,30.4,MOD-00631,23.5,2025-04-05T23:42:31,2025-04-05T16:42:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355760501
845.51,446.05,"{'lat': None, 'lon': None}","{'rh': 30.6, 'temp': 23.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.28,26.9,25.32,5.08,12.37,5.58,355760599,30.6,MOD-00631,23.5,2025-04-05T23:41:31,2025-04-05T16:41:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355760500
824.18,444.0,"{'lat': None, 'lon': None}","{'rh': 30.0, 'temp': 23.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.28,25.26,26.56,5.17,9.17,5.62,355760601,30.0,MOD-00631,23.5,2025-04-05T23:40:31,2025-04-05T16:40:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355760503
828.12,448.58,"{'lat': None, 'lon': None}","{'rh': 30.8, 'temp': 23.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.28,25.47,25.79,5.04,12.49,5.52,355760600,30.8,MOD-00631,23.5,2025-04-05T23:39:31,2025-04-05T16:39:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355760502
838.23,448.94,"{'lat': None, 'lon': None}","{'rh': 31.6, 'temp': 23.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.39,27.33,25.01,5.37,19.45,6.03,355758289,31.6,MOD-00631,23.5,2025-04-05T23:38:31,2025-04-05T16:38:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355758190
836.28,447.49,"{'lat': None, 'lon': None}","{'rh': 31.6, 'temp': 23.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.39,26.86,26.09,5.46,10.28,5.91,355758287,31.6,MOD-00631,23.6,2025-04-05T23:37:31,2025-04-05T16:37:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355758189
836.84,444.12,"{'lat': None, 'lon': None}","{'rh': 31.4, 'temp': 23.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.38,27.58,24.83,5.4,6.89,6.0,355758286,31.4,MOD-00631,23.6,2025-04-05T23:36:31,2025-04-05T16:36:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355758188
837.93,447.13,"{'lat': None, 'lon': None}","{'rh': 31.6, 'temp': 23.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.39,28.05,24.77,5.72,9.77,6.3,355758285,31.6,MOD-00631,23.6,2025-04-05T23:35:31,2025-04-05T16:35:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355758187
843.32,447.61,"{'lat': None, 'lon': None}","{'rh': 31.1, 'temp': 23.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.38,27.84,24.94,5.1,22.41,5.61,355755957,31.1,MOD-00631,23.7,2025-04-05T23:34:31,2025-04-05T16:34:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355755859
848.12,445.93,"{'lat': None, 'lon': None}","{'rh': 30.7, 'temp': 23.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 13516, 'co2': 13279, 'no': 13604, 'no2': 13785, 'o3': 13763}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",2.28,27.14,25.07,5.44,7.2,6.03,355755958,30.7,MOD-00631,23.7,2025-04-05T23:33:31,2025-04-05T16:33:31,https://api.quant-aq.com/v1/devices/MOD-00631/data/355755860
