co,co2,geo,met,model,no,no2,o3,pm1,pm10,pm25,raw_data_id,rh,sn,temp,timestamp,timestamp_local,url
317.68,578.18,"{'lat': None, 'lon': None}","{'rh': 50.3, 'temp': 19.5, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.84,26.69,33.56,2.24,5.24,2.66,678564228,50.3,MOD-00631,19.5,2026-05-11T01:51:21,2026-05-10T18:51:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678564058
314.58,578.78,"{'lat': None, 'lon': None}","{'rh': 50.2, 'temp': 19.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.76,18.95,35.21,2.64,5.76,3.21,678564229,50.2,MOD-00631,19.6,2026-05-11T01:50:21,2026-05-10T18:50:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678564059
304.8,580.83,"{'lat': None, 'lon': None}","{'rh': 50.1, 'temp': 19.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.8,16.74,36.62,2.52,3.66,3.08,678564226,50.1,MOD-00631,19.6,2026-05-11T01:49:21,2026-05-10T18:49:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678564056
313.49,581.91,"{'lat': None, 'lon': None}","{'rh': 50.0, 'temp': 19.6, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.75,26.59,32.66,2.74,5.53,3.25,678564227,50.0,MOD-00631,19.6,2026-05-11T01:48:21,2026-05-10T18:48:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678564057
307.03,576.73,"{'lat': None, 'lon': None}","{'rh': 50.0, 'temp': 19.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.72,19.62,35.09,2.46,5.31,3.06,678561967,50.0,MOD-00631,19.7,2026-05-11T01:47:21,2026-05-10T18:47:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678561797
308.68,579.98,"{'lat': None, 'lon': None}","{'rh': 50.0, 'temp': 19.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.72,20.57,34.05,2.75,5.87,3.28,678561966,50.0,MOD-00631,19.7,2026-05-11T01:46:21,2026-05-10T18:46:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678561796
296.92,578.42,"{'lat': None, 'lon': None}","{'rh': 49.8, 'temp': 19.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.74,20.73,34.07,2.55,7.29,3.05,678561965,49.8,MOD-00631,19.7,2026-05-11T01:45:21,2026-05-10T18:45:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678561794
344.3,580.34,"{'lat': None, 'lon': None}","{'rh': 49.5, 'temp': 19.7, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.76,22.18,34.88,2.52,4.82,3.06,678561964,49.5,MOD-00631,19.7,2026-05-11T01:44:21,2026-05-10T18:44:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678561795
313.65,582.99,"{'lat': None, 'lon': None}","{'rh': 49.5, 'temp': 19.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.67,19.67,34.2,2.32,4.11,2.82,678559658,49.5,MOD-00631,19.8,2026-05-11T01:43:21,2026-05-10T18:43:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678559488
307.84,581.91,"{'lat': None, 'lon': None}","{'rh': 49.6, 'temp': 19.8, 'wd': 0.0, 'ws': 0.0, 'ws_scalar': 0.0}","{'gas': {'co': 18172, 'co2': 13279, 'no': 18173, 'no2': 18174, 'o3': 18175}, 'pm': {'pm1': 13254, 'pm10': 13256, 'pm25': 13255}}",0.66,19.6,34.19,2.45,3.88,3.12,678559655,49.6,MOD-00631,19.8,2026-05-11T01:42:21,2026-05-10T18:42:21,https://api.quant-aq.com/v1/devices/MOD-00631/data/678559485
