flag,gases.co.ae,gases.co.diff,gases.co.we,gases.co2.raw,gases.no.ae,gases.no.diff,gases.no.we,gases.no2.ae,gases.no2.diff,gases.no2.we,gases.o3.ae,gases.o3.diff,gases.o3.we,geo.lat,geo.lon,met.rh,met.temp,met.wd,met.ws,met.ws_scalar,neph.cscat,neph.pm1,neph.pm10,neph.pm25,opc.bin0,opc.bin1,opc.bin10,opc.bin11,opc.bin12,opc.bin13,opc.bin14,opc.bin15,opc.bin16,opc.bin17,opc.bin18,opc.bin19,opc.bin2,opc.bin20,opc.bin21,opc.bin22,opc.bin23,opc.bin3,opc.bin4,opc.bin5,opc.bin6,opc.bin7,opc.bin8,opc.bin9,opc.pm1,opc.pm10,opc.pm25,opc.rh,opc.temp,operating_state,sn,timestamp,timestamp_local,url
0,651.3,37.700000000000045,689.0,1364.2,664.6,1.3999999999999773,666.0,1647.2,0.7000000000000455,1647.9,1647.3,6.7999999999999545,1654.7,,,81.0,13.0,0.0,0.0,0.0,655.75,2.8,4.2,4.2,3.8438,0.4445,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607,0.0,0.0,0.0,0.0,0.063,0.0761,0.063,0.0552,0.0133,0.0234,0.0052,0.84,10.66,3.03,59.28,18.28,0,MOD-00627,2025-04-06T23:59:32,2025-04-06T16:59:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356591632
0,651.9,37.60000000000002,689.5,1361.3,664.7,1.3999999999999773,666.1,1646.8,0.900000000000091,1647.7,1647.1,7.0,1654.7,,,80.9,13.0,0.0,0.0,0.0,491.5,1.8,2.6,2.6,3.9798,0.4109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629,0.0,0.0,0.0,0.0,0.0819,0.1156,0.0784,0.0437,0.0117,0.0116,0.003,0.9,7.21,3.12,59.29,18.28,0,MOD-00627,2025-04-06T23:58:32,2025-04-06T16:58:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356591631
0,652.4,37.60000000000002,690.0,1363.1,664.6,1.7999999999999545,666.4,1647.0,0.7999999999999545,1647.8,1647.3,6.7999999999999545,1654.6,,,81.4,13.0,0.0,0.0,0.0,527.75,2.2,3.6,3.3,3.6904,0.4004,0.0054,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493,0.0,0.0,0.0,0.0,0.069,0.0805,0.0859,0.0476,0.016,0.0104,0.0,0.82,10.37,3.03,59.35,18.3,0,MOD-00627,2025-04-06T23:57:32,2025-04-06T16:57:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356591630
0,652.0,38.10000000000002,690.1,1362.3,664.4,1.3000000000000682,665.7,1647.2,0.7000000000000455,1647.9,1647.2,6.7999999999999545,1654.7,,,81.5,13.0,0.0,0.0,0.0,617.5,2.9,4.3,4.2,3.6324,0.3569,0.0053,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308,0.0,0.0,0.0,0.0,0.0611,0.0938,0.0728,0.0712,0.0248,0.0111,0.0054,0.79,13.09,3.38,59.41,18.3,0,MOD-00627,2025-04-06T23:56:32,2025-04-06T16:56:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356589367
0,652.5,37.60000000000002,690.1,1361.0,664.3,1.400000000000091,665.7,1647.0,1.0,1648.0,1647.1,6.599999999999909,1654.6,,,81.1,13.0,0.0,0.0,0.0,548.25,2.2,3.9,3.2,3.8215,0.3859,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486,0.0,0.0,0.0,0.0,0.0803,0.0959,0.1012,0.0608,0.0106,0.0325,0.0052,0.87,12.51,3.63,59.23,18.33,0,MOD-00627,2025-04-06T23:55:32,2025-04-06T16:55:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356589370
0,652.2,37.59999999999991,689.8,1361.1,664.1,1.6000000000000227,665.7,1646.8,0.900000000000091,1647.7,1646.8,7.099999999999909,1654.8,,,81.2,13.0,0.0,0.0,0.0,628.75,2.8,4.6,3.8,3.7059,0.4024,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649,0.0,0.0,0.0,0.0,0.0873,0.0835,0.0795,0.0506,0.0055,0.0196,0.0084,0.85,10.67,3.07,59.18,18.34,0,MOD-00627,2025-04-06T23:54:32,2025-04-06T16:54:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356589369
0,653.2,35.89999999999998,689.1,1358.7,664.4,1.8999999999999773,666.3,1647.1,0.5,1647.6,1647.5,6.800000000000182,1654.4,,,80.7,13.0,0.0,0.0,0.0,638.75,2.8,4.0,4.0,3.3527,0.3662,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1503,0.0,0.0,0.0,0.0,0.0678,0.0879,0.0979,0.0706,0.0151,0.0075,0.005,0.79,9.26,3.41,58.99,18.34,0,MOD-00627,2025-04-06T23:53:32,2025-04-06T16:53:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356589368
0,652.4,37.0,689.4,1359.3,665.5,1.2000000000000455,666.7,1647.0,1.0,1648.0,1647.3,6.7999999999999545,1654.8,,,81.0,13.0,0.0,0.0,0.0,598.25,2.3,4.2,4.2,3.4426,0.3678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1674,0.0,0.0,0.0,0.0,0.0677,0.1049,0.0885,0.0629,0.0157,0.0157,0.0052,0.82,9.21,3.42,59.18,18.4,0,MOD-00627,2025-04-06T23:52:32,2025-04-06T16:52:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356587145
0,651.8,36.90000000000009,688.7,1357.4,664.3,1.5,665.8,1646.9,0.8999999999998636,1647.8,1647.2,7.0,1654.8,,,80.7,13.1,0.0,0.0,0.0,575.0,2.4,4.1,3.8,3.1576,0.3222,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1402,0.0,0.0,0.0,0.0,0.0466,0.0886,0.0613,0.0419,0.0222,0.0123,0.0049,0.7,9.96,2.74,59.02,18.37,0,MOD-00627,2025-04-06T23:51:32,2025-04-06T16:51:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356587143
0,652.5,37.299999999999955,689.8,1360.5,664.4,1.7000000000000455,666.1,1646.9,0.599999999999909,1647.5,1646.9,7.0,1654.5,,,80.7,13.1,0.0,0.0,0.0,634.75,2.6,4.3,4.2,3.3182,0.3441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1305,0.0,0.0,0.0,0.0,0.0674,0.0767,0.0843,0.0449,0.0049,0.01,0.0051,0.75,6.8,2.74,59.04,18.38,0,MOD-00627,2025-04-06T23:50:32,2025-04-06T16:50:32,https://api.quant-aq.com/v1/devices/MOD-00627/data/raw/356587141
